//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klik
Hydra Rocket Pods,Hydra-raketkapsler
Buckshot,Spredehagl
Plasma Accelerator,Plasmaaccelerator
Rocket Storm,Raketstorm
Bloon Area Denial System,Bloon-blokeringssystem
Ray of Doom,Dommedagsstråle
M.A.D,M.O.S.Ø.D.
Bloon Exclusion Zone,Bloon-forbudszone
,
Guided Magic,Styret Magi
Fireball,Ildkugle
Intense Magic,Intens Magi
Arcane Blast,Mystisk Eksplosion
Wall of Fire,Ildmur
Monkey Sense,Abesanser
Arcane Mastery,Mystik-beherskelse
Dragon's Breath,Drageånde
Shimmer,Flimren
Arcane Spike,Mystisk Søm
Summon Phoenix,Hidkald Fugl Fønix
Necromancer: Unpopped Army,Åndemaner: Usprunget hær
Archmage,Ærketroldmand
Wizard Lord Phoenix,Troldmandsmester Fønix
Soulbind,Mørkets Fyrste
,
Laser Blasts,Laserstråler
Super Range,Super Rækkevidde
Knockback,Tilbageslag
Plasma Blasts,Plasmaeksplosion
Epic Range,Episk Rækkevidde
Ultravision,Ultrasyn
Sun Avatar,Solavatar
Robo Monkey,Roboabe
Dark Knight,Sorte Ridder
Sun Temple,Soltempel
Tech Terror,Teknoterror
Dark Champion,Sorte Forsvarer
True Sun God,Den Sande Solgud
The Anti-Bloon,Anti-bloonen
Legend of the Night,Nattens legende
,
Ninja Discipline,Ninjadisciplin
Distraction,Afledningsmanøvre
Seeking Shuriken,Søgende Ninjastjerne
Sharp Shurikens,Skarpe Ninjastjerner
Counter-Espionage,Kontraspionage
Caltrops,Partisansøm
Double Shot,Dobbeltskud
Shinobi Tactics,Shinobi-taktik
Flash Bomb,Lynbombe
Bloonjitsu,Bloonjitsu
Bloon Sabotage,Bloon-sabotage
Sticky Bomb,Klisterbombe
Grandmaster Ninja,Stormesterninja
Grand Saboteur,Ærkesabotør
Master Bomber,Mesterbombemand
,
Larger Potions,Større Eliksirer
Stronger Acid,Stærkere Syre
Acid Pool,Syrebad
Acidic Mixture Dip,Syreholdigt Miksturdryp
Perishing Potions,Ødelæggende Eliksirer
Alchemist Faster Throwing,Hurtigere Kasteevne
Berserker Brew,Bersærkerbryg
Unstable Concoction,Ustabil Bryg
Lead to Gold,Bly til Guld
Stronger Stimulant,Stærkere Stimulant
Transforming Tonic,Transformerende Tonikum
Rubber to Gold,Gummi til Guld
Permanent Brew,Permanent Bryg
Total Transformation,Total Transformering
Bloon Master Alchemist,Bloon-mesteralkymist
,
Hard Thorns,Hårde Torne
Thorn Swarm,Tornesværm
Druidic Reach,Druidisk Rækkevidde
Heart of Thunder,Tordenhjerte
Heart of Oak,Egehjerte
Heart of Vengeance,Hævnhjerte
Druid of the Storm,Stormens Druide
Druid of the Jungle,Junglens Druide
Druid of Wrath,Vredens Druide
Ball Lightning,Kuglelyn
Jungle's Bounty,Junglens skatte
Poplust,Springlyst
Superstorm,Superstorm
Spirit of the Forest,Skovens Ånd
Avatar of Wrath,Vredens Avatar
,
Increased Production,Øget Produktion
Long Life Bananas,Langtidsholdbare Bananer
EZ Collect,Nem Indsamling
Greater Production,Større Produktion
Valuable Bananas,Værdifulde Bananer
Banana Salvage,Bananbjærgning
Banana Plantation,Bananplantage
Monkey Bank,Abebank
Marketplace,Markedsplads
Banana Research Facility,Bananforskningsanlæg
IMF loan,IMF-lån
Central Market,Centralmarked
Banana Central,Banancentral
Monkey-Nomics,Abe-konomi
Monkey Wall Street,Abe-børsen
,
Sentry Gun,Sensormaskingevær
Larger Service Area,Større rækkevidde
Oversize Nails,Overdimensionerede Søm
Faster Engineering,Hurtigere Konstruktion
Deconstruction,Dekonstruktion
Pin,Knappenål
Sprockets,Tandhjul
Cleansing Foam,Rensende Skum
Double Gun,Dobbeltpistol
Sentry Expert,Sensorekspert
Overclock,Tuning
Bloon Trap,Bloon-fælde
Sentry Paragon,Vagtpost-mester
Ultraboost,Ultra Boost
XXXL Trap,XXXL-fælde
,
Bigger Stacks,Større Stabler
Faster Production,Hurtigere Produktion
Long Reach,Lang Rækkevide
White Hot Spikes,Hvidglødende Søm
Even Faster Production,Endnu Hurtigere Produktion
Smart Spikes,Smarte søm
Spiked Balls,Sømkugler
MOAB SHREDR,MOAB-MAKULATOR
Long Life Spikes,Langtidsholdbare Søm
Spiked Mines,Sømminer
Spike Storm,Sømstorm
Deadly Spikes,Dødbringende Søm
Super Mines,Superminer
Carpet of Spikes,Sømtæppe
Perma-Spike,Perma-søm
,
Military Efficiency,Militær Effektivitet
Magic Sciences,Magividenskab
Private Tuition,Privatundervisning
Wider Influence,Øget indflydelse
Academic Network,Akademisk Netværk
Heroic Presence,Heroisk Tilstedeværelse
M.A.S.H,Militærhospital
Wizards Library,Troldmandsbibliotek
Heroic Academy,Helteakademi
Military Barracks,Militærbarakker
Magic Arcanum,Magikundskab
Power Hero Development (PhD),Power-helt Design (PhD)
Military HQ,Militærhovedkvarter
Nexus Crucible,Nexus-digel
Dynamic Duo,Dynamisk Duo
,
Bigger Radius,Større Radius
Grow Blocker,Vækstblokker
Monkey Business,Abestreger
Jungle Drums,Jungletrommer
Radar Scanner,Radarscanner
Monkey Commerce,Abehandel
Primary Training,Primær Træning
Monkey Intelligence Bureau,Aberetningstjenesten
Monkey Town,Abeby
Primary Mentoring,Primær Mentorskab
Call to Arms,Kalde til våben
Monkey City,Abeby
Primary Expertise,Primær Ekspertise
Homeland Defense,Hjemmeværn
Monkeyopolis,Abepolis
,
//Power names,
SuperMonkeyStorm,Super Abestorm
MonkeyBoost,Abe-boost
Thrive,Blomstre
DartTime,Tids-stop
CashDrop,Pengedrop
BananaFarmer,Bananbonde
PortableLake,Flytbar Sø
Pontoon,Ponton
RoadSpikes,Vejsøm
MoabMine,MOAB-mine
CamoTrap,Camo-fælde
GlueTrap,Limfælde
,
//Power descriptions,
SuperMonkeyStorm Description,"Det er en fugl. Det er et fly. Det er en eskadrille af flyvende, superdrevne laserstråleaber, der udsletter alle bloons på skærmen og udøver stor skade mod MOAB-klasse-bloons."
MonkeyBoost Description,Lad os skrue op til 11! Alle tårne angriber dobbelt så hurtigt i {0} sekunder.
Thrive Description,Øger pengeindtjeningen fra alle dine tårne og bloon-springning med {0} % i resten af runden og hele den næste runde!
DartTime Description,"Hvis det nogle gange bare går for hurtigt, så brug 'Stop tid' til kortvarigt at sætte alt i stå, så du kan fokusere på at organisere dine aber."
CashDrop Description,"Brug for hurtige penge? Få Abekommandoen til at kaste en af de her guldæg, der er proppet med penge, ned med det samme!"
BananaFarmer Description,"Træt af at samle alle de bananer op selv? Det er han også, men han bliver i det mindste betalt for det. Bonden samler automatisk alle bananer op i hans radius, så du ikke behøver gøre det."
PortableLake Description,"Ingen steder at placere din båd? Kloge aber ved, at de kan placere en flytbar sø på land, så man kan bruge sine vandenheder."
Pontoon Description,"Med pontonen kan du placere de fleste landtårne på vand! Sæt pontonen i vandet, sæt derefter dit landtårn oven på."
RoadSpikes Description,"En kæmpe bunke vejsøm, du kan lægge, hvor du mest har brug for det!"
MoabMine Description,"En kraftig mine, der registrerer MOAB-klasse-bloons og sprænger med stor skade."
CamoTrap Description,"Abeteknik når det er bedst. Denne fælde fjerner kamuflagen fra de første {0} bloons, som rører den."
GlueTrap Description,"Denne klæbrige fælde hæmmer de første {0} bloons, som svæver over den, før den forsvinder."
,
//Upgrade Descriptions,
Sharp Shots Description,Kan springe 1 ekstra bloon pr. skud.
Quick Shots Description,Skyder 15 % hurtigere.
Long Range Darts Description,Får dart-aben til at skyde længere end normalt.
Razor Sharp Shots Description,Kan springe 2 ekstra bloons pr. skud.
Very Quick Shots Description,Skyder 33 % hurtigere!
Enhanced Eyesight Description,Skyder endnu længere og kan se camo-bloons.
Spike-o-pult Description,"Laver dart-aben om til en Søm-o-pult, der kaster store sømkugler i stedet for dartpile. God rækkevidde, men langsommere angrebshastighed. Hver kugle kan springe masser af bloons og preller af forhindringer."
Triple Shot Description,Kaster 3 dartpile på én gang i stedet for 1.
Crossbow Description,"Bruger en langtrækkende armbrøst, som kan springe 3 bloons-lag for hver træfning."
Juggernaut Description,Kaster en gigantisk pigget kugle som springer bly og er fortræffelig til at knuse keramiske bloons.
Super Monkey Fan Club Description,"Superabe fan klub-evne: Forvandler op til 10 dartaber, ham selv inkluderet, til superaber i 15 sekunder. Normal angrebshastighed er også øget."
Sharp Shooter Description,"Skarpskytten angriber hurtigere og affyrer et kraftigt kritisk skud hver få sekunder, som gør meget mere skade."
Ultra-Juggernaut Description,"Gigantisk sømkugle, som deler sig to gange til 6 kæmpekugler, som gør endnu mere skade."
Plasma Monkey Fan Club Description,Elite-medlemsskab af denne klub giver dart-aberne endnu mere slagkraft!
Crossbow Master Description,Armbrøstmesteren skyder rigtigt hurtigt og tilintetgører med lethed de fleste bloon-typer.
,
Improved Rangs Description,Kan springe op til 8 bloons pr. kast.
Faster Throwing Description,Kaster boomeranger hurtigere.
Long Range Rangs Description,Kan kaste boomeranger længere end normalt.
Glaives Description,"Kaster skarpere, hurtigere og større glavind i stedet for boomeranger."
Faster Rangs Description,Boomeranger flyver hurtigere og længere.
Red Hot Rangs Description,Boomeranger kan nu springe Frosne og Bly bloons og gøre mere skade på alle typer.
Glaive Ricochet Description,Glavind vil hoppe automatisk og aggressivt fra bloon til bloon.
Bionc Boomerang Description,Udskifter armen med en stærk bionisk arm som kan kaste boomeranger ekstremt hurtigt og gøre mere skade på MOAB-klasse bloons.
Kylie Boomerang Description,"Kaster tunge Kylie-boomeranger, som flyver i en lige bane i stedet for en kurvet."
M.O.A.R Glaives Description,Avanceret rikochettering af flere objekter øger kraftigt glavind-rikochettere-abens allerede fantastiske slagkraft.
Turbo Charge Description,Turboladningsevne: får denne abe til at angribe utroligt hurtigt de næste 10 sekunder.
MOAB Press Description,Tung Kylie-boomerangen rammer MOAB-klasse-bloons flere gange pr. kast og slår dem nogle gange et lille stykke tilbage.
Glaive Lord Description,"Glavindmesteren omgiver sig med 3 specielle glavinder som flænser alt,  hvad drt kommer i nærheden. Glavindmesterens glavinder kan nu skære igennem MOAB-klasse bloons, og langsomt flå dem op indefra."
Perma Charge Description,Perma-ladning har en permanent super hurtig angrebshastighed. Evner øger effekten endnu mere.
MOAB Domination Description,Særlige tilbageslags-kylies udløses oftere og gør en masse ekstra skade.
,
Bigger Bombs Description,Affyrer større bomber med større sprængradius og springkraft.
Faster Reload Description,Genoplader hurtigere.
Extra Range Description,Øger angrebsrækkevidde.
Heavy Bombs Description,Tunge bomber kan smadre 2 bloon-lag på en gang og springe flere bloons.
Missile Launcher Description,"Udskifter bomber med missiler, som affyres hurtigere, flyver hurtigere, og har øget rækkevidde."
Frag Bombs Description,"Eksplosioner spreder skarpe fragmenter, som kan springe flere bloons, herunder sorte bloons."
Really Big Bombs Description,Kæmpe bomber gør skade over et stort område og gør at fragmenteringsbomber kan springe flere bloons.
MOAB Mauler Description,MOAB-Mukkerter gør meget mere skade på MOAB-klasse og keramik-bloons
Cluster Bombs Description,Kaster for hvert skud sekundære bomber i stedet for skarpe fragmenter.
Bloon Impact Description,Eksplosioner bliver så voldsomme at bloons bliver lammet i kort tid når de bliver ramt. Rækkevidden er øget og fragmenteringsbomber er endnu mere effektive.
MOAB Assassin Description,"MOAB-snigmorder-evne: Særlige missiler affyres, som gør enorm skade på MOAB-klasse-bloons. Normal angrebsrækkevidde og skade på MOAB-klasse bloons er også forøget."
Recursive Cluster Description,For hvert andet skud affyrer klyngebomberne flere klyngebomber for at øge ødelæggelsen.
Bloon Crush Description,Bloon-ødelæggende eksplosioner gør enorm skade og kan lamme MOAB-klasse-bloons.
MOAB Eliminator Description,Stor effekt på MOABs og Snigmorder-evne gør 6x skade med kortere nedkøling.
Bomb Blitz Description,"Gør meget mere skade og giver passiv Bombe-storm evne - når liv bliver mistet udløses bombe-stormen automatisk, hvilket destruerer alt undtagen de største bloons.
"
,
Faster Shooting Description,Affyrer stifter hurtigere.
Long Range Tacks Description,Stifterne flyver længere end normalt.
More Tacks Description,"Affyrer 10 stifter i stedet for 8, og Ildring gør yderligere skade."
Even Faster Shooting Description,Affyrer stifter endnu hurtigere.
Super Range Tacks Description,Stifter med endnu større rækkevidde som kan springe flere bloons.
Even More Tacks Description,Affyrer 12 stifter for hvert skud og Ildring gør yderligere skade.
Hot Shots Description,"Affyrer superhede stifter, der gør ekstra skade og kan springe bly-bloons."
Blade Shooter Description,Skifter stifterne ud med skarpe klinger som kan springe yderligere 5 bloons.
Tack Sprayer Description,Affyrer 16 stifter pr. salve.
Ring of Fire Description,Gør mere skade ved at affyre en dødbringende ring af flammer i stedet for stifter.
Blade Maelstrom Description,Klingemalstrøm-evne: dækker området med en storm af klinger.
Overdrive Description,Skyder utroligt hurtigt.
Inferno Ring Description,Dødbringende flammeinferno som rister bloons til aske.
Super Maelstrom Description,"Endnu kraftigere malstrøm-evne, som varer længere."
The Tack Zone Description,"Mange, mange stifter."
,
Permafrost Description,"Bloons bevæger sig langsomt, selv efter de tør op."
Enhanced Freeze Description,Angriber hurtigere og fryser længere.
Larger Radius Description,Større fryserækkevidde.
Metal Freeze Description,Kan fryse og springe bly- og camo-bloons.
Deep Freeze Description,Fryser gennem 2 bloons-lag.
Re-Freeze Description,"Kan genfryse bloons, der allerede er frosne."
Ice Shards Description,"Knivskarpe isskår flyver til alle sider, når frosne bloons springer."
Arctic Wind Description,Øger springkraften kraftigt og giver en super-kold aura som sinker bloons og fryser al vand i nærheden.
Cryo Cannon Description,Affyrer isbomber mod bloons over længere rækkevidde.
Embrittlement Description,"Kan træffe MOAB-bloons. Alle ramte MOAB-bloons bliver skrøbelige, bliver mere skadet, mens de er frosne, og mister deres camo-evner."
Snowstorm Description,"Snestormsevne: Fryser alle bloons på banen, og fryser midlertidigt hvide, zebra, camo, og sinker MOAB-klasse bloons."
Icicles Description,"Frosne bloons får skarpe istapper, som springer bloons, de kommer i kontakt med."
Super Brittle Description,"Bloons - også MOAB-klasse-bloons - tager enormt mere skade, når de er frosne."
Absolute Zero Description,"Evnen er så kold, at den fryser alle bloon-typer længere, inklusiv hvide, zebra, camo, og sinker MOAB-klasse længere, og øger kraftigt angrebshastigheden for alle is-aber under varighedstiden."
Icicle Impale Description,"Affyrer kæmpe istapper, der gør stor skade mod MOAB-klasse-bloons og fryser dem."
,
Glue Soak Description,Lim gennemtrænger alle bloons-lag.
Bigger Globs Description,Kan dække 2 ekstra bloons pr. skud.
Stickier Glue Description,Får limeffekten til at virke længere.
Corrosive Glue Description,Limede bloons springer et lag hver få sekunder.
Glue Splatter Description,Overstænker op til 6 bloons med lim pr. skud.
Stronger Glue Description,Hæmmer bloons endnu mere.
Bloon Dissolver Description,Ekstreme opløsningsmidler smelter to lag hvert sekund.
Glue Hose Description,Skyder lim ud 3 x hurtigere!
MOAB Glue Description,"Forbedret formel gør, at limen virker på MOAB-klasse-bloons."
Bloon Liquefier Description,Kan klistre en ekstra bloon pr. skud og bruger et opløsningsmiddel til at lave 10 spring pr. Sekund.
Glue Strike Description,"Limangrebsevne: limer alle bloons på skærmen, hvilket gør dem mere modtagelige overfor skade under varighedstiden."
Relentless Glue Description,"Sprængte, limede bloons efterlader en klat lim på vejen."
The Bloon Solver Description,Har du et bloons-problem? Her er løsningen.
Glue Storm Description,Limstorm-evne bombarderer hele skærmen med lim i 15 sekunder. Limede bloons tager ekstra skade mens de er limede.
Super Glue Description,"Lim med en sådan styrke, at den midlertidigt immobiliserer alle berørte bloons."
,
Full Metal Jacket Description,"Skud går igennem 4 bloons-lag, og både kugler og sprængstykker kan springe bly- og frosne bloons."
