//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Kliknij
Buccaneer-Grape Shot,Winogronowa kula
Buccaneer-Long Range,Daleki zakres
Buccaneer-Double Shot,Podwójny strzał
Buccaneer-Hot Shot,Gorący strzał
Buccaneer-Crow's Nest,Bocianie gniazdo
Buccaneer-Destroyer,Niszczyciel
Buccaneer-Cannon Ship,Statek artyleryjski
Buccaneer-Merchantman,Kupiec
Buccaneer-Aircraft Carrier,Lotniskowiec
Buccaneer-Monkey Pirates,Małpi piraci
Buccaneer-Favored Trades,Zawody uprzywilejowane
Buccaneer-Carrier Flagship,Flagowy lotniskowiec
Buccaneer-Pirate Lord,Lord piratów
Buccaneer-Trade Empire,Handlowe imperium
,
Rapid Fire,Gwałtowny ostrzał
Exploding Pineapple,Eksplodujący ananas
Sharper Darts,Ostrzejsze rzutki
Lots More Darts,Dużo więcej rzutek
Spy Plane,Samolot zwiadowczy
Centered Path,Wyśrodkowany tor
Fighter Plane,Myśliwiec
Bomber Ace,Bombowy as
Neva-Miss Targeting,Nieomylne celowanie
Operation: Dart Storm,Operacja: burza rzutek
Ground Zero,Punkt zerowy
Spectre,Widmo
Sky Shredder,Podniebny rozpruwacz
Tsar Bomba,Carska bomba
Flying Fortress,Latająca forteca
,
Quad Darts,Poczwórne rzutki
Bigger Jets,Większe silniki
Faster Firing,Szybsze strzelanie
Pursuit,Pogoń
IFR,IFR
Faster Darts,Szybsze rzutki
Razor Rotors,Obrotowe brzytwy
Downdraft,Prąd zstępujący
MOAB Shove,Spychacz MOAB-ów
Apache Dartship,Rzutkolot Apaczów
Support Chinook,Chinook wspierający
Comanche Defense,Obrona Komanczów
Apache Prime,Najlepszy Apacz
Special Poperations,Przebijacje specjalne
Comanche Commander,Dowódca Komanczów
,
Bigger Blast,Większy wybuch
Mortar Faster Reload,Szybsze przeładowanie
Increased Accuracy,Zwiększona precyzja
Bloon Buster,Pogromca blonów
Mortar Rapid Reload,Błyskawiczne przeładowanie
Burny Stuff,Coś płonącego
Shockwave,Nerwica frontowa
Heavy Shells,Ciężkie pociski
Signal Flare,Flara sygnałowa
The Big One,Coś wielkiego
Artillery Battery,Bateria artyleryjska
Shattering Shells,Druzgocące pociski
The Biggest One,Coś największego
Pop and Awe,Przekłucie i przerażenie
Blooncineration,Sblonięcie
,
Focused Firing,Skupiony ogień
Advanced Targeting,Zaawansowane celowanie
Powerful Darts,Potężne rzutki
Faster Swivel,Szybszy obrót
Faster Barrel Spin,Szybszy obrót lufy
Depleted Bloontonium,Zubożone blontonium
Laser Shock,Laserowe porażenie
Laser Cannon,Laserowe działo
Hydra Rocket Pods,Kapsuły Hydry
Buckshot,Śrut
Plasma Accelerator,Akcelerator plazmy
Rocket Storm,Burza rakiet
Bloon Area Denial System,System wyparcia blonów
Ray of Doom,Promień zagłady
M.A.D,P.N.M
Bloon Exclusion Zone,Strefa zamknięta dla blonów
,
Guided Magic,Magia sterowana
Fireball,Kula ognia
Intense Magic,Intensywna magia
Arcane Blast,Tajemniczy wybuch
Wall of Fire,Ściana ognia
Monkey Sense,Małpi zmysł
Arcane Mastery,Tajemnicza przewaga
Dragon's Breath,Oddech smoka
Shimmer,Migotanie
Arcane Spike,Tajemniczy kolec
Summon Phoenix,Wezwanie feniksa
Necromancer: Unpopped Army,Nekromanta: armia nieprzekłutych
Archmage,Arcymag
Wizard Lord Phoenix,Lord czarodziej Feniks
Soulbind,Książę ciemności
,
Laser Blasts,Laserowe wybuchy
Super Range,Super zasięg
Knockback,Cofnięcie
Plasma Blasts,Plazmowe wybuchy
Epic Range,Epicki zasięg
Ultravision,Ultrawizja
Sun Avatar,Awatar Słońca
Robo Monkey,Robomałpka
Dark Knight,Mroczny rycerz
Sun Temple,Świątynia Słońca
Tech Terror,Techno terror
Dark Champion,Mroczny mistrz
True Sun God,Bóg Słońca
The Anti-Bloon,Anty blon
Legend of the Night,Legenda nocy
,
Ninja Discipline,Dyscyplina ninja
Distraction,Rozproszenie
Seeking Shuriken,Shuriken szukający
Sharp Shurikens,Ostre shurikeny
Counter-Espionage,Kontrwywiad
Caltrops,Kolczatki
Double Shot,Podwójny strzał
Shinobi Tactics,Taktyki Shinobi
Flash Bomb,Bomba błyskowa
Bloonjitsu,Blonjitsu
Bloon Sabotage,Sabotaż blonów
Sticky Bomb,Klejąca bomba
Grandmaster Ninja,Arcymistrz ninja
Grand Saboteur,Wielki sabotażysta
Master Bomber,Mistrz bomby
,
Larger Potions,Większe mikstury
Stronger Acid,Mocniejszy kwas
Acid Pool,Kałuża z kwasem
Acidic Mixture Dip,Zanurzenie w kwasie
Perishing Potions,Okropne mikstury
Alchemist Faster Throwing,Szybsze rzuty
Berserker Brew,Napój berserkera
Unstable Concoction,Niestabilna mikstura
Lead to Gold,Ołów w złoto
Stronger Stimulant,Mocniejszy stymulant
Transforming Tonic,Tonik transformujący
Rubber to Gold,Guma w złoto
Permanent Brew,Permanentny napój
Total Transformation,Totalna transformacja
Bloon Master Alchemist,Mistrz alchemii blonów
,
Hard Thorns,Twarde ciernie
Thorn Swarm,Rój cierni
Druidic Reach,Zasięg druida
Heart of Thunder,Serce grzmotu
Heart of Oak,Serce dębu
Heart of Vengeance,Serce zemsty
Druid of the Storm,Druid burzy
Druid of the Jungle,Druid dżungli
Druid of Wrath,Druid gniewu
Ball Lightning,Piorun kulisty
Jungle's Bounty,Nagroda dżungli
Poplust,Żądza kłucia
Superstorm,Superburza
Spirit of the Forest,Duch lasu
Avatar of Wrath,Awatar gniewu
,
Increased Production,Zwiększona produkcja
Long Life Bananas,Długowieczne banany
EZ Collect,Łatwy zbiór
Greater Production,Większa produkcja
Valuable Bananas,Cenne banany
Banana Salvage,Ocalenie bananów
Banana Plantation,Plantacja bananów
Monkey Bank,Małpi bank
Marketplace,Targowisko
Banana Research Facility,Placówka badawcza bananów
IMF loan,Pożyczka
Central Market,Główny rynek
Banana Central,Centrala bananów
Monkey-Nomics,Małpko-nomia
Monkey Wall Street,Małpi Wall Street
,
Sentry Gun,Strzelający strażnik
Larger Service Area,Większy obsługiwany obszar
Oversize Nails,Ponadwymiarowe gwoździe
Faster Engineering,Szybsza inżynieria
Deconstruction,Dekonstrukcja
Pin,Szpila
Sprockets,Zębatki
Cleansing Foam,Pianka czyszcząca
Double Gun,Podwójny pistolet
Sentry Expert,Strażnik ekspert
Overclock,Podkręcenie
Bloon Trap,Blonowa pułapka
Sentry Paragon,Strażnik mistrz
Ultraboost,Ultradoładowanie
XXXL Trap,Pułapka XXXL
,
Bigger Stacks,Większe stosy
Faster Production,Szybsza produkcja
Long Reach,Daleki zasięg
White Hot Spikes,Rozgrzane kolce
Even Faster Production,Jeszcze szybsza produkcja
Smart Spikes,Sprytne kolce
Spiked Balls,Kolczaste kule
MOAB SHREDR,SZARPO MOAB
Long Life Spikes,Długożyjące kolce
Spiked Mines,Kolczaste miny
Spike Storm,Kolczasta burza
Deadly Spikes,Śmiercionośne kolce
Super Mines,Super miny
Carpet of Spikes,Kolczasty dywan
Perma-Spike,Perma-kolce
,
Military Efficiency,Militarna wydajność
Magic Sciences,Magiczna nauka
Private Tuition,Prywatne nauczanie
Wider Influence,Szerszy wpływ
Academic Network,Sieć akademicka
Heroic Presence,Heroiczna obecność
M.A.S.H,M.A.S.C.
Wizards Library,Biblioteka czarodzieja
Heroic Academy,Akademia bohaterów
Military Barracks,Wojskowe koszary
Magic Arcanum,Arkana magii
Power Hero Development (PhD),Rozwój mocy bohatera
Military HQ,Wojskowa kwatera główna
Nexus Crucible,Połączone ogniwa
Dynamic Duo,Dynamiczny duet
,
Bigger Radius,Większy promień
Grow Blocker,Blokada wzrostu
Monkey Business,Małpi biznes
Jungle Drums,Rytm dżungli
Radar Scanner,Radar
Monkey Commerce,Małpi handel
Primary Training,Trening podstawowy
Monkey Intelligence Bureau,Małpie biuro wywiadu
Monkey Town,Małpie miasteczko
Primary Mentoring,Mentoring podstawowy
Call to Arms,Do broni
Monkey City,Małpie miasto
Primary Expertise,Ekspertyza podstawowa
Homeland Defense,Obrona ojczyzny
Monkeyopolis,Małpiopolis
,
//Power names,
SuperMonkeyStorm,Super małpia burza
MonkeyBoost,Małpie doładowanie
Thrive,Przepych
DartTime,Czas stop
CashDrop,Zrzut kasy
BananaFarmer,Farmer bananów
PortableLake,Przenośne jezioro
Pontoon,Ponton
RoadSpikes,Kolce drogowe
MoabMine,Mina MOAB
CamoTrap,Kamuflażowa pułapka
GlueTrap,Klejąca pułapka
,
//Power descriptions,
SuperMonkeyStorm Description,"To ptak. To samolot. To eskadra latających super laserowych małpek, które niszczą każdego blona na ekranie i zadają duże obrażenia blonom klasy MOAB."
MonkeyBoost Description,Podkręćmy do 11! Wszystkie wieże atakują z podwójną szybkością przez {0} sek.
Thrive Description,"Zwiększona produkcja gotówki we wszystkich wieżach, a blony pękają o {0}% więcej przez resztę tej rundy i całą następną!"
DartTime Description,"Jeśli wszystko dzieje się za szybko, użyj mocy Czas stop, by na chwilę zatrzymać całą akcję i skupić się na zarządzaniu małpkami."
CashDrop Description,Potrzebujesz szybkiej kasy? Niech małpie dowództwo natychmiast wystrzeli jednego z tych łobuzów pełnych gotówki!
BananaFarmer Description,"Męczy cię własnoręczne zbieranie bananów? Tego kolesia też, ale jemu przynajmniej płacą. Farmer będzie automatycznie zbierał wszystkie banany w swoim promieniu, a ty masz wolne."
PortableLake Description,"Nie masz gdzie zwodować łodzi? Sprytne małpki wiedzą, że mogą umieścić na ziemi przenośne jezioro, na którym można rozlokować wodne jednostki."
Pontoon Description,"Umieść niemal każdą naziemną wieżę na wodzie za pomocą pontonu! Rozlokuj ponton na wodzie, a potem postaw na nim wieżę."
RoadSpikes Description,"Wielki stos kolców drogowych jest gotowy, by położyć go tam, gdzie jest najbardziej potrzebny!"
MoabMine Description,"Potężna mina, która wykrywa obecność blonów klasy MOAB i wybucha, zadając duże obrażenia."
CamoTrap Description,"Cud małpiej inżynierii; ta pułapka usunie kamuflaż z pierwszych {0} blonów, które jej dotkną."
GlueTrap Description,"Ta klejąca pułapka spowolni pierwsze {0} blonów, które przez nią przejdą, a potem zniknie."
,
//Upgrade Descriptions,
Sharp Shots Description,Przekłuwa dodatkowo 1 blona na strzał.
Quick Shots Description,Strzela o 15% szybciej.
Long Range Darts Description,"Sprawia, że małpka z rzutkami strzela dalej niż zwykle."
Razor Sharp Shots Description,Przekłuwa dodatkowo 2 blony na strzał.
Very Quick Shots Description,Strzela o 33% szybciej!
Enhanced Eyesight Description,Strzela jeszcze dalej i wykrywa kamuflażowe blony.
Spike-o-pult Description,"Zamienia małpkę z rzutkami w wolniej atakującą kolcopultę, która ciska wielkimi kolczastymi kulami. Każda kula przekłuwa wiele blonów i odbija się od przeszkód."
Triple Shot Description,Rzuca 3 rzutki naraz zamiast 1.
Crossbow Description,"Wykorzystuje kuszę dalekiego zasięgu, która może przekłuć 3 warstwy blonów za każdym razem."
Juggernaut Description,"Ciska wielką kolczastą kulą, która przekłuwa ołów i doskonale miażdży ceramiczne blony."
Super Monkey Fan Club Description,"Umiejętność fanklub supermałpki: zamienia na 15 sekund do 10 najbliższych małpek z rzutkami, w tym siebie, w supermałpki. Regularna prędkość ataku również wzrasta."
Sharp Shooter Description,"Celny strzelec atakuje szybciej i co kilka strzałów oddaje potężne strzały krytyczne, które zadają o wiele większe obrażenia."
Ultra-Juggernaut Description,"Gigantyczna kolczasta kula dzieli się 2 razy na 6 kul z katapulty, by niszczyć jeszcze bardziej."
Plasma Monkey Fan Club Description,Elitarne członkowstwo w tym klubie daje małpkom z rzutkami jeszcze więcej mocy!
Crossbow Master Description,Mistrz kuszy strzela naprawdę szybko i niszczy z łatwością większość typów blonów.
,
Improved Rangs Description,Może przekłuwać do 8 blonów na rzut.
Faster Throwing Description,Rzuca bumerangami szybciej.
Long Range Rangs Description,Może rzucać bumerangami dalej niż zwykle.
Glaives Description,Rzuca ostrzejszymi i szybszymi glewiami zamiast bumerangów.
Faster Rangs Description,Bumerangi wystrzeliwują i lecą szybciej.
Red Hot Rangs Description,Teraz bumerangi przekłuwają zamrożone i ołowiane blony oraz zadają wszystkim blonom większe obrażenia.
Glaive Ricochet Description,Glewie będą odbijać się od blonów automatycznie i agresywnie.
Bionc Boomerang Description,"Zastępuje ramię silnym bionicznym ramieniem, które może rzucać bumerangami ekstremalnie szybko i zadaje większe obrażenia blonom klasy MOAB."
Kylie Boomerang Description,"Rzuca ciężkimi bumerangami Kylie, które lecą prosto i nie zakręcają."
M.O.A.R Glaives Description,Wielo-Obiektowe Zaawansowane Rykoszety znacznie zwiększają już niezwykłe moce małpki z glewiami rykoszetowymi.
Turbo Charge Description,Umiejętność turbodoładowania: ta małpka atakuje niezwykle szybko przez 10 sekund.
MOAB Press Description,"Ciężki bumerang Kylie uderza w blony klasy MOAB kilkakrotnie, a czasem cofa je trochę na ścieżce."
Glaive Lord Description,"Lord glewii otacza się 3 specjalnymi glewiami, które tną wszystko, co się zbliży. Glewie Lorda przecinają blony klasy MOAB i powoli rozrywają je od środka."
Perma Charge Description,Trwałe doładowanie daje trwałą super szybkość ataku. Ta umiejętność jeszcze bardziej zwiększa śmiertelność blonów.
MOAB Domination Description,Specjalne cofające Kylie pojawiają się częściej i zadają dużo dodatkowych obrażeń.
,
Bigger Bombs Description,"Strzela większymi bombami, które obejmują większy obszar i mają większą moc przekłucia."
Faster Reload Description,Przeładowuje szybciej.
Extra Range Description,Zwiększa zakres ataku.
Heavy Bombs Description,Trwałe bomby mogą przedrzeć się przez 2 warstwy blonów naraz i przekłuć więcej blonów.
Missile Launcher Description,"Zamienia bomby w rakiety, które wystrzeliwują szybciej, lecą szybciej i mają większy zasięg."
Frag Bombs Description,"Eksplozje rozrzucają ostre odłamki, które mogą przekłuć więcej blonów, w tym czarne."
Really Big Bombs Description,Wielkie bomby zadają większe obrażenia na większym obszarze i pozwalają odłamkom przekłuwać więcej blonów.
MOAB Mauler Description,Zabijaki MOAB-ów zadają o wiele większe obrażenia blonom klasy MOAB.
Cluster Bombs Description,"Zamiast ostrych odłamków, za każdym strzałem wyrzuca kolejne bomby."
Bloon Impact Description,"Eksplozje są tak brutalne, że blony pozostają ogłuszone przez krótką chwilę po trafieniu. Zasięg rośnie, a odłamki są bardziej efektywne."
MOAB Assassin Description,Umiejętność zabójca MOAB-ów: specjalna rakieta zadaje ogromne obrażenia blonom klasy MOAB. Regularny zasięg ataku i obrażenia klasy MOAB również rosną.
Recursive Cluster Description,"Co drugi strzał bomby kasetowe wyrzucają jeszcze więcej bomb kasetowych, co zwiększa destrukcję."
Bloon Crush Description,Eksplozje rozrywające blony zadają duże obrażenia i mogą ogłuszać blony klasy MOAB.
MOAB Eliminator Description,Potężne obrażenia MOAB-ów oraz umiejętność zabójcy zadaje 6x większe obrażenia z krótkim odnowieniem.
Bomb Blitz Description,"Zadaje znacznie większe obrażenia i zyskuje pasywną zdolność burzy bomb – przy utracie żyć burza bomb uruchamia się automatycznie, niszcząc wszystkie blony prócz największych."
,
Faster Shooting Description,Szybciej strzela gwoździami.
Long Range Tacks Description,Gwoździe lecą dalej niż zwykle.
More Tacks Description,Wypuszcza 10 gwoździ zamiast 8 oraz zwiększa obrażenia zadawane przez pierścień ognia.
Even Faster Shooting Description,Strzela gwoździami jeszcze szybciej.
Super Range Tacks Description,Nawet gwoździe dalszego zasięgu mogą przekłuwać więcej blonów.
Even More Tacks Description,Wypuszcza 12 gwoździ naraz i dalej zwiększa obrażenia zadawane przez pierścień ognia.
Hot Shots Description,"Strzela super gorącymi gwoździami, które zadają dodatkowe obrażenia i mogą przekłuwać ołowiane blony."
Blade Shooter Description,"Zamienia gwoździe na ostrza, które mogą przekłuć do 5 dodatkowych blonów."
Tack Sprayer Description,Rozrzuca 16 gwoździ na serię.
Ring of Fire Description,"Zamiast używać gwoździ, uszkadza o wiele więcej blonów śmiercionośnym pierścieniem ognia."
Blade Maelstrom Description,Umiejętność wiru ostrzy: pokrywa obszar burzą ostrzy.
Overdrive Description,Strzela niezwykle szybko.
Inferno Ring Description,Śmiertelne piekło płomieni smaży blony i wysyła w nicość.
Super Maelstrom Description,Umiejętność wiru jest jeszcze mocniejsza i trwa dłużej.
The Tack Zone Description,"Wiele, wiele gwoździ."
,
Permafrost Description,"Blony poruszają się wolniej, nawet gdy się rozmrożą."
