//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klikk
Fireball,Ildkule
Intense Magic,Intens magi
Arcane Blast,Pil-eksplosjon
Wall of Fire,Ildvegg
Monkey Sense,Apesans
Arcane Mastery,Mystiske mestere
Dragon's Breath,Dragepust
Shimmer,Flimmer
Arcane Spike,Mystisk spidd
Summon Phoenix,Tilkall føniks
Necromancer: Unpopped Army,Åndemaner: upoppet armé
Archmage,Erkemagiker
Wizard Lord Phoenix,Trollmannherren Føniks
Soulbind,Mørkets prins
,
Laser Blasts,Lasersmell
Super Range,super rekkevidde
Knockback,Tilbakeslag
Plasma Blasts,Plasmasmell
Epic Range,Episk rekkevidde
Ultravision,Ultrasyn
Sun Avatar,Sol-avatar
Robo Monkey,Robotape
Dark Knight,Mørke ridder
Sun Temple,Soltempel
Tech Terror,Tek-terror
Dark Champion,Mørke mester
True Sun God,Ekte Solgud
The Anti-Bloon,Anti-bloon
Legend of the Night,Nattens legende
,
Ninja Discipline,Ninjadisiplin
Distraction,Distraksjon
Seeking Shuriken,Søkende kastestjerner
Sharp Shurikens,Skarpe kastestjerner
Counter-Espionage,Motspionasje
Caltrops,Fotangel
Double Shot,Dobbelskudd
Shinobi Tactics,Shinobi-taktikker
Flash Bomb,Flash-granat
Bloonjitsu,Bloonjitsu
Bloon Sabotage,Bloon-sabotasje
Sticky Bomb,Klissete bombe
Grandmaster Ninja,Stormester ninja
Grand Saboteur,Store sabotør
Master Bomber,Mesterbomber
,
Larger Potions,Større brygg
Stronger Acid,Sterkere syre
Acid Pool,Syrebasseng
Acidic Mixture Dip,Syrlig mikstur-dypp
Perishing Potions,Fortapte brygg
Alchemist Faster Throwing,Raskere kast
Berserker Brew,Berserkerbrygg
Unstable Concoction,Ustabil blanding
Lead to Gold,Bly til gull
Stronger Stimulant,Sterkere stimulant
Transforming Tonic,Transformerende tonikum
Rubber to Gold,Gummi til gull
Permanent Brew,Permanent brygg
Total Transformation,Total torvandling
Bloon Master Alchemist,Bloon mesteralkymist
,
Hard Thorns,Harde torner
Thorn Swarm,Tornesverm
Druidic Reach,Druidisk rekkevidde
Heart of Thunder,Tordenhjerte
Heart of Oak,Eikehjerte
Heart of Vengeance,Hevnhjerte
Druid of the Storm,Druide av stormen
Druid of the Jungle,Druide av jungelen
Druid of Wrath,Druide av vrede
Ball Lightning,Lynkule
Jungle's Bounty,Jungelens overflod
Poplust,Poppelyst
Superstorm,Superstorm
Spirit of the Forest,Skogens ånd
Avatar of Wrath,Vredens avatar
,
Increased Production,Økt produksjon
Long Life Bananas,Langvarige bananer
EZ Collect,Enkel oppsamling
Greater Production,Større produksjon
Valuable Bananas,Dyrebare bananer
Banana Salvage,Bananredning
Banana Plantation,Bananplantasje
Monkey Bank,Apebank
Marketplace,Markedsplass
Banana Research Facility,Bananforskningsanlegg
IMF loan,IMF-lån
Central Market,Hovedmarked
Banana Central,Banansentral
Monkey-Nomics,Apenomi
Monkey Wall Street,Ape Wall Street
,
Sentry Gun,Vaktpistol
Larger Service Area,Større tjenesteområde
Oversize Nails,Forstørrede spiker
Faster Engineering,Raskere ingeniørarbeid
Deconstruction,Dekonstruksjon
Pin,Stikke
Sprockets,Kjedehjul
Cleansing Foam,Renseskum
Double Gun,Dobbelpistol
Sentry Expert,Vaktekspert
Overclock,Overklokking
Bloon Trap,Bloon-felle
Sentry Paragon,Mestervakt
Ultraboost,Ultraboost
XXXL Trap,XXXL felle
,
Bigger Stacks,Større hauger
Faster Production,Raskere produksjon
Long Reach,Lang rekkevidde
White Hot Spikes,Hvitvarme spikre
Even Faster Production,Enda raskere produksjon
Smart Spikes,Smartspiker
Spiked Balls,Spikerkuler
MOAB SHREDR,MOAB-MAKULERER
Long Life Spikes,Langvarige spiker
Spiked Mines,Spikerminer
Spike Storm,Spikerstorm
Deadly Spikes,Dødelige spiker
Super Mines,Superminer
Carpet of Spikes,Spikermatte
Perma-Spike,Perma-spiker
,
Military Efficiency,Militæreffektivitet
Magic Sciences,Magisk vitenskap
Private Tuition,Privatundervisning
Wider Influence,Bredere innvirkning
Academic Network,Akademisk nettverk
Heroic Presence,Heroisk tilsteværelse
M.A.S.H,M.A.S.H
Wizards Library,Trollmann-bibliotek
Heroic Academy,Helte-akademi
Military Barracks,Militærbrakker
Magic Arcanum,Magiske hemmeligheter
Power Hero Development (PhD),Krafthelt-utvikler
Military HQ,Militært hovedkvarter
Nexus Crucible,Nexus-digel
Dynamic Duo,Dynamisk duo
,
Bigger Radius,Større radius
Grow Blocker,Vekstblokker
Monkey Business,Ape-business
Jungle Drums,Jungeltrommer
Radar Scanner,Radarskanner
Monkey Commerce,Ape-handel
Primary Training,Primærtrening
Monkey Intelligence Bureau,Ape-etteretningsbyrå
Monkey Town,Apelandsby
Primary Mentoring,Primærveiledning
Call to Arms,Kampinnkalling
Monkey City,Apeby
Primary Expertise,Primær-ekspertise
Homeland Defense,Hjemmefront
Monkeyopolis,Apeopolis
,
//Power names,
SuperMonkeyStorm,Super apestorm
MonkeyBoost,Apeøkning
Thrive,Blomstre
DartTime,Tidsstopp
CashDrop,Pengeslipp
BananaFarmer,Bananbonde
PortableLake,Bærbar innsjø
Pontoon,Pontong
RoadSpikes,Spikermatter
MoabMine,MOAB-mine
CamoTrap,Kamuflasje-felle
GlueTrap,Limfelle
,
//Power descriptions,
SuperMonkeyStorm Description,Det er en fugl. Det er et fly. Det er en skvadron av flyvende supersterke laserskytende apekatter som ødelegger hver eneste bloon på skjermen og gjør stor skade på bloons i MOAB-klassen.
MonkeyBoost Description,Vi skrur det opp til 11! Alle tårn angriper dobbelt så fort i {0} sekunder.
Thrive Description,Øk pengeproduksjon fra alle tårnene dine og bloonpoppinger med {0}% ut runden og hele neste runde!
DartTime Description,"Hvis ting går for fort noen ganger, kan du bruke Tidsstopp for å stanse alt i en kort stund mens du administrerer apene dine."
CashDrop Description,Trenger du et raskt påfyll av penger? Få Ape-kommando til å skyte ned en av disse som er stappfulle av penger nå!
BananaFarmer Description,"Lei av å plukke alle bananene på egen hånd? Det er denne fyren og, men han får i det minste betalt for det. Bonden vil automatisk høste inn bananene innenfor sitt område, slik at du ikke må gjøre det."
PortableLake Description,"Ingen plasser å flyte på? Smarte aper vet at de kan plassere en bærbar innsjø på land, og dermed ha muligheten til å sette ut vannenheter der de måtte ønske det."
Pontoon Description,Plasser nesten alle typer landbaserte tårn på vannet med pontongen! Plasser pontongen på vannet og plasser deretter ditt landbaserte tårn på den.
RoadSpikes Description,En svær stabel med Veispikere klare til å legges ned der du trenger dem mest!
MoabMine Description,En kraftig mine som oppdager tilstedeværelsen av bloons av MOAB-klasse og eksploderer for å utgjøre masse skade.
CamoTrap Description,Ape-ingeniørarbeid på sitt beste. Denne fellen fjerner kamuflasje fra den første {0} bloonen som berører den.
GlueTrap Description,"Denne klissete fellen sakker ned de første {0} bloons som går over den, før den forsvinner."
,
//Upgrade Descriptions,
Sharp Shots Description,Kan poppe 1 ekstra bloon per skudd.
Quick Shots Description,Skyter 15% raskere.
Long Range Darts Description,Gjør at Dart-apen kan skyte lengre enn vanlig.
Razor Sharp Shots Description,Kan poppe 2 ekstra bloons per skudd.
Very Quick Shots Description,Skyter 33% raskere!
Enhanced Eyesight Description,Skyter enda lengre og kan oppdage kamuflasje.
Spike-o-pult Description,Konverterer Dart-apen til en langsomt angripende Pigg-o-pult som kaster en stor spikerkule. Hver kule kan poppe flere bloons og spretter av hinder.
Triple Shot Description,Kaster 3 dartpiler om gangen istedenfor 1.
Crossbow Description,Bruker en armbrøst med lang rekkevidde som kan poppe 3 lag med bloons for hvert treff.
Juggernaut Description,Slynger en gigantisk spikerkule som popper bly og er utmerket til å knuse keramiske og forsterkede bloons.
Super Monkey Fan Club Description,"Superape-fanklubbevne: Konverterer opptil 10 dart-aper i nærheten, inkludert seg selv, om til Superaper i 15 sekunder. Vanlig angrepshastighet økes også."
Sharp Shooter Description,"Skarpskyttere angriper raskere og får av og til inn kraftfulle kritiske skudd, som gjør masse skade."
Ultra-Juggernaut Description,Gigantisk spikerkule deles to ganger til seks Juggernaut-baller for enda mer ødelggende skade mot keramiske og forsterkede bloons.
Plasma Monkey Fan Club Description,Elite-medlemskap i denne klubben gir Dart-aper enda flere krefter!
Crossbow Master Description,Armbrøstmester skyter veldig fort og ødelegger de fleste bloon-typer lett som en plett.
,
Improved Rangs Description,Kan poppe opptil 8 bloons per kast.
Faster Throwing Description,Kaster bumeranger fortere.
Long Range Rangs Description,Kan kaste bumeranger lengre enn normalt.
Glaives Description,"Kaster skarpere, raskere og større sverd i stedet for boomeranger."
Faster Rangs Description,Bumeranger skytes og reiser raskere.
Red Hot Rangs Description,"Bumeranger popper nå frosne bloons og bly-bloons, og påfører mer skade på alle."
Glaive Ricochet Description,Lanser spretter fra bloon til bloon automatisk og aggressivt.
Bionc Boomerang Description,Armen byttes ut med en sterk bionisk arm som kan kaste boomeranger ekstremt raskt og gjøre mer skade på MOAB-klasse bloons.
Kylie Boomerang Description,Kaster tunge Kylie-bumeranger som flyr rett i stedet for buet.
M.O.A.R Glaives Description,Multi-Objekt Avansert Sprett forsterker de allerede ekstraordinære kreftene til den sprettlanse-apen.
Turbo Charge Description,Turboladning-evne: Gjør dette ape-angrepet utrolig raskt i 10 sekunder.
MOAB Press Description,Tunge Kylie-bumeranger treffer bloons av MOAB-klasse flere ganger per kast og slår dem noen ganger tilbake et kort stykke på stien.
Glaive Lord Description,"Lanseherren omringer seg med 3 spesiallanser som kutter alt de berører. Lanseherrens lanser trenger seg nå gjennom bloons av MOAB-klasse, og river dem sakte i stykker fra innsiden."
Perma Charge Description,Permaladning har permanent superraskt angrepshastighet. Evnen øker dødeligheten enda mer.
MOAB Domination Description,Spesielle tilbakeslag-kylies utløses oftere og gjør masse ekstra skade.
,
Bigger Bombs Description,"Skyter større bomber, de har større nedslagsområde og mer poppekraft."
Faster Reload Description,Lader raskere.
Extra Range Description,Øker angrepsrekkevidde.
Heavy Bombs Description,Massive bomber som kan sprenge gjennom 2 bloonslag samtidig og poppe flere bloons.
Missile Launcher Description,"Bytt ut bomber med missiler, for raskere avfyring, redusert lufttid og økt rekkevidde."
Frag Bombs Description,"Eksplosjoner kaster ut skarpe fragmenter som kan poppe flere bloons, inkludert svarte bloons."
Really Big Bombs Description,Enorme bomber påfører større skade i et stort område og gjør det mulig for håndgranater å poppe flere bloons.
MOAB Mauler Description,MOAB-kløyvere gjør mye mer skade på bloons av MOAB-klasse.
Cluster Bombs Description,Kaster ut sekundærbomber i stedet for skarpe fragmenter hvert skudd.
Bloon Impact Description,Eksplosjonene blir så voldelige at bloons blir lamslåtte i en kort periode når de blir truffet. Rekkevidden økes og fragmenter blir enda mer effektive.
MOAB Assassin Description,Drep MOAB-evne: Spesialmissil flyr ut og gjør massiv skade på bloons av MOAB-klasse. Vanlig angrepsrekkevidde og skade på MOAB-klasse økes også.
Recursive Cluster Description,For hvert 2. skudd klasebomben sender ut kommer det flere klasebomber for å gjøre enda mer ødeleggelse.
Bloon Crush Description,Bloon-knusende eksplosjoner gjør massiv skade og kan lamme bloons av MOAB-klasse.
MOAB Eliminator Description,Enorm skade på MOAB og Drep-evnen påfører 6x skaden med kort nedkjøling.
Bomb Blitz Description,"Påfører mye mer skade og får den passive evnen Bombestorm  –når liv går tapt, utløses Bombestorm automatisk, som ødelegger alle bortsett fra de største bloonsene."
,
Faster Shooting Description,Skyter stifter raskere.
Long Range Tacks Description,Stifter flyr ut lengre enn vanlig.
More Tacks Description,"Skyter 10 stifter i stedet for 8, og øker Ring av Ild-skade."
Even Faster Shooting Description,Skyter stifter enda raskere.
Super Range Tacks Description,Enda lengre rekkeviddeangrep som kan poppe flere bloons.
Even More Tacks Description,Skyter 12 stifter per skudd og øker Ring av Ild-skaden enda mer.
Hot Shots Description,Skyter glovarme stifter som gjør ekstra skade og kan poppe bly-bloons.
Blade Shooter Description,Bytter ut stifter med skarpe blader som kan poppe opp til 5 ytterligere bloons.
Tack Sprayer Description,Skyter 16 stifter per skuddsalve.
Ring of Fire Description,Skader mange flere bloons med en dødelig flammering i stedet for stifter.
Blade Maelstrom Description,Klingemalstrøm-evne: dekker området med en storm av klinger.
Overdrive Description,Skyter utrolig raskt.
Inferno Ring Description,Dødelig flammeinferno som griller bloons til det ugjenkjennelige.
Super Maelstrom Description,Enda kraftigere malstrøm-evne som varer lengre.
The Tack Zone Description,"Mange, mange stifter."
,
Permafrost Description,Bloonsene beveger seg sakte selv etter de har tint.
Enhanced Freeze Description,Angriper raskere og fryser lengre.
Larger Radius Description,Større fryseområde.
Metal Freeze Description,Kan fryse og poppe blybloons og kamuflerte bloons.
Deep Freeze Description,"Øker gjennomtrengning, fryser et ekstra lag og frysingen varer lengre."
Re-Freeze Description,Kan fryse bloons som allerede er fryst.
Ice Shards Description,Sylskarpe skår sprer seg når frosne bloon popper.
Arctic Wind Description,Øker betydelig gjennomtrenging og får en superkald aura som sakker ned bloons og fryser vann i nærheten.
Cryo Cannon Description,"Skyter kjapt mindre, frosne bomber med lengre rekkevidde."
Embrittlement Description,"Kan treffe bloons av MOAB-klasse. Alle trufne bloons blir skjøre, påføres ekstra skade mens de er frosne og mister kamuflasjeegenskaper."
Snowstorm Description,"Snøstorm-evne: Fryser alle vanlige bloons på skjermen, fryser i kort tid hvite og kamuflerte bloons og zebrabloons, og sakker ned bloons av MOAB-klasse."
Icicles Description,Frosne bloons får store istagger som kan poppe bloons som kommer borti dem.
Super Brittle Description,"Bloons får store skader når de er frosne, inkludert bloons av MOAB-klasse."
Absolute Zero Description,"Evnen er så kald at den fryser alle vanlige bloons lenger, inkludert hvite og kamuflerte bloons og zebrabloons, og sakker ned bloons av MOAB-klasse lenger, og øker betydelig angrepshastigheten til is-aper så lenge den varer."
Icicle Impale Description,Skyter store istagger som gjør stor skade på bloons av MOAB-klasse og fryser dem.
,
Glue Soak Description,Limet suger seg gjennom alle lagene til en bloon.
Bigger Globs Description,Kan dekke 2 bloons per skudd.
Stickier Glue Description,Gjør at limeffekten varer mye lengre.
Corrosive Glue Description,Nedlimte bloons popper et lag omtrent hvert 3. sekund.
Glue Splatter Description,Spruter lim på opptil 6 bloons per skudd.
Stronger Glue Description,Sakker ned bloons enda mer.
Bloon Dissolver Description,Kan lime én ekstra bloon per skudd og oppløsningsmidler smelter to lag hvert sekund.
Glue Hose Description,Skyter lim 3x så fort!
MOAB Glue Description,Forbedret limformel gjør at den kan lime seg på bloons av MOAB-klasse.
Bloon Liquefier Description,Bruker en flytende blanding som popper 10 ganger i sekundet.
Glue Strike Description,"Limangrep-evne: Limer alle bloons på skjermen, som får dem til å påføres mer skade fra alle kilder, så lenge den varer."
Relentless Glue Description,"Poppede bloons som ble limt, etterlater seg en limklump på banen."
The Bloon Solver Description,Har bloons blitt et problem? Her er løsningen.
Glue Storm Description,Limstorm-evnen dekker hele skjermen med lim i 15 sekunder. Nedlimte bloons mottar ekstra skade mens de er nedlimte.
Super Glue Description,Lim som er så sterkt at det midlertidig immobiliserer alle bloons som rammes!
,
Full Metal Jacket Description,"Skudd popper gjennom 4 bloonslag, og både kuler og splinter kan poppe blybloons og frosne bloons."
Night Vision Goggles Description,Gjør det mulig for Skarpskytter å oppdage og gjøre 2 ekstra skade på kamuflerte bloons.
Fast Firing Description,Skyter raskere enn normalt.
Large Calibre Description,Skuddene kan poppes gjennom 7 lag bloons!
Shrapnel Shot Description,Ødelagte bloons sprayer granatsplinter i alle retninger.
