//Input. Needs to be first e.g [I] replaced by click or tap,
Click,คลิก
Ezili Level 19 Description,ดาเมจแต่ละครั้งจากการโจมตีพื้นฐานเจาะลูกโป่ง 3 ชั้น!
Ezili Level 20 Description,"สกิล ""คำสาป MOAB"" ทำงานเร็วขึ้น และทำลายลูกโป่ง BAD ได้"
,
//Hero Ability Names,
Rapid Shot Ability,ยิงจู่โจมว่องไว
Storm of Arrows Ability,พายุลูกศร
Concussive Shell Ability,กระสุนกระแทก
Artillery Command Ability,บัญชาปืนใหญ่
Armor Piercing Shells Ability,กระสุนเจาะเกราะ
MOAB Barrage Ability,กระหน่ำยิง MOAB
Cocktail of Fire Ability,ค็อกเทลเพลิง
Firestorm Ability,พายุอัคคี
Biohack Ability,ไบโอแฮ็ก
Syphon Funding Ability,ยักยอกเงิน
Rallying Roar Ability,คำรามรวมพล
Big Squeeze Ability,เต็มไม้เต็มมือ
Brambles Ability,เถาไม้หนาม
Wall of Trees Ability,กำแพงพฤกษา
,
//Hero Ability Descriptions,
Rapid Shot Ability Description,เพิ่มความเร็วโจมตี 3 เท่าเป็นระยะเวลาสั้นๆ
Storm of Arrows Ability Description,ยิงห่าฝนลูกธนูสังหารศัตรูเป็นบริเวณกว้าง
Concussive Shell Ability Description,ยิงกระสุนติดตามเป้าหมายใส่ลูกโป่งขนาดใหญ่สุดในจอและสตันลูกโป่งตัวนั้น
Artillery Command Ability Description,รีเซ็ตคูลดาวน์ของเครื่องยิงระเบิดและลิงปืนครกทั้งหมด
Armor Piercing Shells Ability Description,กระสุนสามารถเจาะลูกโป่งสีดำและทำดาเมจเพิ่มเติมกับลูกโป่งเซรามิก เพิ่มระยะเวลาตามเลเวลของเชอร์ชิล
MOAB Barrage Ability Description,กระหน่ำยิงลูกโป่งคลาส MOAB สูงสุด 10 ตัวในจอ ทำดาเมจมหาศาลในแต่ละครั้ง
Cocktail of Fire Ability Description,โยนขวดสารไวไฟทำให้เกิดไฟไหม้ตรงจุดที่โยน เผาลูกโป่งที่เคลื่อนผ่าน
Firestorm Ability Description,"ทำให้หน้าจอลุกไหม้ เผาลูกโป่งทั้งหมดและมอบบัฟ ""เติมความร้อน"" ให้ลิงทุกตัว"
Biohack Ability Description,ลิงที่อยู่ใกล้สุด 4 ตัวเจาะลูกโป่งเพิ่มเติม 1 ชั้นต่อการโจมตีแต่ละครั้ง มีผลนาน 6 วินาที ลิงที่ได้รับเอฟเฟกต์นี้จะโจมตีไม่ได้ 2 วินาทีหลังจากเอฟเฟกต์จบลง
Syphon Funding Ability Description,ลดเกรดลูกโป่งตัวล่าสุดที่เกิดใหม่ 1 ขั้น ลูกโป่งที่โดนสกิลนี้จะให้เงินเมื่อถูกเจาะมากขึ้นเป็น 2 เท่า มีผลนาน 10 วินาที
Rallying Roar Ability Description,ลิงใกล้เคียงทั้งหมดเจาะลูกโป่งได้เพิ่มเติม +1 ชั้นเป็นเวลาสั้นๆ
Big Squeeze Ability Description,"คว้าลูกโป่งคลาส MOAB, BFB, DDT (ถ้ามองเห็น) หรือ ZOMG และขยี้ให้แหลกโดยใช้เวลา 5 วินาที"
Brambles Ability Description,สร้างเถาไม้หนามบนเส้นทาง สามารถเจาะลูกโป่งได้ 50 ลูก
Wall of Trees Ability Description,เรียกกำแพงต้นไม้มาขวางเส้นทาง ทำลายลูกโป่งทั้งหมดที่เข้าไป เมื่อเต็มความจุแล้ว กำแพงต้นไม้จะระเบิดออกเป็นเงิน
Heartstopper Ability Description,ทำให้สามารถทำลายบลูนสีม่วงได้ และหยุดการฟื้นฟูของบลูน 10 วินาที
Sacrificial Totem Ability Description,"โทเท็มที่ให้บัฟตรวจจับบลูนพรางตัว, เพิ่มจำนวนศัตรูที่โจมตีได้, เพิ่มระยะโจมตี, เพิ่มความเร็วโจมตี และเพิ่มความเร็วกระสุนกับลิงที่อยู่ใกล้เคียง โดยเฉพาะลิงผู้วิเศษ แต่ต้องเสีย 10 ชีวิต"
