//Input. Needs to be first e.g [I] replaced by click or tap,
Click,クリック
M.A.D,MOAB保証付デストロイヤー
Bloon Exclusion Zone,ブルーン立入禁止ゾーン
,
Guided Magic,誘導マジック
Fireball,ファイヤーボール
Intense Magic,強烈なマジック
Arcane Blast,アーケイン爆破
Wall of Fire,炎の壁
Monkey Sense,モンキーセンス
Arcane Mastery,アーケインのマスター
Dragon's Breath,ドラゴンの息
Shimmer,キラキラ
Arcane Spike,アーケインのスパイク
Summon Phoenix,不死鳥召喚
Necromancer: Unpopped Army,ネクロマンサー：非破裂軍隊
Archmage,アーチメイジ
Wizard Lord Phoenix,魔法使いの王フェニックス
Soulbind,暗闇のプリンス
,
Laser Blasts,レーザー爆発
Super Range,スーパーレンジ
Knockback,ノックバック
Plasma Blasts,プラズマ爆発
Epic Range,エピックレンジ
Ultravision,ウルトラビジョン
Sun Avatar,太陽アバター
Robo Monkey,ロボモンキー
Dark Knight,ダークナイト
Sun Temple,太陽神殿
Tech Terror,テクノロジーの恐怖
Dark Champion,ダークチャンピオン
True Sun God,真の太陽神
The Anti-Bloon,アンチブルーン
Legend of the Night,夜の伝説
,
Ninja Discipline,忍者の訓育
Distraction,注意散漫
Seeking Shuriken,手裏剣探し
Sharp Shurikens,鋭い手裏剣
Counter-Espionage,防諜活動
Caltrops,鉄菱
Double Shot,ダブルショット
Shinobi Tactics,忍び戦術
Flash Bomb,閃光爆弾
Bloonjitsu,ブルーンの術
Bloon Sabotage,ブルーンサボタージ
Sticky Bomb,ネバネバ爆弾
Grandmaster Ninja,忍者大師範
Grand Saboteur,大破壊工作者
Master Bomber,爆破エキスパート
,
Larger Potions,大部分
Stronger Acid,強化酸
Acid Pool,酸性プール
Acidic Mixture Dip,酸性混合物ディップ
Perishing Potions,枯渇ポーション
Alchemist Faster Throwing,高速投げ
Berserker Brew,バーサーカーの醸造酒
Unstable Concoction,安定しない飲食物
Lead to Gold,鉛から金へ
Stronger Stimulant,強い刺激剤
Transforming Tonic,変身トニック
Rubber to Gold,ゴムから金へ
Permanent Brew,永久醸造酒
Total Transformation,完全変身
Bloon Master Alchemist,ブルーンマスター錬金術師
,
Hard Thorns,硬いトゲ
Thorn Swarm,トゲ集団
Druidic Reach,ドルイドの到達範囲
Heart of Thunder,雷の心
Heart of Oak,ナラの木の心
Heart of Vengeance,復讐の心
Druid of the Storm,嵐のドルイド
Druid of the Jungle,ジャングルのドルイド
Druid of Wrath,怒りのドルイド
Ball Lightning,球電光
Jungle's Bounty,ジャングルのめぐみ
Poplust,ポップラスト
Superstorm,スーパーストーム
Spirit of the Forest,森の精霊
Avatar of Wrath,怒りのアバター
,
Increased Production,増産
Long Life Bananas,長寿バナナ
EZ Collect,簡単採取
Greater Production,生産量アップ
Valuable Bananas,高級バナナ
Banana Salvage,バナナ救済
Banana Plantation,バナナ大農園
Monkey Bank,モンキー銀行
Marketplace,マーケットプレイス
Banana Research Facility,バナナ研究所
IMF loan,IMFローン
Central Market,セントラルマーケット
Banana Central,バナナセントラル
Monkey-Nomics,モンキー経済
Monkey Wall Street,モンキーウオール街
,
Sentry Gun,ガードガン
Larger Service Area,サービス地域拡大
Oversize Nails,巨大クギ
Faster Engineering,高速エンジニアリング
Deconstruction,脱構築
Pin,ピン
Sprockets,スプロケッツ
Cleansing Foam,クレンジング剤
Double Gun,ダブルガン
Sentry Expert,見張りエキスパート
Overclock,オーバー時計
Bloon Trap,ブルーントラップ
Sentry Paragon,見張りチャンピオン
Ultraboost,ウルトラブースト
XXXL Trap,XXXLトラップ
,
Bigger Stacks,ビッグスびょう
Faster Production,高速生産
Long Reach,長距離到達
White Hot Spikes,白のホットスパイク
Even Faster Production,超高速生産
Smart Spikes,スマートスパイク
Spiked Balls,スパイクボール
MOAB SHREDR,MOABシュレッダー
Long Life Spikes,長寿スパイク
Spiked Mines,スパイク付き地雷
Spike Storm,スパイク嵐
Deadly Spikes,致命的スパイク
Super Mines,スーパー地雷
Carpet of Spikes,スパイクのカーペット
Perma-Spike,パーマスパイク
,
Military Efficiency,軍隊効率性
Magic Sciences,魔法の科学
Private Tuition,私立授業料
Wider Influence,幅広い影響
Academic Network,アカデミックネットワーク
Heroic Presence,ヒーローの孫算
M.A.S.H,M.A.S.H.
Wizards Library,魔法使いの図書館
Heroic Academy,ヒーローアカデミー
Military Barracks,軍の兵舎
Magic Arcanum,魔法の奥義
Power Hero Development (PhD),パワーヒーロー開発（PhD）
Military HQ,軍の司令本部
Nexus Crucible,集団るつぼ
Dynamic Duo,ダイナミックな二人組
,
Bigger Radius,ビッグ半径
Grow Blocker,成長ブロッカー
Monkey Business,モンキービジネス
Jungle Drums,ジャングルドラム
Radar Scanner,レーダースキャナー
Monkey Commerce,モンキー商業
Primary Training,基本訓練
Monkey Intelligence Bureau,モンキー諜報部
Monkey Town,モンキータウン
Primary Mentoring,基本メンタリング
Call to Arms,武器召喚
Monkey City,モンキーシティー
Primary Expertise,基本の専門性
Homeland Defense,国土防衛
Monkeyopolis,モンキーメトロポリス
,
//Power names,
SuperMonkeyStorm,スーパーモンキー嵐
MonkeyBoost,モンキーブースト
Thrive,目標達成
DartTime,タイムストップ
CashDrop,キャッシュ投下
BananaFarmer,バナナ百姓
PortableLake,ポータブル湖
Pontoon,ポンツーン
RoadSpikes,路上スパイク
MoabMine,MOAB地雷
CamoTrap,カモフラージュのトラップ
GlueTrap,接着剤のトラップ
,
//Power descriptions,
SuperMonkeyStorm Description,鳥だ！飛行機だ！画面上の全てのブルーンを破壊し、MOAB級のブルーンに壮大なダメージを与えるスーパーレーザービームを出すの空飛ぶモンキー集団だ。
MonkeyBoost Description,11に上げてみよう！ {0}秒の間、全てのタワー攻撃が二倍速くなる。
Thrive Description,現ラウンドの残りと次のラウンドで、全てのタワーとブルーン破裂のキャッシュ生成を{0}％増やす！
DartTime Description,何か動きが早すぎるものがある場合、ストップタイムを使うと全てのアクションを短時間の間止めることができるので、モンキーの管理に集中できる。
CashDrop Description,キャッシュを素早く充てんする必要あり？モンキー司令官に、これらのキャッシュをたくさん持っているバッドボーズを今すぐ攻撃してもらおう。
BananaFarmer Description,自分でバナナを取るのに疲れた？彼も疲れるけどお金をもらっているだけマシ。百姓が自分の範囲内のバナナを全て自動的に集めてくれるので、君はやらずに済む。
PortableLake Description,ボートを浮かべる場所が無い？地面に携帯式の湖を配置するとどんな水上ユニットでも展開可能になると、賢いモンキーは知っているよ。
Pontoon Description,ポンツーンがあると、ほぼ全ての陸上タワーを水上に配置できる！ポンツーンを水上に展開してその上に陸上タワーを配置しよう。
RoadSpikes Description,大量の路上スパイク、どこでも一番必要な場所に配置しよう！
MoabMine Description,MOAB級ブルーンを検知するパワフルな地雷。爆破すると多大なダメージを与える。
CamoTrap Description,モンキーエンジニアリングの最高峰、このトラップを触る初めの{0}個のブルーンのカモフラージュ状態を取り除く。
GlueTrap Description,このベタベタするトラップは、消滅前に触る初めの{0}個のブルーンをスローダウン。
,
//Upgrade Descriptions,
Sharp Shots Description,一発ごとに1個多く\nブルーンを割れる。
Quick Shots Description,発射速度が15％アップ！
Long Range Darts Description,ダーツモンキーが\n通常より遠くまで投げられるようになる。
Razor Sharp Shots Description,一発ごとに2個多く\nブルーンを割れる。
Very Quick Shots Description,発射速度が33％アップ！
Enhanced Eyesight Description,さらに遠くまで発射\nでき、カモフラージュを探知できる。
Spike-o-pult Description,ダートモンキーをスパイクでつぶせ！に変換し、ダーツでなくて大きなスパイクボールを投げられるようになる。なかなかの飛距離だが、攻撃速度は遅い。ボール一個でたくさんのブルーンを割ることができ、障害物から跳ね返ることができる。
Triple Shot Description,一度に一本でなく三本のダーツを投げる。
Crossbow Description,命中するたびにブルーンを3層分割れる、長距離クロスボウを使う。
Juggernaut Description,鉛と陶器ブルーンの粉砕に効果的な、巨大なスパイク付きボールを投げつける。
Super Monkey Fan Club Description,スーパーモンキーファンクラブ能力：付近の10頭までのダートモンキーを、15秒間スーパーモンキーにする。通常攻撃速度もアップする。
Sharp Shooter Description,シャープシューターは、より大きなダメージを与えるパワフルなクリティカルショットを数秒ごとに発する。
Ultra-Juggernaut Description,巨大スパイクボールが2回にわたり、もっと大きな破壊力を持つ6個のジャガーノートに分裂する。
Plasma Monkey Fan Club Description,このクラブのエリート会員券があると、ダーツモンキーがもっとパワーアップ！
Crossbow Master Description,クロスボウ・エキスパートの発射スピードはとても速く、ほとんどの種類のブルーンをたやすく破壊する。
,
Improved Rangs Description,投げるたびに、最大8個のブルーンを割ることができる。
Faster Throwing Description,ブーメランをより速く投げる。
Long Range Rangs Description,普通より遠くまでブーメランを投げられる。
