//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicka
Arcane Mastery,Hemlighetsbehärskning
Dragon's Breath,Drakens Andedräkt
Shimmer,Skimmer
Arcane Spike,Hemlig spik
Summon Phoenix,Tillkalla Fenix
Necromancer: Unpopped Army,Besvärjare: Osmälld armé
Archmage,Ärkemagiker
Wizard Lord Phoenix,Trollkarlsherre Fenix
Soulbind,Mörkrets furste
,
Laser Blasts,Laserattacker
Super Range,Superräckvidd
Knockback,Tillbakaknuff
Plasma Blasts,Plasmaattacker
Epic Range,Episk räckvidd
Ultravision,Ultrasyn
Sun Avatar,Solavatar
Robo Monkey,Robotapa
Dark Knight,Mörk riddare
Sun Temple,Soltempel
Tech Terror,Teknologiskräck
Dark Champion,Mörk mästare
True Sun God,Sann solgud
The Anti-Bloon,Antibloon
Legend of the Night,Nattens legend
,
Ninja Discipline,Ninjadisciplin
Distraction,Distraktion
Seeking Shuriken,Målsökande Kaststjärna
Sharp Shurikens,Vassa Kaststjärnor
Counter-Espionage,Kontraspionage
Caltrops,Fotanglar
Double Shot,Dubbelskott
Shinobi Tactics,Shinobitaktik
Flash Bomb,Lysbomb
Bloonjitsu,Bloonjitsu
Bloon Sabotage,Bloonsabotage
Sticky Bomb,Klisterbomb
Grandmaster Ninja,Stormästarninja
Grand Saboteur,Mästarsabotör
Master Bomber,Mästarbombare
,
Larger Potions,Större trolldrycker
Stronger Acid,Starkare syra
Acid Pool,Syrabassäng
Acidic Mixture Dip,Syrablandningsdipp
Perishing Potions,Förstörande trolldrycker
Alchemist Faster Throwing,Snabbare kast
Berserker Brew,Bärsärkbrygd
Unstable Concoction,Instabilt hopkok
Lead to Gold,Bly till guld
Stronger Stimulant,Starkare stimulant
Transforming Tonic,Förvandlade tonic
Rubber to Gold,Gummi till guld
Permanent Brew,Permanent brygd
Total Transformation,Total förvandling
Bloon Master Alchemist,Bloonmästaralkemist
,
Hard Thorns,Hårda taggar
Thorn Swarm,Taggsvärm
Druidic Reach,Druidsk räckvidd
Heart of Thunder,Dunderhjärtat
Heart of Oak,Ekhjärtat
Heart of Vengeance,Hämndens hjärta
Druid of the Storm,Stormens druid
Druid of the Jungle,Djungelns druid
Druid of Wrath,Vredens druid
Ball Lightning,Åskboll
Jungle's Bounty,Djungelns rikedomar
Poplust,Lust att smälla
Superstorm,Superstorm
Spirit of the Forest,Skogens ande
Avatar of Wrath,Vredens avatar
,
Increased Production,Ökad produktion
Long Life Bananas,Långlivade Bananer
EZ Collect,EZ-insamling
Greater Production,Större produktion
Valuable Bananas,Värdefulla Bananer
Banana Salvage,Bananbärgning
Banana Plantation,Bananplantage
Monkey Bank,Apbanken
Marketplace,Marknadsplats
Banana Research Facility,Bananforsknings\nanläggning
IMF loan,IMF-lån
Central Market,Centralmarknad
Banana Central,Banancentral
Monkey-Nomics,Apekonomi
Monkey Wall Street,Apornas Wall Street
,
Sentry Gun,Vaktkulspruta
Larger Service Area,Större Serviceområde
Oversize Nails,Överdimensionerade spik
Faster Engineering,Snabbare ingenjörskonst
Deconstruction,Rivning
Pin,Sprint
Sprockets,Kugghjul
Cleansing Foam,Rengöringsskum
Double Gun,Dubbelkulspruta
Sentry Expert,Vakttornsexpert
Overclock,Långtidsläge
Bloon Trap,Bloonfälla
Sentry Paragon,Vaktpostmästare
Ultraboost,Ultraförstärkning
XXXL Trap,XXXL-fälla
,
Bigger Stacks,Större Lager
Faster Production,Snabbare Produktion
Long Reach,Lång räckvidd
White Hot Spikes,Glödande Spikar
Even Faster Production,Ännu Snabbare Produktion
Smart Spikes,Smarta spikar
Spiked Balls,Spikbollar
MOAB SHREDR,MOAB SHREDR
Long Life Spikes,Spikar med lång livstid
Spiked Mines,Spikminor
Spike Storm,Spikstorm
Deadly Spikes,Dödliga spikar
Super Mines,Superminor
Carpet of Spikes,Spikmatta
Perma-Spike,Permaspik
,
Military Efficiency,Militär effektivitet
Magic Sciences,Magivetenskap
Private Tuition,Privat undervisning
Wider Influence,Bredare påverkan
Academic Network,Akademiskt nätverk
Heroic Presence,Hjältemodig närvaro
M.A.S.H,M.A.S.H.
Wizards Library,Trollkarlsbibliotek
Heroic Academy,Hjälteakademi
Military Barracks,Militärkaserner
Magic Arcanum,Magisk hemlighet
Power Hero Development (PhD),Krafthjälteutveckling (PhD)
Military HQ,Militärt högkvarter
Nexus Crucible,Nexusdegel
Dynamic Duo,Dynamisk duo
,
Bigger Radius,Större radie
Grow Blocker,Tillväxtblockerare
Monkey Business,Apaffärer
Jungle Drums,Djungeltrummor
Radar Scanner,Radarstation
Monkey Commerce,Apkommers
Primary Training,Grundutbildning
Monkey Intelligence Bureau,Hemliga Apbyrån
Monkey Town,Apstaden
Primary Mentoring,Grundvägledning
Call to Arms,Inkallning
Monkey City,Apstaden
Primary Expertise,Grundexpertkunskap
Homeland Defense,Hemlandsförsvar
Monkeyopolis,Apeopolis
,
//Power names,
SuperMonkeyStorm,Stålapstorm
MonkeyBoost,Apförstärkning
Thrive,Frodas
DartTime,Tidstopp
CashDrop,Pengasläpp
BananaFarmer,Bananodlare
PortableLake,Flyttbar Sjö
Pontoon,Flotten
RoadSpikes,Vägspikar
MoabMine,MOAB-mina
CamoTrap,Kamo-fälla
GlueTrap,Klisterfälla
,
//Power descriptions,
SuperMonkeyStorm Description,Det är en fågel. Det är ett plan. Det är en skvadron flygande superdrivna laserstrålande apor som förstör varje Bloon på skärmen och åsamkar stor skada på MOAB-klass-Bloons.
MonkeyBoost Description,Låt oss vrida upp till 11! Alla torn attackerar dubbelt så snabbt i {0} sekunder.
Thrive Description,Ökar pengaproduktionen från alla dina torn och Bloonsmällningar med {0}% under resten av rundan och hela nästa runda!
DartTime Description,"Om det går för fort ibland, använd Stoppa tiden för att stoppa all aktivitet tillfälligt så att du kan fokusera på att hantera dina apor."
CashDrop Description,Behöver du lite snabba extrapengar? Få apkommandot att skjuta ner en av de där fulingarna med en massa pengar omedelbart!
BananaFarmer Description,"Trött på att plocka upp alla de där bananerna själv? Det är den här snubben också, men han får åtminstone betalt för det. Odlaren kommer att samla in alla bananer inom sin räckvidd automatiskt så att du slipper."
PortableLake Description,"Ingenstans att sjösätta din båt? Smarta apor vet att de kan placera en Flyttbar Sjö på land, vilket möjliggör användning av varje vattenenhet i vattnet."
Pontoon Description,Placera nästan alla landtorn på vattnet med hjälp av din Flotte! Placera din Flotte på vattnet och placera sedan ditt landtorn ovanpå.
RoadSpikes Description,En stor hög med vägspikar som är redo att läggas ner där du behöver dem mest!
MoabMine Description,En kraftfull mina som känner av närvaron av MOAB-klass-Bloons och exploderar med stor skada som följd.
CamoTrap Description,Apteknik när den är som bäst - denna fälla kommer att ta bort Kamo-egenskapen från de första {0} Bloons som vidrör den.
GlueTrap Description,Denna klistriga fälla kommer att göra de första {0} Bloons som går över den långsammare innan den försvinner.
,
//Upgrade Descriptions,
Sharp Shots Description,Kan smälla 1 extra Bloon per skott.
Quick Shots Description,Skjuter 15 % snabbare.
Long Range Darts Description,Får Pilapan att skjuta längre än normalt.
Razor Sharp Shots Description,Kan smälla 2 extra Bloon per skott.
Very Quick Shots Description,Skjuter 33 % snabbare!
Enhanced Eyesight Description,Skjuter ännu längre och kan detektera Kamo-Bloons.
Spike-o-pult Description,"Förvandlar Pilapan till en Spikapult som slungar stora spikbollar istället för pilar. Bra räckvidd, men långsammare attackhastighet. Varje boll kan smälla en massa Bloons och studsar vidare från hinder."
Triple Shot Description,Kastar 3 pilar åt gången istället för 1.
Crossbow Description,Använder ett långdistansarmborst som kan smälla 3 Bloonlager för varje träff.
Juggernaut Description,Slungar en enorm spikboll som smäller bly och är extra bra på att krossa Keramikbloons.
Super Monkey Fan Club Description,"Superapans fan club-förmåga: Förvandlar upp till 10 Pilapor, inklusive själva Stålapan, i närheten till Stålapor i 15 sekunder. Den normala attackhastigheten ökar också."
Sharp Shooter Description,Prickskytten avfyrar snabbare och får iväg kraftfulla kritiska skott med några sekunders mellanrum som åsamkar mycket större skada.
Ultra-Juggernaut Description,Gigantisk spikboll som delas två gånger i 6 Vidunderbollar för ännu större destruktiv kraft.
Plasma Monkey Fan Club Description,Elitmedlemskap i denna klubb ger Pilapan ännu större kraft!
Crossbow Master Description,Armborstmästaren skjuter väldigt snabbt och förstör enkelt de flesta Bloontyper.
,
Improved Rangs Description,Kan smälla upp till 8 Bloons per kast.
Faster Throwing Description,Kastar bumeranger snabbare.
Long Range Rangs Description,Kan kasta bumeranger längre än normalt.
Glaives Description,Kastar vassare och snabbare glavar istället för bumeranger.
Faster Rangs Description,Bumeranger avfyras och färdas snabbare.
Red Hot Rangs Description,Bumeranger kan nu smälla frusna Bloons och Blybloons och åsamkar mer skada på alla.
Glaive Ricochet Description,Glavarna kommer att studsa från Bloon till Bloon automatiskt och aggressivt.
Bionc Boomerang Description,Ersätter armen med en stark bionisk arm som kan kasta bumeranger extremt snabbt och utdela mera skada till Bloons i MOAB-klassen.
Kylie Boomerang Description,Kastar tunga Kylie-bumeranger som följer en rak bana istället för en svängd.
M.O.A.R Glaives Description,Avancerad rikoschett mot flera objekt förbättrar den redan utomordentliga kraften hos Glavrikoschettapan betydligt.
Turbo Charge Description,Turboladdningsförmåga: Får denna apa att attackera otroligt snabbt i 10 sekunder.
MOAB Press Description,Tung Kylie-bumerang träffar MOAB-klass-Bloons flera gånger per kast och knuffar ibland tillbaka dem en liten bit längs med vägen.
Glaive Lord Description,Glavherren omger sig själv med 3 specialglavar som strimlar sönder allt som kommer i närheten. Glavherrens glavar skär sig nu in i Bloons i MOAB-klassen och strimlar långsamt sönder dem från insidan.
Perma Charge Description,Permaladdning har permanent supersnabb attackhastighet. Förmågan ökar dödligheten ännu mer.
MOAB Domination Description,Specialtillbakaknuff aktiveras oftare och ger massor av extra skada.
,
Bigger Bombs Description,"Skjuter större bomber, de har högre sprängradie och mer smällkraft."
Faster Reload Description,Laddar om snabbare.
Extra Range Description,Ökar attackräckvidden.
Heavy Bombs Description,Tunga bomber kan tränga igenom 2 Bloonlager med en gång och smälla fler Bloons.
Missile Launcher Description,"Byter ut bomber mot missiler, som avfyras snabbare, flyger snabbare och har längre räckvidd."
Frag Bombs Description,"Explosionerna kastar ut vasst splitter som kan smälla fler Bloons, inklusive Svarta Bloons."
Really Big Bombs Description,Stora bomber gör större skada i ett stort område och tillåter splitterbomber att smälla fler Bloons.
MOAB Mauler Description,MOAB-misshandlare åsamkar mycket större skada på MOAB-klass-Bloons och Keramikbloons.
Cluster Bombs Description,Kastar ut sekundära bomber istället för vasst splitter i varje attack.
Bloon Impact Description,Explosionerna blir så våldsamma att Bloons bedövas en kort stund när de träffas. Räckvidden ökar och splitterbomberna är effektivare.
MOAB Assassin Description,MOAB-mördarförmåga: Specialmissil flyger iväg och åsamkar massiv skada på Bloons i MOAB-klassen. Den normala attackräckvidden och skadan på Bloons i MOAB-klassen ökar också.
Recursive Cluster Description,Vartannat skott skickar klusterbomberna ut fler klusterbomber för ännu mera förstörelse.
Bloon Crush Description,Bloonförintande explosioner åsamkar massiv skada och kan bedöva MOAB-klass-Bloons.
MOAB Eliminator Description,Massiv skada på Bloons i MOAB-klassen och mördarförmågan delar ut 6x skadan med kort nedkylning.
Bomb Blitz Description,"Åsamkar mycket större skada och förvärvar den passiva bombstormförmågan - när liv förloras, aktiveras bombstormen automatiskt, vilket förstör alla utom de allra största Bloonsen."
,
Faster Shooting Description,Skjuter stift snabbare.
Long Range Tacks Description,Stift flyger längre än normalt.
More Tacks Description,Skjuter 10 nubb istället för 8 plus ökar skadan för Eldringen.
Even Faster Shooting Description,Skjuter nubb ännu snabbare.
Super Range Tacks Description,Nubb med ännu längre räckvidd som kan smälla fler Bloons.
Even More Tacks Description,Skjuter ut 12 nubb per skott och ökar skadan för Eldringen ytterligare.
Hot Shots Description,Skjuter superheta nubb som ger extra skada och kan smälla Blybloons.
Blade Shooter Description,Byter ut nubb mot vassa blad som kan smälla upp till 5 extra Bloons.
Tack Sprayer Description,Sprejar ut 16 nubb per salva.
Ring of Fire Description,Skadar många fler Bloons med en dödlig eldring istället för nubb.
Blade Maelstrom Description,Bladmalströmförmåga: Täcker området med en storm av blad.
Overdrive Description,Skjuter otroligt snabbt.
Inferno Ring Description,Dödligt eldhav bränner Bloons till aska.
Super Maelstrom Description,Ännu mera kraftfull Malströmförmåga och varar längre.
The Tack Zone Description,"Många, många nubb."
,
Permafrost Description,Bloons rör sig långsamt även efter de har tinat upp.
Enhanced Freeze Description,Attackerar snabbare och fryser längre.
Larger Radius Description,Större frysområde.
Metal Freeze Description,Kan frysa och smälla Bly- och Kamobloons.
Deep Freeze Description,Fryser genom 2 Bloonlager.
Re-Freeze Description,Kan återfrysa Bloons som redan är frusna.
Ice Shards Description,Rakbladsvassa skärvor flyger ut när frusna Bloons smäller.
Arctic Wind Description,Ökar genomträngningsförmågan betydligt och förvärvar en superkall aura som saktar ner Bloons och fryser vatten i närheten.
Cryo Cannon Description,Skjuter frysbomber mot Bloons med längre räckvidd.
Embrittlement Description,"Kan träffa Bloons i MOAB-klassen. Alla Bloons som träffas blir sköra, tar extra skada när de är frusna och förlorar sina kamoegenskaper."
Snowstorm Description,"Snöstormförmåga: Fryser alla normala Bloons på skärmen och fryser Vita, Zebra och Kamo under en kort stund och gör Bloons i MOAB-klassen långsammare."
Icicles Description,Frusna Bloons får vassa istappar som kan smälla Bloons som vidrör dem.
Super Brittle Description,"Bloons tar stor skada när de frusna, även MOAB-klass-Bloons."
Absolute Zero Description,"Förmågan är så kall att den fryser alla Bloons under längre tid, inklusive Vita, Zebra och Kamo, saktar ner Bloons i MOAB-klassen under längre tid och ökar attackhastigheten betydligt för alla Isapor så länge den varar."
Icicle Impale Description,Skjuter stora istappar som åsamkar stor skada på MOAB-klass-Bloons och fryser dem.
,
Glue Soak Description,Klister tränger igenom alla Bloonlager.
Bigger Globs Description,Kan täcka 2 extra Bloons per skott.
Stickier Glue Description,Får klistrets effekt att verka mycket längre.
Corrosive Glue Description,Klistrade Bloons smäller ett lager varannan sekund.
Glue Splatter Description,Stänker klister på upp till 6 Bloons per skott.
Stronger Glue Description,Gör Bloons ännu långsammare.
Bloon Dissolver Description,Extrema lösningsmedel smälter två lager per sekund.
Glue Hose Description,Skjuter klister 3 gånger så snabbt!
MOAB Glue Description,Förbättrat klisterrecept får det att fastna på MOAB-klass-Bloons.
Bloon Liquefier Description,Kan träffa en extra Bloon per skott med lim och applicerar förvätskande föreningar som utför 10 smällningar varje sekund.
Glue Strike Description,Limattackförmåga: Täcker alla Bloons på skärmen med lim och orsakar att de tar mer skada från alla attacker så länge det varar.
