//Input. Needs to be first e.g [I] replaced by click or tap,
Click,点击
White Hot Spikes,白热刺钉
Even Faster Production,急速生产
Smart Spikes,智能刺钉
Spiked Balls,刺钉球
MOAB SHREDR,MOAB粉碎者
Long Life Spikes,长寿刺钉
Spiked Mines,刺钉地雷
Spike Storm,刺钉风暴
Deadly Spikes,致命刺钉
Super Mines,超级矿山
Carpet of Spikes,刺钉地摊
Perma-Spike,永久刺钉
,
Military Efficiency,军事效率
Magic Sciences,魔法科学
Private Tuition,私人补习
Wider Influence,广泛影响
Academic Network,学术网络
Heroic Presence,英勇陷阵
M.A.S.H,M.A.S.H.
Wizards Library,巫师图书馆
Heroic Academy,英雄学院
Military Barracks,军营
Magic Arcanum,魔法奥秘
Power Hero Development (PhD),强力英雄培训（博士）
Military HQ,军事总部
Nexus Crucible,严酷考验
Dynamic Duo,动态双核
,
Bigger Radius,更大的半径
Grow Blocker,增长阻滞剂
Monkey Business,猴子商业
Jungle Drums,丛林鼓
Radar Scanner,雷达扫描仪
Monkey Commerce,猴子商务
Primary Training,初级培训
Monkey Intelligence Bureau,猴子情报局
Monkey Town,猴镇
Primary Mentoring,初级指导
Call to Arms,战争召唤
Monkey City,猴城
Primary Expertise,初级专长
Homeland Defense,国土防御
Monkeyopolis,猴子城邦
,
//Power names,
SuperMonkeyStorm,超猴侠风暴
MonkeyBoost,猴子助力
Thrive,兴旺
DartTime,飞镖时间
CashDrop,现金天降
BananaFarmer,香蕉农夫
PortableLake,便携式湖
Pontoon,浮桥
RoadSpikes,路钉
MoabMine,MOAB地雷
CamoTrap,迷彩陷阱
GlueTrap,胶水陷阱
,
//Power descriptions,
SuperMonkeyStorm Description,这是一只鸟，同时也是一架飞机。这是一个拥有超级激光束的飞行猴子中队，他们将摧毁了屏幕上的每一个气球，并对MOAB级气球造成巨大伤害。
MonkeyBoost Description,让我们把它升级到11级！所有塔的攻击速度将加倍，持续{0}秒。
Thrive Description,在回合剩余时间以及下一回合中，将防御塔和击破气球的现金收益增加{0}％！
DartTime Description,如果感到手忙脚乱，可使用“时间暂停”来短暂停止所有操作，以便集中精力管理猴子。
CashDrop Description,需要快速获得现金？让猴子指挥官下令击落其中一个气球，以便尽快获得现金！
BananaFarmer Description,厌倦了亲自收割香蕉？那就找这家伙来帮忙，但要付钱的哦。农民会自动收集其作业半径内的所有香蕉，这就免了你亲自动手了。
PortableLake Description,无处停放船只？聪明的猴子知道他们可以在陆地上放置一个便携式湖，从而在其水域内部署一切水面舰艇。
Pontoon Description,用浮桥将几乎所有的地面防御塔放在水上！将浮桥部署在水面上，然后将你的地面防御塔放在上面即可。
RoadSpikes Description,一大堆路钉已经做好准备，随时可以放在最需要它们的地方！
MoabMine Description,一种强大的地雷，可以检测MOAB级气球的存在，并且爆炸对其造成伤害。
CamoTrap Description,最好的猴子工程，这个陷阱会让第一批碰到它的{0}个气球失去迷彩状态。 
GlueTrap Description,在消失前，这种胶水陷阱会使第一批路过它的{0}个气球减速。
,
//Upgrade Descriptions,
Sharp Shots Description,每一次射击能额外打爆1个气球。
Quick Shots Description,射速提高15%。
Long Range Darts Description,使飞镖猴的射击距离比普通距离更远。
Razor Sharp Shots Description,每一次射击能额外打爆2个气球。
Very Quick Shots Description,射速提高33%。
Enhanced Eyesight Description,射程更远，可探测到迷彩气球。
Spike-o-pult Description,使飞镖猴变成一个刺钉球投石机，投飞镖换作投钉子球。每一个球可以击破大量气球，并且碰到障碍物会弹回来。
Triple Shot Description,一次投掷3个飞镖，而非之前的1个。
Crossbow Description,使用远程十字弩，每次射击可击破3层气球。
Juggernaut Description,猛掷出巨型刺钉球，可击破铅气球，擅长击碎陶瓷气球和强化气球。
Super Monkey Fan Club Description,超猴侠粉丝会技能：最多可将附近包括自身在内的10个飞镖猴转换成超级猴，持续15秒。普通攻击速度也会增加。
Sharp Shooter Description,犀利射手几秒内就能暴击射，造成危害更大。
Ultra-Juggernaut Description,巨大的刺钉球经过两次分裂，变成6个刺钉球，可对陶瓷气球和强化气球造成更大伤害。
Plasma Monkey Fan Club Description,入会这家俱乐部可让飞镖猴获得更强大的力量！
Crossbow Master Description,十字弩神射手的射速非常快，很容易击破大部分的气球。
,
Improved Rangs Description,每次射击最多可击破8个气球。
Faster Throwing Description,回旋镖的投掷速度加快。
Long Range Rangs Description,可以比平常扔出更远的回旋镖。
Glaives Description,投掷更尖锐、更快速的利刃，而不是飞旋镖。
Faster Rangs Description,回旋镖的投掷和飞行速度加快。
Red Hot Rangs Description,回旋镖现在可击破冰冻气球和铅气球，并且可对所有气球造成更多伤害。
Glaive Ricochet Description,利刃将自动在气球之间弹射。
Bionc Boomerang Description,用强大的仿生手臂替代手臂，极快地抛出回旋镖，对MOAB级气球造成额外伤害。
Kylie Boomerang Description,抛出重型凯莉回旋镖，其飞行轨迹为直线，而不是曲线。
M.O.A.R Glaives Description,M.O.A.R利刃可极大提升本已足够强大的利刃弹射猴的能力。
Turbo Charge Description,涡轮增压技能：使这个猴子的攻击速度变得异常快，持续10秒。
MOAB Press Description,每发重型凯莉回旋镖多次攻击MOAB级气球，并且有时会沿着路径将其击退一小段距离。
Glaive Lord Description,利刃之王将自己置于三把环绕的利刃中，切碎任何靠近的东西。利刃之王的利刃现在可以刺穿MOAB级气球，慢慢地将它们从内部撕碎。
Perma Charge Description,永久强化拥有永久的超快速攻击速度。此技能可使杀伤力更加致命。
MOAB Domination Description,凯莉回旋镖击退特效会更频繁地触发，并造成大量额外伤害。
,
Bigger Bombs Description,射出更大的炸弹，它们有更大的爆炸区域和更大的爆炸威力。
Faster Reload Description,装填速度加快。
Extra Range Description,增加攻击范围。
Heavy Bombs Description,重型炸弹可一次击碎两层气球并击破更多气球。
Missile Launcher Description,用气球交换导弹，导弹的发射速度和飞行速度都更快，攻击范围更大。
Frag Bombs Description,爆炸产生的锋利碎片可以击破包括黑气球在内的更多气球。
Really Big Bombs Description,巨型炸弹，可在大片区域内造成更大的伤害，并使碎片能够击破更多气球。
MOAB Mauler Description,MOAB重锤对MOAB级气球造成更多伤害。
Cluster Bombs Description,每发炮弹都能发射次级炸弹，而不是锋利碎片。
Bloon Impact Description,造成剧烈爆炸，使被击中的气球短暂眩晕。攻击范围增加，碎片的威力的进一步提升。
MOAB Assassin Description,刺杀MOAB技能：特制导弹对MOAB级气球造成巨大伤害。普通攻击范围和对MOAB级气球的伤害也增加。
Recursive Cluster Description,每2次射击发射更多集束炸弹，造成更大的破坏。
Bloon Crush Description,气球爆炸造成巨大伤害，并可以击晕MOAB级气球。
MOAB Eliminator Description,对MOAB级气球造成巨大伤害，刺杀技能造成6倍伤害，有短暂冷却时间。
Bomb Blitz Description,造成更多的伤害，并获得被动的炸弹风暴技能 – 当生命损失时，炸弹风暴会自动触发，除了最大的气球外，会摧毁所有的气球。
,
Faster Shooting Description,刺钉射击更快。
Long Range Tacks Description,刺钉比平常飞得更远。
More Tacks Description,射出10个刺钉，而不是8个，同时增加环射火焰的伤害。
Even Faster Shooting Description,刺钉射击超快。
Super Range Tacks Description,进一步增加刺钉射程，可击破更多气球。
Even More Tacks Description,每次射出12个刺钉，进一步增加环射火焰的伤害。
Hot Shots Description,射出超热刺钉，可造成额外伤害和击破铅气球。
Blade Shooter Description,射出利刃，而非钉刺，可额外击破最多5个气球。
Tack Sprayer Description,每次喷射16个刺钉。
Ring of Fire Description,射出致命的火焰，而不是刺钉，对更多的气球造成伤害。
Blade Maelstrom Description,利刃漩涡技能：对目标区域发起利刃风暴。
Overdrive Description,以极快的速度射击。
Inferno Ring Description,熊熊烈焰会将气球燃为灰烬。
Super Maelstrom Description,更强大的漩涡技能和更长的持续时间。
The Tack Zone Description,大量刺钉。
,
Permafrost Description,即使解冻后，气球也只能缓慢移动。
Enhanced Freeze Description,攻击速度更快，冻结时间更长。
Larger Radius Description,更大的冻结面积。
Metal Freeze Description,可以冻结并击破迷彩气球和铅气球。
Deep Freeze Description,穿透力增加，冻结额外一层气球且冻结时间更长。
Re-Freeze Description,可再次冻结已经冻结的气球。
Ice Shards Description,当被冻结的气球爆裂时，会飞出锋利的碎片。
Arctic Wind Description,大大提高穿透力，并获得超级寒冷的光环，可减速靠近它的气球并冻结附近的水流。
Cryo Cannon Description,向更远处的气球快速发射较小的冰冻炸弹。
Embrittlement Description,可击中MOAB级气球。所有被击中的气球都会变脆弱，被冰冻且承受额外伤害，并且失去伪装。
Snowstorm Description,暴风雪技能：冻结屏幕上所有的普通气球，短暂冻结白气球、斑马气球和迷彩气球，并减速MOAB级气球。
Icicles Description,冻结的气球生长尖锐的冰柱，可以击破接触它们的气球。
Super Brittle Description,包括MOAB级气球在内的气球在冻结时受到巨大伤害。
Absolute Zero Description,此技能极其强大，可更长时间地冻结所有普通气球，包括白气球、斑马气球和迷彩气球，可更长时间地减速MOAB级气球，并在持续时间内大幅提高所有冰猴的攻击速度。
Icicle Impale Description,发射超大冰柱，对MOAB级气球造成巨大伤害并冻结它们。
,
Glue Soak Description,胶水渗透气球各层。
Bigger Globs Description,每次射击可以涂上2个气球。
Stickier Glue Description,使胶水效果持续更长时间。
Corrosive Glue Description,每隔几秒钟，被粘住的气球被击破一层。
Glue Splatter Description,每次发射最多可喷溅6个气球。
Stronger Glue Description,使气球移速更慢。
Bloon Dissolver Description,每次发射可额外粘住一个气球，溶剂每秒溶化两层气球。
Glue Hose Description,以3倍速度发射胶水！
MOAB Glue Description,改进后的胶水配方可使其粘住MOAB级气球。
Bloon Liquefier Description,释放液态化合物，每秒造成10次击破。
Glue Strike Description,胶水打击技能：粘住屏幕上的所有气球，效果持续期间放大其受到的所有伤害
Relentless Glue Description,被粘住并击破的气球会在路径上留下一团胶水。
The Bloon Solver Description,搞不定气球？这是解决方案。
Glue Storm Description,胶水风暴技能可在15秒内对全屏气球发起胶水攻击。被粘住的气球能够造成额外伤害。
Super Glue Description,胶水非常强大，可使所有受影响的气球短暂失去移动能力！
,
Full Metal Jacket Description,发射击破4层气球，子弹和弹片均可击破冰冻铅气球。
Night Vision Goggles Description,允许狙击手侦测迷彩气球，并对其造成额外2点伤害。
Fast Firing Description,射击速度比平时快。
Large Calibre Description,炮弹可穿透7层气球。
Shrapnel Shot Description,被摧毁的气球向各个方向喷出锋利的碎片。
Even Faster Firing Description,射速超快！
Deadly Precision Description,每次造成20点伤害，对陶瓷气球造成额外伤害。
Bouncing Bullet Description,炮弹最多可向新目标弹射3次。
Semi-Automatic Description,3倍速度攻击！
Maim MOAB Description,造成更大的伤害，并在短时间内困住MOAB级气球。
Supply Drop Description,空投补给技能：空投一个装满现金的箱子。普通攻击也可对铅气球造成伤害，并增加弹片威力。
Full Auto Rifle Description,全自动武器具有令人难以置信的爆破力。
Cripple MOAB Description,受创的MOAB气球被固定时间更长，其他攻击可对其造成额外伤害。
Elite Sniper Description,空投补给带来了更多的现金。为所有狙击手授予精英目标神谕，并加快他们的装弹速度。
Elite Defender Description,气球沿着路径移动得越远，攻击速度就也越快。失去生命会让狙击手获得4倍攻速。对MOAB级气球造成更多伤害。
,
Longer Range Description,增加攻击范围。
Barbed Darts Description,每个潜艇飞镖可以额外击破3个气球。
Twin Guns Description,双枪的攻击速度加倍。增强弹道导弹和气球反应堆。
Advanced Intel Description,允许在其他塔的半径范围内对气球进行远距离定位。
Heat-tipped Darts Description,炙热且锋利的飞镖可击破冰冻气球和铅气球。
Airburst Darts Description,空爆飞镖可在命中气球时分裂成3个，大幅增加击破力。进一步增强反应堆。
Submerge and Support Description,增加潜望锁定选项，可永久显示其半径内的迷彩气球，但在潜水时不进行攻击。
Ballistic Missile Description,导弹会自动寻找射程内的目标，并对MOAB级气球和陶瓷气球造成额外伤害。
Triple Guns Description,增加第三支枪，以便更快地射击。
Bloontonium Reactor Description,潜望探测迷彩气球、击破气球，并将水面猴子的技能冷却时间缩短15％。
First Strike Capability Description,先发制人技能：对屏幕上最大的气球进行毁灭性的导弹袭击，附加溅射伤害。
