//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicken
Bloon Dissolver,Bloon-Lösungsmittel
Glue Hose,Klebstoffschlauch
MOAB Glue,MOAB-Kleber
Bloon Liquefier,Bloon-Verdünner
Glue Strike,Klebstoffsturm
Relentless Glue,Schonungsloser Kleber
The Bloon Solver,Der Bloonlöser
Glue Storm,Klebstoffsturm
Super Glue,Superklebstoff
,
Full Metal Jacket,Vollmantel-Geschoss
Night Vision Goggles,Nachtsichtgerät
Fast Firing,Schnellfeuer
Large Calibre,Großkaliber
Shrapnel Shot,Schrapnellschuss
Even Faster Firing,Noch schneller Feuern
Deadly Precision,Tödliche Präzision
Bouncing Bullet,Abprallgeschoss
Semi-Automatic,Semi-Automatisch
Maim MOAB,Verstümmel-MOAB
Supply Drop,Nachschub-Abwurf
Full Auto Rifle,Vollautomatisches Gewehr
Cripple MOAB,MOAB-Lähmung
Elite Sniper,Elite-Scharfschütze
Elite Defender,Elite-Verteidiger
,
Longer Range,Größere Reichweite
Barbed Darts,Stacheldraht-Pfeile
Twin Guns,Zwillingskanonen
Advanced Intel,Top-Spionage
Heat-tipped Darts,Heißspitzenpfeile
Airburst Darts,Luftdetonationspfeile
Submerge and Support,Abtauchen und Unterstützen
Ballistic Missile,Ballistische Rakete
Triple Guns,Dreifachwaffe
Bloontonium Reactor,Bloontonium-Reaktor
First Strike Capability,Erstschlag-Fähigkeit
Armor Piercing Darts,Panzerbrechende Pfeile
Energizer,Energizer
Pre-emptive Strike,Präventivschlag
Sub Commander,Sub-Kommandant
,
Buccaneer-Faster Shooting,Schneller Schießen
Buccaneer-Grape Shot,Traubenhagel
Buccaneer-Long Range,Langstrecke
Buccaneer-Double Shot,Doppelschuss
Buccaneer-Hot Shot,Hot-Shot
Buccaneer-Crow's Nest,Ausguck
Buccaneer-Destroyer,Zerstörer
Buccaneer-Cannon Ship,Kanonenschiff
Buccaneer-Merchantman,Handelsschiff
Buccaneer-Aircraft Carrier,Flugzeugträger
Buccaneer-Monkey Pirates,Affenpiraten
Buccaneer-Favored Trades,Lieblingshandel
Buccaneer-Carrier Flagship,Träger-Flaggschiff
Buccaneer-Pirate Lord,Piratenfürst
Buccaneer-Trade Empire,Handelsimperium
,
Rapid Fire,Schnellfeuer
Exploding Pineapple,Explodierende Ananas
Sharper Darts,Schärfere Pfeile
Lots More Darts,Viel mehr Pfeile
Spy Plane,Spionageflugzeug
Centered Path,Zentrierter Pfad
Fighter Plane,Kampfflugzeug
Bomber Ace,Bomberass
Neva-Miss Targeting,Nie-daneben-Zielsystem
Operation: Dart Storm,Operation: Pfeilsturm
Ground Zero,Ground Zero
Spectre,Spukgestalt
Sky Shredder,Himmelsschredder
Tsar Bomba,Tsar-Bomba
Flying Fortress,Fliegende Festung
,
Quad Darts,Vierfach Wurfpfeile
Bigger Jets,Größere Jets
Faster Firing,Schneller Feuern
Pursuit,Verfolgung
IFR,IFR
Faster Darts,Schnellere Pfeile
Razor Rotors,Rasier-Rotor
Downdraft,Fallwind
MOAB Shove,MOAB-Schub
Apache Dartship,Apache-Wurfpfeilschiff
Support Chinook,Support-Chinook
Comanche Defense,Comanche-Verteidigung
Apache Prime,Apache-Prime
Special Poperations,Spezial-Platzerei
Comanche Commander,Comanche-Kommandant
,
Bigger Blast,Größere Explosion
Mortar Faster Reload,Schnelleres Nachladen
Increased Accuracy,Höhere Zielgenauigkeit
Bloon Buster,Bloon-Meister
Mortar Rapid Reload,Schnelles Nachladen
Burny Stuff,Heißes Zeug
Shockwave,Granatenschock
Heavy Shells,Schwere Granaten
Signal Flare,Signalgeber
The Big One,Die Größte
Artillery Battery,Artillerie-Geschütz
Shattering Shells,Schmetter-Granaten
The Biggest One,Die Allergrößte
Pop and Awe,Platz-Methode
Blooncineration,Bloon-Veraschung
,
Focused Firing,Schuss-Bündelung
Advanced Targeting,Top-Zielsystem
Powerful Darts,Starke Wurfpfeile
Faster Swivel,Schnellschwenk
Faster Barrel Spin,Schnellere Rotation
Depleted Bloontonium,Erschöpftes Bloontonium
Laser Shock,Laserschock
Laser Cannon,Laserkanone
Hydra Rocket Pods,Wasser Raketenrampe
Buckshot,Schrotmunition
Plasma Accelerator,Plasmabeschleuniger
Rocket Storm,Raketensturm
Bloon Area Denial System,Bloon-Gebiets Abwehrsystem
Ray of Doom,Strahl des Untergangs
M.A.D,M.A.D.
Bloon Exclusion Zone,Bloon-Ausschlusszone
,
Guided Magic,Lenkmagie
Fireball,Feuerkugel
Intense Magic,Intensive Magie
Arcane Blast,Arkanstoß
Wall of Fire,Feuerwall
Monkey Sense,Affensinn
Arcane Mastery,Arkanmeister
Dragon's Breath,Atem des Drachen
Shimmer,Schimmer
Arcane Spike,Arkannägel
Summon Phoenix,Phönix herbeirufen
Necromancer: Unpopped Army,Nekromant: Ungeplatzte Armee
Archmage,Erzmagier
Wizard Lord Phoenix,Zauberer-Phönix
Soulbind,Fürst der Finsternis
,
Laser Blasts,Laserstrahlen
Super Range,Super-Reichweite
Knockback,Rückschlag
Plasma Blasts,Plasmastrahlen
Epic Range,Monumentale Reichweite
Ultravision,Ultravision
Sun Avatar,Sonnenavatar
Robo Monkey,Robo-Affe
Dark Knight,Schwarzer Ritter
Sun Temple,Sonnentempel
Tech Terror,Technoterror
Dark Champion,Schwarzer Champion
True Sun God,Wahrer Sonnengott
The Anti-Bloon,Der Anti-Bloon
Legend of the Night,Legende der Nacht
,
Ninja Discipline,Ninja-Disziplin
Distraction,Ablenkung
Seeking Shuriken,Such-Shuriken
Sharp Shurikens,Spitz-Shuriken
Counter-Espionage,Gegenspionage
Caltrops,Krähenfüße
Double Shot,Doppelschuss
Shinobi Tactics,Shinobi-Taktik
Flash Bomb,Blendgranate
Bloonjitsu,Bloonjitsu
Bloon Sabotage,Bloon-Sabotage
Sticky Bomb,Klebebombe
Grandmaster Ninja,Großmeister-Ninja
Grand Saboteur,Groß-Saboteur
Master Bomber,Meisterbomber
,
Larger Potions,Größere Tränke
Stronger Acid,Stärkere Säure
Acid Pool,Säurepool
Acidic Mixture Dip,Säure-Mix
Perishing Potions,Kältetränke
Alchemist Faster Throwing,Schneller Werfen
Berserker Brew,Berserker-Gebräu
Unstable Concoction,Instabiles Gebräu
Lead to Gold,Spur zum Gold
Stronger Stimulant,Stärkere Stimulanz
Transforming Tonic,Transformierendes Tonikum
Rubber to Gold,Gummi zu Gold
Permanent Brew,Permanentgebräu
Total Transformation,Totale Transformation
Bloon Master Alchemist,Bloon-Meisteralchemist
,
Hard Thorns,Hartdornen
Thorn Swarm,Dornenschwarm
Druidic Reach,Druidenbereich
Heart of Thunder,Donnerherz
Heart of Oak,Eichenherz
Heart of Vengeance,Racheherz
Druid of the Storm,Sturmdruide
Druid of the Jungle,Dschungeldruide
Druid of Wrath,Zorndruide
Ball Lightning,Kugelblitz
Jungle's Bounty,Dschungelbeute
Poplust,Platzlust
Superstorm,Supersturm
Spirit of the Forest,Waldgeist
Avatar of Wrath,Zornavatar
,
Increased Production,Erhöhte Produktion
Long Life Bananas,Langlebige Bananen
EZ Collect,EZ-Sammlung
Greater Production,Größere Produktion
Valuable Bananas,Wertvolle Bananen
Banana Salvage,Bananenrettung
Banana Plantation,Bananenplantage
Monkey Bank,Affenbank
Marketplace,Marktplatz
Banana Research Facility,Bananen-Forschungszentrum
IMF loan,IAF-Kredit
Central Market,Zentralmarkt
Banana Central,Bananenzentrale
Monkey-Nomics,Affennomie
Monkey Wall Street,Affen-Wall-Street
,
Sentry Gun,Wachkanone
Larger Service Area,Größerer Servicebereich
Oversize Nails,Übergroße Nägel
Faster Engineering,Schnellere Technik
Deconstruction,Abbau
Pin,Nadel
Sprockets,Zahnkränze
Cleansing Foam,Reinigungsschaum
Double Gun,Doppelwaffe
Sentry Expert,Wachenexperte
Overclock,Übertakten
Bloon Trap,Bloon-Falle
Sentry Paragon,Wachposten-Champion
Ultraboost,Ultraboost
XXXL Trap,XXXL-Falle
,
Bigger Stacks,Größere Haufen
Faster Production,Schnellere Produktion
Long Reach,Großreichweite
White Hot Spikes,Heiße Nägel
Even Faster Production,Noch schnellere Produktion
Smart Spikes,Clevere Nägel
Spiked Balls,Nagelbälle
MOAB SHREDR,MOAB-SCHREDDER
Long Life Spikes,Langlebige Nägel
Spiked Mines,Nagelminen
Spike Storm,Nagelsturm
Deadly Spikes,Tödliche Nägel
Super Mines,Superminen
Carpet of Spikes,Nagelteppich
Perma-Spike,Perma-Stacheln
,
Military Efficiency,Militäreffizient
Magic Sciences,Zauberwissenschaft
Private Tuition,Privatausbildung
Wider Influence,Größerer Einfluss
Academic Network,Akademisches Netzwerk
Heroic Presence,Heldenanwesenheit
M.A.S.H,M.A.S.H.
Wizards Library,Zaubererbibliothek
Heroic Academy,Heldenakademie
Military Barracks,Militärbaracken
Magic Arcanum,Zauber-Arcanum
Power Hero Development (PhD),Power-Held-Entwicklung (PHE)
Military HQ,Militär-HQ
Nexus Crucible,Tiegelnexus
Dynamic Duo,Dynamisches Duo
,
Bigger Radius,Größerer Radius
Grow Blocker,Wachstumsblocker
Monkey Business,Affen-Business
Jungle Drums,Dschungel-Trommeln
Radar Scanner,Radar-Scanner
Monkey Commerce,Affen-Handel
Primary Training,Primärtraining
Monkey Intelligence Bureau,Affen-Nachrichtendienst
Monkey Town,Affenstadt
Primary Mentoring,Primärmentoring
Call to Arms,Zu den Waffen
Monkey City,Affenstadt
Primary Expertise,Primär-Expertise
Homeland Defense,Heimatverteidigung
Monkeyopolis,Monkeyopolis
,
//Power names,
SuperMonkeyStorm,Super-Affensturm
MonkeyBoost,Affen-Boost
Thrive,Erfolg
DartTime,Zeitstopp
CashDrop,Geldversorgung
BananaFarmer,Bananenbauer
PortableLake,Tragbarer See
Pontoon,Pontonbrücke
RoadSpikes,Nagelsperren
MoabMine,MOAB-Mine
CamoTrap,Tarnfalle
GlueTrap,Klebefalle
,
//Power descriptions,
SuperMonkeyStorm Description,"Es ist ein Vogel. Es ist ein Flugzeug. Es ist ein Geschwader fliegender, super-energiereiche Laserstrahlen feuernder Affen, die jeden einfachen Bloon auf dem Bildschirm zerstören und den Bloons der MOAB-Klasse großen Schaden zufügen."
MonkeyBoost Description,Bringen wir das Ding auf 11! Alle Türme greifen {0} Sekunden lang doppelt so schnell an.
Thrive Description,Erhöht die Geldproduktion all deiner Türme und Bloons-Platzenlassen um {0} % für den Rest der Runde und die komplette nächste Runde!
DartTime Description,"Wenn es manchmal etwas zu schnell geht, verwende Zeitstop, um die Zeit kurz anzuhalten, damit du dich ganz auf deine Affen konzentrieren kannst."
CashDrop Description,"Du brauchst schnell Geld? Hol dir ein Affenkommando, um schleunigst einen dieser Schurken zu erledigen, die vollgestopft mit Geld sind!"
BananaFarmer Description,"Du bist zu faul, die Bananen selbst zu ernten? Eigentlich ist dieser Kerl das auch, aber er wird dafür wenigstens bezahlt. Der Bauer erntet automatisch für dich alle Bananen in seinem Wirkungsradius."
PortableLake Description,"Dein Boot sitzt auf dem Trockenen? Kluge Affen wissen längst, dass sie einen tragbaren See auf dem Land platzieren können, um darauf jegliche Wassereinheiten einzusetzen."
Pontoon Description,Auf der Pontonbrücke kannst du fast jeden Landturm auf dem Wasser platzieren! Platziere die Pontonbrücke auf dem Wasser und setze deinen Landturm oben drauf.
RoadSpikes Description,"Ein Riesenhaufen Nagelsperren ist bereit zur Ablage genau da, wo du ihn am dringendsten brauchst!"
MoabMine Description,"Eine mächtige Mine, die die Anwesenheit von Bloons der MOAB-Klasse feststellt und beim Explodieren großen Schaden verursacht."
CamoTrap Description,"Diese Falle ist Affentechnik vom feinsten und entfernt den Tarnstatus von den ersten {0} Bloons, die sie berühren."
GlueTrap Description,"Diese Klebefalle wird die ersten {0} Bloons verlangsamen, die darüber schweben, und dann verschwinden."
,
//Upgrade Descriptions,
Sharp Shots Description,Kann mit jedem Schuss 1 zusätzlichen Bloon platzen lassen.
Quick Shots Description,Schießt 15 % schneller.
Long Range Darts Description,Lässt den Wurfpfeilaffen weiter schießen als gewöhnlich.
Razor Sharp Shots Description,Kann mit jedem Schuss 2 zusätzliche Bloons platzen lassen.
Very Quick Shots Description,Schießt 33 % schneller!
Enhanced Eyesight Description,Schießt sogar noch weiter und kann Tarnung aufdecken.
Spike-o-pult Description,"Verwandelt den Wurfpfeilaffen in ein Nagelkatapult, das einen großen Nagelball statt Wurfpfeilen wirft. Gute Reichweite, aber langsamere Angriffsgeschwindigkeit. Jeder Ball kann eine Menge Bloons platzen lassen und prallt von Hindernissen ab."
Triple Shot Description,Wirft 3 Pfeile auf einmal statt nur 1.
Crossbow Description,"Verwendet eine Langstrecken-Armbrust, die bei jedem Treffer 3 Schichten Bloons platzen lassen kann."
Juggernaut Description,Schleudert riesige Stachelkugel die Blei zum Platzen bringt und Keramik-Bloons besonders gut zerstört.
Super Monkey Fan Club Description,Superaffen-Fanclub-Fähigkeiten: Verwandelt sich selbst und bis zu 10 Pfeilaffen für 15 Sekunden in Superaffen. Normale Angriffsgeschwindigkeit wird auch erhöht.
Sharp Shooter Description,"Der Scharfschütze greift schneller an und verursacht alle paar Schüsse mächtige kritische Treffer, die eine Menge mehr Schaden verursachen."
Ultra-Juggernaut Description,"Riesige Nagelbälle teilen sich zweimal in 6 Molochbälle, wodurch sie über noch mehr Zerstörungskraft verfügen."
Plasma Monkey Fan Club Description,Die Elitemitgliedschaft in diesem Club verleiht den Wurfpfeilaffen noch mehr Kraft!
Crossbow Master Description,Der Armbrust-Meister schießt wirklich schnell und vernichtet mit Leichtigkeit die meisten Bloons.
,
Improved Rangs Description,Kann pro Wurf bis zu 8 Bloons platzen lassen.
Faster Throwing Description,Wirft Bumerange schneller.
Long Range Rangs Description,Kann Bumerange schneller als normal werfen.
Glaives Description,"Wirft schärfere, schnellere und größere Gleven anstatt Bumerange."
Faster Rangs Description,Bumerange feuern und reisen schneller.
Red Hot Rangs Description,Bumerange können nun Eis- und Blei-Bloons platzen lassen und fügen allen größeren Schaden zu.
Glaive Ricochet Description,Gleven springen automatisch und äußerst aggressiv von Bloon zu Bloon.
Bionc Boomerang Description,"Ersetzt einen Arm durch einen starken bionischen Arm, der Bumerange äußerst schnell werfen und Bloons der MOAB-Klasse mehr Schaden zufügen kann."
Kylie Boomerang Description,"Wirft schwere Kylie-Bumerange, die nicht in Kurven, sondern geradeaus fliegen."
M.O.A.R Glaives Description,Das fortschrittliche Mehrfachobjekt-Ricochet verbessert enorm die eh schon außergewöhnlichen Kräfte des Gleven-Ricochet-Affen.
Turbo Charge Description,Turboladungsfähigkeit: Dieser Affe greift 10 Sekunden lang unglaublich schnell an.
MOAB Press Description,Der schwere Kylie-Bumerang trifft Bloons der MOAB-Klasse mehrfach pro Wurf und wirft sie manchmal ein kurzes Stück auf dem Weg zurück.
Glaive Lord Description,"Der Glevenführer umgibt sich selbst mit 3 Spezialgleven, die alles zerschreddern, was in ihre Nähe kommt. Die Gleven des Glevenführers dringen nun auch in Bloons der MOAB-Klasse ein und zerreißen diese langsam von innen nach außen."
Perma Charge Description,Permaladung verfügt über eine permanente superschnelle Angriffsgeschwindigkeit. Die Fähigkeit vergrößert die Letalität sogar noch mehr.
MOAB Domination Description,Spezielle Rückschlag-Kylies lösen öfter aus und verursachen eine Menge Extraschaden.
,
Bigger Bombs Description,"Verschießt größere Bomben, die einen größeren Explosionsbereich und mehr Platzkraft besitzen."
Faster Reload Description,Lädt schneller nach.
Extra Range Description,Erhöhte Angriffsreichweite.
Heavy Bombs Description,"Hochleistungsbomben, die 2 Schichten Bloons auf einmal durchschlagen und mehr Bloons platzen lassen."
Missile Launcher Description,"Tauscht Bomben in Raketen ein, die schneller feuern, schneller fliegen und weiter reichen."
Frag Bombs Description,"Explosionen schleudern scharfe Fragmente, die mehr Bloons und auch Schwarze Bloons platzen lassen können."
Really Big Bombs Description,"Große Bomben richten in einem größeren Bereich Schaden an und ermöglichen Splitterbomben, mehr Bloons platzen zu lassen."
MOAB Mauler Description,MOAB-Schläger richten bei Bloons der MOAB-Klasse viel mehr Schaden an.
Cluster Bombs Description,Wirft bei jedem Schuss Sekundärbomben statt scharfe Fragmente aus.
Bloon Impact Description,"Die Explosionen sind so stark, dass getroffene Bloons für kurze Zeit betäubt werden. Die Reichweite ist erhöht und Splitterbomben sind noch effektiver,"
MOAB Assassin Description,MOAB-Killer-Fähigkeit: Eine Spezialrakete fliegt los und verursacht bei Bloons der MOAB-Klasse schweren Schaden. Normale Angriffsreichweite und Schaden an Bloons der MOAB-Klasse sind auch erhöht.
Recursive Cluster Description,Jeder zweite Schuss der Streubombe sendet mehr Streubomben aus die noch mehr verheeren.
Bloon Crush Description,Bloonzerschmetternde Explosionen verursachen schweren Schaden und können Bloons der MOAB-Klasse betäuben.
MOAB Eliminator Description,Schwerer Schaden an Bloons der MOAB-Klasse und Killer-Fähigkeit fügt  mit einer kurzen Abkühlzeit sechsfachen Schaden zu.
Bomb Blitz Description,"Fügt viel mehr Schaden zu und erhält passive Bombensturmfähigkeit – gehen Leben verloren, wird automatisch der Bombensturm ausgelöst, der alle Bloons, außer den größten, zerstört."
,
Faster Shooting Description,Schießt Reißnägel schneller.
Long Range Tacks Description,Reißnägel fliegen weiter als normal.
More Tacks Description,"Verschießt 10 statt 8 Reißnägel, plus erhöhter Flammenkreisschaden."
Even Faster Shooting Description,Schießt Reißnägel noch schneller!
Super Range Tacks Description,"Reißnägel mit noch größerer Reichweite, die noch mehr Bloons platzen lassen können."
Even More Tacks Description,"Verschießt 12 Reißnägel, und erhöht den Flammenkreisschaden noch mehr."
Hot Shots Description,"Schießt superheiße Nägel, die Extraschaden anrichten und Blei-Bloons zum Platzen bringen."
