//Input. Needs to be first e.g [I] replaced by click or tap,
Click,클릭
Advanced Intel,상급 정보
Heat-tipped Darts,열처리 다트
Airburst Darts,공중 폭발 다트
Submerge and Support,수중 지원
Ballistic Missile,탄도 미사일
Triple Guns,삼중 대포
Bloontonium Reactor,블루토니움  원자로
First Strike Capability,선제 공격력
Armor Piercing Darts,철갑다트
Energizer,에너자이저
Pre-emptive Strike,예방 공격
Sub Commander,잠수함 사령관
,
Buccaneer-Faster Shooting,더 빠른 발사
Buccaneer-Grape Shot,포도탄
Buccaneer-Long Range,원거리
Buccaneer-Double Shot,더블 샷
Buccaneer-Hot Shot,뜨거운 사격
Buccaneer-Crow's Nest,까마귀 둥지
Buccaneer-Destroyer,구축함
Buccaneer-Cannon Ship,대포 함선
Buccaneer-Merchantman,상인
Buccaneer-Aircraft Carrier,항공모함
Buccaneer-Monkey Pirates,해적 원숭이
Buccaneer-Favored Trades,우위 무역
Buccaneer-Carrier Flagship,항공모함 기함
Buccaneer-Pirate Lord,해적왕
Buccaneer-Trade Empire,무역의 제국
,
Rapid Fire,속사
Exploding Pineapple,폭발 파인애플
Sharper Darts,더 날카로운 다트
Lots More Darts,다트 수 대폭 증가
Spy Plane,스파이 비행기
Centered Path,중앙 경로
Fighter Plane,전투기
Bomber Ace,폭격기 에이스
Neva-Miss Targeting,백발백중
Operation: Dart Storm,작전: 다트 스톰
Ground Zero,낙하지점
Spectre,유령
Sky Shredder,하늘 파쇄기
Tsar Bomba,차르 봄바
Flying Fortress,천공의 요새
,
Quad Darts,4중 다트
Bigger Jets,더 큰 제트기
Faster Firing,더 빠른 사격
Pursuit,추적
IFR,IFR
Faster Darts,다트 속도 증가
Razor Rotors,날카로운 회전자
Downdraft,하강 기류
MOAB Shove,MOAB 밀치기
Apache Dartship,아파치 다트술
Support Chinook,치누크 지원
Comanche Defense,코만치 방어
Apache Prime,아파치 프라임
Special Poperations,특수 터트리기 작전
Comanche Commander,코만치 사령관
,
Bigger Blast,더 큰 폭발
Mortar Faster Reload,재장전 속도 증가
Increased Accuracy,증가한 정확성
Bloon Buster,풍선 격퇴기
Mortar Rapid Reload,빠른 재장전
Burny Stuff,연소 물질
Shockwave,포탄 충격
Heavy Shells,중량 포탄
Signal Flare,신호탄
The Big One,빅 원
Artillery Battery,포대
Shattering Shells,비산 포탄
The Biggest One,가장 큰 거
Pop and Awe,터지고 멍하니
Blooncineration,풍선 태우기
,
Focused Firing,집중적 발사
Advanced Targeting,고급 표적
Powerful Darts,강력한 다트
Faster Swivel,회전 속도 증가
Faster Barrel Spin,더 빠른 총열 회전
Depleted Bloontonium,감손 블룬토니움
Laser Shock,레이저 충격
Laser Cannon,레이저 대포
Hydra Rocket Pods,히드라 로켓 포드
Buckshot,산탄
Plasma Accelerator,플라스마 가속기
Rocket Storm,로켓 폭풍
Bloon Area Denial System,풍선 지역 거부 시스템
Ray of Doom,파멸의 광선
M.A.D,M.A.D
Bloon Exclusion Zone,풍선 제한 구역
,
Guided Magic,유도 마법
Fireball,불덩이
Intense Magic,강렬한 마술
Arcane Blast,마력 방출
Wall of Fire,화염벽
Monkey Sense,원숭이 센스
Arcane Mastery,마력 숙달
Dragon's Breath,용의 입김
Shimmer,깜박깜박
Arcane Spike,마력 스파이크
Summon Phoenix,피닉스 소환
Necromancer: Unpopped Army,강령술사: 안터진 군대
Archmage,대마법사
Wizard Lord Phoenix,마법사 군주 피닉스
Soulbind,암흑의 군주
,
Laser Blasts,레이저 폭발
Super Range,슈퍼 사정거리
Knockback,넉백
Plasma Blasts,플라스마 폭발
Epic Range,에픽 사정거리
Ultravision,울트라 시력
Sun Avatar,태양의 아바타
Robo Monkey,로보 원숭이
Dark Knight,흑기사
Sun Temple,태양의 사원
Tech Terror,기술 테러
Dark Champion,흑챔피언
True Sun God,진정한 태양신
The Anti-Bloon,풍선대항마
Legend of the Night,밤의 전설
,
Ninja Discipline,닌자 수련
Distraction,방해
Seeking Shuriken,추적 표창
Sharp Shurikens,날카로운 표창
Counter-Espionage,역첩보
Caltrops,마름쇠
Double Shot,더블 샷
Shinobi Tactics,시노비 전술
Flash Bomb,섬광 폭탄
Bloonjitsu,풍선짓수
Bloon Sabotage,풍선 사보타주
Sticky Bomb,끈적 폭탄
Grandmaster Ninja,그랜드마스터 닌자
Grand Saboteur,그랜드 사보추어
Master Bomber,폭격기 대가
,
Larger Potions,물약 크기 증가
Stronger Acid,산성물질 강도 증가
Acid Pool,산성물질 웅덩이
Acidic Mixture Dip,산성물질 혼합체
Perishing Potions,쇠약의 물약
Alchemist Faster Throwing,투척 속도 증가
Berserker Brew,광전사 약제
Unstable Concoction,불안정한 조합물
Lead to Gold,납을 금으로
Stronger Stimulant,흥분제 강도 증가
Transforming Tonic,변신 강장제
Rubber to Gold,고무를 금으로
Permanent Brew,영구 약제
Total Transformation,환골탈태
Bloon Master Alchemist,풍선의 대가 연금술사
,
Hard Thorns,단단한 가시
Thorn Swarm,벌떼 가시
Druidic Reach,드루이드의 손길
Heart of Thunder,번개의 심장
Heart of Oak,참나무의 심장
Heart of Vengeance,복수의 심장
Druid of the Storm,폭풍의 드루이드
Druid of the Jungle,정글의 드루이드
Druid of Wrath,분노의 드루이드
Ball Lightning,번개구
Jungle's Bounty,정글의 축복
Poplust,터트리스트
Superstorm,슈퍼 폭풍
Spirit of the Forest,숲의 정령
Avatar of Wrath,분노의 아바타
,
Increased Production,생산 증가
Long Life Bananas,긴 수명의 바나나
EZ Collect,편리한 수금
Greater Production,생산량 증가
Valuable Bananas,귀한 바나나
Banana Salvage,바나나 회수
Banana Plantation,바나나 대농장
Monkey Bank,원숭이 은행
Marketplace,시장
Banana Research Facility,바나나 연구 시설
IMF loan,IMF 대출
Central Market,중앙 시장
Banana Central,바나나 중심지
Monkey-Nomics,원숭이 경제학
Monkey Wall Street,원숭이 월스트리트
,
Sentry Gun,감시 총
Larger Service Area,더 넓은 서비스 지역
Oversize Nails,초대형 못
Faster Engineering,엔지니어링 속도 증가
Deconstruction,철거
Pin,핀
Sprockets,톱니
Cleansing Foam,크린싱 폼
Double Gun,이중 총
Sentry Expert,경비 전문가
Overclock,오버클록
Bloon Trap,풍선 함정
Sentry Paragon,경비 탑 챔피언
Ultraboost,울트라부스트
XXXL Trap,XXXL 함정
,
Bigger Stacks,더 큰 적재
Faster Production,더 빠른 생산
Long Reach,긴 범위
White Hot Spikes,화이트 핫 스파이크
Even Faster Production,심지어 더 빠른 생산
Smart Spikes,스마트 스파이크
Spiked Balls,스파이크구
MOAB SHREDR,MOAB 난도자
Long Life Spikes,수명이 긴 스파이크
Spiked Mines,스파이크 지뢰
Spike Storm,스파이크 스톰
Deadly Spikes,치명적인 스파이크
Super Mines,슈퍼 지뢰
Carpet of Spikes,스파이크 카펫
Perma-Spike,영구 스파이크
,
Military Efficiency,군사적 효율성
Magic Sciences,마법 과학
Private Tuition,사교육비
Wider Influence,영향력 증가
Academic Network,학계 인맥
Heroic Presence,영웅적인 존재
M.A.S.H,M.A.S.H.
Wizards Library,마법사 도서관
Heroic Academy,영웅 아카데미
Military Barracks,군대 병영
Magic Arcanum,신비의 마법
Power Hero Development (PhD),파워 영웅 개발(PhD)
Military HQ,군대 본부
Nexus Crucible,넥서스 도가니
Dynamic Duo,다이내믹 듀오
,
Bigger Radius,반경 증가
Grow Blocker,재생 차단기
Monkey Business,원숭이 사업
Jungle Drums,정글 드럼
Radar Scanner,레이더 스캐너
Monkey Commerce,원숭이 상업
Primary Training,일차 훈련
Monkey Intelligence Bureau,원숭이 정보국
Monkey Town,원숭이 타운
Primary Mentoring,일차 멘토링
Call to Arms,군대 소집
Monkey City,원숭이 도시
Primary Expertise,일차 전문 분야
Homeland Defense,국토 방어
Monkeyopolis,원숭이 대도시
,
//Power names,
SuperMonkeyStorm,슈퍼 원숭이 폭풍
MonkeyBoost,원숭이 부스트
Thrive,번성
DartTime,시간 정지
CashDrop,캐시 투하
BananaFarmer,바나나 농부
PortableLake,휴대용 호수
Pontoon,부교
RoadSpikes,로드 스파이크
MoabMine,MOAB 지뢰
CamoTrap,캐모 함정
GlueTrap,글루 함정
,
//Power descriptions,
SuperMonkeyStorm Description,이것은 새도 아니고 비행기도 아닙니다. 화면의 풍선이란 풍선은 모조리 파괴하고 MOAB급 풍선에는 큰 타격을 주는 초강력 레이저 빔을 쏘는 원숭이 비행 중대입니다.
MonkeyBoost Description,다같이 막 나가봅시다! {0}초 동안 모든 타워의 공격 속도가 두 배가 됩니다.
Thrive Description,지금부터 다음 라운드 끝까지 모든 타워와 터트린 풍선의 캐시 생산량이 {0}% 증가합니다!
DartTime Description,움직임이 너무 빠르다 싶으면 원숭이 관리에 집중할 수 있도록 '시간 정지'를 사용해 모든 것을 잠시 멈추세요.
CashDrop Description,여분의 캐시가 급히 필요한가요? 즉시 원숭이 지휘본부에서 캐시를 잔뜩 채워서 내보내도록 하세요!
BananaFarmer Description,직접 바나나 따기가 지겨우세요? 이 친구도 지겨워하지만 대신 돈을 받고 하지요. 농부가 반경 내 모든 바나나를 자동으로 수확하므로 직접 할 필요가 없습니다.
PortableLake Description,배를 띄울 곳이 없나요? 영리한 원숭이는 땅에 이동식 호수를 둘 수 있다는 것을 알아서 그 물에 어떤 수중 부대도 배치할 수 있습니다.
Pontoon Description,부교로 물에 거의 모든 랜드 타워를 놓으세요!  물에 부교를 배치한 후 그 위에 랜드 타워를 놓으세요.
RoadSpikes Description,필요한 곳이면 어디든지 놓을 수 있는 거대한 로드 스파이크 무더기입니다!
MoabMine Description,MOAB급 풍선의 존재를 감지하고 막대한 피해를 주며 폭발하는 강력한 지뢰입니다.
CamoTrap Description,"원숭이 엔지니어링의 최신 기술로, 함정을 처음 건드리는 풍선 {0}개에서 캐모 속성을 제거합니다."
GlueTrap Description,"끈적끈적한 함정으로, 그 위를 지나가는 풍선 {0}개의 속도를 감소시킨 다음 사라집니다."
,
//Upgrade Descriptions,
Sharp Shots Description,공격당 풍선을 추가로 1개 더 터트립니다.
Quick Shots Description,공격 속도가 15% 증가합니다.
Long Range Darts Description,다트 원숭이가 보통보다 더 멀리 쏘게 합니다.
Razor Sharp Shots Description,공격당 풍선을 2개 더 터트립니다.
Very Quick Shots Description,공격 속도가 33% 증가합니다!
Enhanced Eyesight Description,사정거리가 증가하며 캐모 풍선을 감지할 수 있습니다.
Spike-o-pult Description,"다트 원숭이를 스파이크 투석기로 개조하여 다트 대신 거대한 스파이크구를 투척합니다. 사정거리는 괜찮지만 공격 속도가 느립니다. 각 구는 많은 풍선을 터트릴 수 있으며, 장애물을 만나면 튕깁니다."
Triple Shot Description,1개 대신 한 번에 3개의 다트를 던집니다.
Crossbow Description,명중당 풍선 3겹을 터트릴 수 있는 원거리 석궁을 사용합니다.
Juggernaut Description,납 풍선을 터트리며 세라믹 풍선을 부수는 데 탁월한 거대 스파이크구를 던집니다.
Super Monkey Fan Club Description,슈퍼 원숭이 팬클럽 능력: 주변에 있는 다트 원숭이를 자신 포함 최대 10마리까지 15초 동안 슈퍼 원숭이로 개조합니다. 일반 공격 속도도 증가합니다.
Sharp Shooter Description,정확한 슈터의 공격 속도가 빨라지고 공격 중에 몇 번에 한 번씩은 훨씬 더 많은 피해를 주는 위력적인 치명타를 날립니다.
Ultra-Juggernaut Description,거대한 스파이크구가 6개의 저거너트구로 나뉘며 더욱 더 무시무시한 파괴력을 행사합니다.
Plasma Monkey Fan Club Description,다트 원숭이가 이 클럽의 엘리트 회원이 되면 더욱 강해집니다!
Crossbow Master Description,석궁의 대가는 공격 속도가 매우 빠르며 대부분의 풍선 유형을 손쉽게 격파합니다.
,
Improved Rangs Description,투척당 풍선 8개까지 터트립니다.
Faster Throwing Description,부메랑을 더 빠르게 던집니다.
Long Range Rangs Description,평소보다 부메랑을 더 멀리 던질 수 있습니다.
Glaives Description,부메랑 대신 더 뾰족하고 빠른 글레이브를 던집니다.
Faster Rangs Description,부메랑이 더 빠르게 발사되어 이동합니다.
Red Hot Rangs Description,이제 부메랑이 얼음 및 납 풍선을 터뜨려 모두에게 더 많은 피해를 입힙니다.
Glaive Ricochet Description,글레이브가 자동으로 풍선에서 풍선으로 튀며 공격합니다.
Bionc Boomerang Description,"팔을 강력한 생체공학 개조팔로 교체하여 부메랑을 무시무시한 속도로 던질 수 있게 되며, MOAB급 풍선에게 더 많은 피해를 주게 됩니다."
Kylie Boomerang Description,곡선이 아니라 직선으로 날아가는 중량의 카일리 부메랑을 투척합니다.
M.O.A.R Glaives Description,다중 대상 고급 도탄이 안 그래도 뛰어난 글레이브 도탄 원숭이의 위력을 어마어마하게 향상시킵니다.
Turbo Charge Description,터보 충전 능력: 10초 동안 이 원숭이의 공격 속도를 믿기지 않는 경지로 올립니다.
MOAB Press Description,중량의 카일리 부메랑이 MOAB급 풍선을 투척당 여러 번 가격하며 때로는 뒤로 밀쳐서 약간 후진하게 합니다.
Glaive Lord Description,글레이브 군주는 주변에 다가오는 것은 무엇이든지 난도질하는 3개의 특별 글레이브를 주위에 두릅니다. 글레이브 군주의 글레이브가 이제는 MOAB급 풍선도 갈라서 안에서부터 천천히 찢어지게 만듭니다.
Perma Charge Description,"영구 충전은 초고속 공격 속도를 영구적으로 유지하며, 능력을 사용하면 그 위력은 더욱 강해집니다."
MOAB Domination Description,특수 넉백 카일리 부메랑을 더 자주 던지며 추가 피해를 많이 줍니다.
,
Bigger Bombs Description,"폭발 반경이 더 크고 터트리는 힘이 더 높은, 더욱 큰 폭탄을 발사합니다."
