//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Haz clic en
Laser Shock,Choque láser
Laser Cannon,Cañón láser
Hydra Rocket Pods,Cápsulas hidra
Buckshot,Perdigones
Plasma Accelerator,Acelerador de plasma
Rocket Storm,Tormenta de misiles
Bloon Area Denial System,Sistema negador de área para bloons
Ray of Doom,Rayo de la perdición
M.A.D,D. A. M.
Bloon Exclusion Zone,Zona de exclusión de bloons
,
Guided Magic,Magia guiada
Fireball,Bola de fuego
Intense Magic,Magia intensa
Arcane Blast,Estallido arcano
Wall of Fire,Pared de fuego
Monkey Sense,Sentido moneril
Arcane Mastery,Maestría arcana
Dragon's Breath,Aliento de dragón
Shimmer,Centelleo
Arcane Spike,Clavo arcano
Summon Phoenix,Invocación de fénix
Necromancer: Unpopped Army,Nigromante: el ejército sin reventar
Archmage,Archimago
Wizard Lord Phoenix,Amo hechicero fénix
Soulbind,Príncipe de las Tinieblas
,
Laser Blasts,Estallidos láser
Super Range,Superalcance
Knockback,Retroceso
Plasma Blasts,Estallidos de plasma
Epic Range,Alcance épico
Ultravision,Ultravisión
Sun Avatar,Avatar solar
Robo Monkey,Robomono
Dark Knight,Caballero oscuro
Sun Temple,Templo solar
Tech Terror,Tecnoterror
Dark Champion,Campeón oscuro
True Sun God,Verdadero dios del sol
The Anti-Bloon,El antibloon
Legend of the Night,Leyenda de la noche
,
Ninja Discipline,Disciplina ninja
Distraction,Distracción
Seeking Shuriken,Shuriken rastreadores
Sharp Shurikens,Shuriken afilados
Counter-Espionage,Contraespionaje
Caltrops,Miguelitos
Double Shot,Tiro doble
Shinobi Tactics,Tácticas shinobi
Flash Bomb,Bomba cegadora
Bloonjitsu,Bloonjitsu
Bloon Sabotage,Sabotaje bloon
Sticky Bomb,Bomba pegajosa
Grandmaster Ninja,Gran maestro ninja
Grand Saboteur,Gran saboteador
Master Bomber,Maestro bombardero
,
Larger Potions,Pociones mayores
Stronger Acid,Ácido intenso
Acid Pool,Charco de ácido
Acidic Mixture Dip,Mezcla acídica
Perishing Potions,Pociones perecederas
Alchemist Faster Throwing,Lanzamiento acelerado
Berserker Brew,Brebaje vesánico
Unstable Concoction,Infusión inestable
Lead to Gold,Plomo en oro
Stronger Stimulant,Estimulante intenso
Transforming Tonic,Tónico transformante
Rubber to Gold,Goma en oro
Permanent Brew,Brebaje permanente
Total Transformation,Transformación total
Bloon Master Alchemist,Alquimista amo de los bloons
,
Hard Thorns,Espinas duras
Thorn Swarm,Enjambre de espinas
Druidic Reach,Alcance druida
Heart of Thunder,Corazón de trueno
Heart of Oak,Corazón de roble
Heart of Vengeance,Corazón de venganza
Druid of the Storm,Druida de la tormenta
Druid of the Jungle,Druida de la selva
Druid of Wrath,Druida de la furia
Ball Lightning,Esfera de rayo
Jungle's Bounty,La abundancia de la selva
Poplust,Ansia reventadora
Superstorm,Supertormenta
Spirit of the Forest,Espíritu del bosque
Avatar of Wrath,Avatar de furia
,
Increased Production,Producción aumentada
Long Life Bananas,Bananas longevas
EZ Collect,Colectafácil
Greater Production,Producción mayor
Valuable Bananas,Bananas valiosas
Banana Salvage,Rescate de bananas
Banana Plantation,Plantación
Monkey Bank,Banco moneril
Marketplace,Mercado
Banana Research Facility,Centro de estudios bananeros
IMF loan,Préstamo del FMI
Central Market,Mercado central
Banana Central,Central bananera
Monkey-Nomics,Ecomonía
Monkey Wall Street,Wall Street moneril
,
Sentry Gun,Arma centinela
Larger Service Area,Área de servicio mayor
Oversize Nails,Clavos enormes
Faster Engineering,Ingeniería acelerada
Deconstruction,Deconstrucción
Pin,Pin
Sprockets,Piñones
Cleansing Foam,Espuma limpiadora
Double Gun,Arma doble
Sentry Expert,Centinela experto
Overclock,Sobreaceleración
Bloon Trap,Trampa para bloons
Sentry Paragon,Campeón centinela
Ultraboost,Ultraincremento
XXXL Trap,Trampa XXXL
,
Bigger Stacks,Montones mayores
Faster Production,Producción acelerada
Long Reach,Largo alcance
White Hot Spikes,Clavos al rojo blanco
Even Faster Production,Producción rapidísima
Smart Spikes,Clavos inteligentes
Spiked Balls,Bolas claveteadas
MOAB SHREDR,TrituraMOAB
Long Life Spikes,Clavos longevos
Spiked Mines,Minas claveteadas
Spike Storm,Tormenta de clavos
Deadly Spikes,Clavos letales
Super Mines,Superminas
Carpet of Spikes,Alfombra de clavos
Perma-Spike,Permaclavo
,
Military Efficiency,Eficiencia militar
Magic Sciences,Ciencias mágicas
Private Tuition,Clases privadas
Wider Influence,Mayor influencia
Academic Network,Red académica
Heroic Presence,Presencia heroica
M.A.S.H,Hospital militar
Wizards Library,Librería arcana
Heroic Academy,Academia heroica
Military Barracks,Cuartel militar
Magic Arcanum,Arcanum mágico
Power Hero Development (PhD),Doctorado en poderes heroicos
Military HQ,Cuartel general militar
Nexus Crucible,Crisol nexus
Dynamic Duo,Dúo dinámico
,
Bigger Radius,Radio mayor
Grow Blocker,Bloqueador de regeneración
Monkey Business,Negocios moneriles
Jungle Drums,Tambores de la selva
Radar Scanner,Escáner radar
Monkey Commerce,Comercio moneril
Primary Training,Entrenamiento primario
Monkey Intelligence Bureau,Agencia de inteligencia moneril
Monkey Town,Pueblo moneril
Primary Mentoring,Mentor primario
Call to Arms,Llamamiento a las armas
Monkey City,Ciudad moneril
Primary Expertise,Experiencia primaria
Homeland Defense,Defensa nacional
Monkeyopolis,Monópolis
,
//Power names,
SuperMonkeyStorm,Tormenta de supermonos
MonkeyBoost,Potenciador moneril
Thrive,Prosperidad
DartTime,Detención de tiempo
CashDrop,Entrega de dinero
BananaFarmer,Bananero
PortableLake,Lago portátil
Pontoon,Pontón
RoadSpikes,Abrojos
MoabMine,Mina de MOAB
CamoTrap,Camutrampa
GlueTrap,Pegatrampa
,
//Power descriptions,
SuperMonkeyStorm Description,Es un pájaro. Es un avión. Es un escuadrón de monos voladores superpoderosos con rayos láser que destruyen todos los bloons que hay en pantalla y causan daños graves a los bloons clase MOAB.
MonkeyBoost Description,¡Subámoslo a 11! Todas las torres atacan el doble de rápido durante {0} segundos.
Thrive Description,Aumenta la producción de dinero de todas las torres y los estallidos de bloons en un {0} % durante el resto de la ronda y toda la ronda siguiente.
DartTime Description,"Si en algún momento todo va demasiado rápido, usa Detención de tiempo para frenar todas las acciones durante un tiempo corto y concentrarte en administrar a los monos."
CashDrop Description,"¿Necesitas dinero rápido? Haz que el comando mono derribe uno de estos cuanto antes, están llenos de dinero."
BananaFarmer Description,"¿Te cansas de recolectar todas esas bananas? Este tipo también, pero al menos a él le pagan. El bananero recolectará todas las bananas en su radio para que no tengas que hacerlo tú."
PortableLake Description,¿No tienes dónde llevar el barco? Los monos listos saben que pueden colocar un lago portátil en tierra para que cualquier unidad acuática se despliegue en sus aguas.
Pontoon Description,Sitúa casi cualquier torre terrestre sobre el agua con el pontón. Colócalo y ubica la torre terrestre sobre él.
RoadSpikes Description,Un montón de abrojos listos para que los coloques donde más los necesites.
MoabMine Description,Una mina poderosa que detecta la presencia de bloons clase MOAB y explota para causar muchísimo daño.
CamoTrap Description,La cumbre de la ingeniería moneril. Esta trampa le quita el camuflaje a los primeros {0} bloons que toca.
GlueTrap Description,Esta trampa pegajosa desacelerará a los primeros {0} bloons que le pasen por encima antes de desaparecer.
,
//Upgrade Descriptions,
Sharp Shots Description,Puede reventar 1 bloon más por disparo.
Quick Shots Description,Dispara un 15 % más rápido.
Long Range Darts Description,Hace que el mono dardero dispare más lejos de lo normal.
Razor Sharp Shots Description,Puede reventar 2 bloons más por disparo.
Very Quick Shots Description,¡Dispara un 33 % más rápido!
Enhanced Eyesight Description,Dispara aún más lejos y puede detectar camufloons.
Spike-o-pult Description,"Convierte al mono dardero en una clavopulta que lanza una bola claveteada grande en vez de dardos. Tiene buen alcance, pero la velocidad de ataque es más lenta. Cada bola revienta muchísimos bloons y rebota en los obstáculos."
Triple Shot Description,Lanza 3 dardos al mismo tiempo en vez de 1.
Crossbow Description,Usa una ballesta de largo alcance capaz de reventar 3 capas de bloons en cada impacto.
Juggernaut Description,Lanza una bola claveteada gigante que revienta bloons emplomados y es ideal para destruir bloons cerámicos.
Super Monkey Fan Club Description,Habilidad del club de fans del supermono: convierte a hasta 10 monos darderos incluido él mismo en supermonos durante 15 segundos. También aumenta la velocidad de ataque regular.
Sharp Shooter Description,Tl tirador afilado ejecuta ataca más rápido y ejecuta críticos que hacen mucho más daño cada varios disparos.
Ultra-Juggernaut Description,La bola claveteada gigante se divide dos veces y forma 6 bolas leviatanes que tienen aún más poder destructivo.
Plasma Monkey Fan Club Description,Una membresía de élite de este club otorga aún más potencia a los monos darderos.
Crossbow Master Description,El amo ballestero dispara muy rápido y aniquila a la mayoría de tipos de bloons con facilidad.
,
Improved Rangs Description,Puede reventar hasta 8 bloons por tiro.
Faster Throwing Description,Arroja búmeran más rápido.
Long Range Rangs Description,Puede lanzar bumeranes más lejos de lo normal.
Glaives Description,Lanza gujas (que son más rápidas y afiladas) en vez de bumeranes.
Faster Rangs Description,Los búmeran se disparan y vuelan más rápido.
Red Hot Rangs Description,Los búmeran ahora revientan bloons congelados y emplomados y hacen más daño a todos.
Glaive Ricochet Description,Las gujas rebotan de bloon en bloon de forma automática y agresiva.
Bionc Boomerang Description,Reemplaza el brazo con uno biónico fuerte que puede lanzar bumeranes extremadamente rápido y hacer más daño a los Bloons clase MOAB.
Kylie Boomerang Description,Arroja bumeranes Kylie pesados que trazan un trayecto recto en vez de curvo.
M.O.A.R Glaives Description,Rebote Avanzado de Objetos Múltiples mejora muchísimo los poderes ya extraordinarios del mono con rebote de gujas.
Turbo Charge Description,Habilidad Turbocarga: hace que este mono ataque increíblemente rápido durante 10 segundos.
MOAB Press Description,El pesado búmeran Kylie golpea a los bloons clase MOAB varias veces por tiro y a veces los hace retroceder un poco en el camino.
Glaive Lord Description,El señor de las gujas se rodea de 3 gujas especiales que trituran todo lo que se les acerca. Ahora destroza a los bloons clase MOAB despacio y desde adentro.
Perma Charge Description,La permacarga tiene una velocidad de ataque superrápida permanente. La habilidad aumenta aún más la letalidad.
MOAB Domination Description,Los Kylies especiales que causan retroceso se disparan más seguido y hacen muchísimo más daño.
,
Bigger Bombs Description,Dispara bombas más grandes que tienen un área de estallido más grande y más potencia reventadora.
Faster Reload Description,Se recarga más rápido.
Extra Range Description,Aumenta el alcance de ataque.
Heavy Bombs Description,Las bombas de alto impacto destruyen 2 capas a la vez y revientan más bloons.
Missile Launcher Description,"Cambia bombas por misiles, que se disparan y vuelan más rápido y aumentan el alcance."
Frag Bombs Description,"Las explosiones despiden fragmentos filosos que revientan más bloons, incluidos los bloons negros."
Really Big Bombs Description,Bombas enormes hacen daño en un área grande y permiten que las de fragmentación revienten más Bloons.
MOAB Mauler Description,Los golpeadores de MOAB hacen mucho más daño a los bloons clase MOAB y a los cerámicos.
Cluster Bombs Description,Arroja bombas secundarias en vez de fragmentos filosos con cada disparo.
Bloon Impact Description,Las explosiones se vuelven tan violentas que aturden a los Bloons por poco tiempo cuando impactan. Se aumenta el alcance y las Bombas de Fragmentación son aún más efectivas.
MOAB Assassin Description,Habilidad Asesino de MOAB: un misil especial hace un daño tremendo a los bloons clase MOAB. También aumentan el alcance de ataque regular y el daño a la clase MOAB.
Recursive Cluster Description,Cada segundo tiro las bombas de racimo sueltan más bombas de racimo y causan aún más destrucción.
Bloon Crush Description,Las explosiones destructoras de bloons hacen un daño enorme y pueden aturdir a los bloons clase MOAB.
MOAB Eliminator Description,Mucho daño a los MOAB y la habilidad Asesino hace daño x6 con un tiempo de recuperación corto.
Bomb Blitz Description,"Hace mucho más daño y adquiere la habilidad pasiva Tormenta de bombas, que se activa de forma automática cuando se pierden vidas y destruye a todos los bloons menos el más grande."
,
Faster Shooting Description,Dispara tachuelas más rápido.
Long Range Tacks Description,Las tachuelas vuelan más lejos de lo normal.
More Tacks Description,Dispara 10 tachuelas en vez de 8 y aumenta el daño de Anillo de fuego.
Even Faster Shooting Description,Dispara tachuelas aún más rápido.
Super Range Tacks Description,Las tachuelas tienen más alcance aún para reventar más Bloons.
Even More Tacks Description,Dispara 12 tachuelas por tiro y aumenta más el daño de Anillo de fuego.
Hot Shots Description,Dispara tachuelas supercalientes que hacen daño extra y revientan Bloons Emplomados.
Blade Shooter Description,Cambia tachuelas por cuchillas filosas que revientan hasta 5 Bloons adicionales.
Tack Sprayer Description,Esparce 16 tachuelas por volea.
Ring of Fire Description,Daña mucho más bloons con un anillo de llamas letal en vez de tachuelas.
Blade Maelstrom Description,Habilidad vorágine de cuchillas: cubre el área con una tormenta de cuchillas.
Overdrive Description,Dispara rapidísimo.
Inferno Ring Description,Unas llamas infernales calcinan a los bloons.
Super Maelstrom Description,La habilidad vorágine es aún más poderosa y dura más tiempo.
The Tack Zone Description,"Muchas, muchas tachuelas."
