//Input. Needs to be first e.g [I] replaced by click or tap,
Click,انقر
Improved Rangs,خشبات مرتدة متطورة
Faster Throwing,سرعة الرمي
Long Range Rangs,خشبات مرتدة بعيدة المدى
Glaives,قواطع حادة
Faster Rangs,خشبات مرتدة أسرع
Red Hot Rangs,ريد هات رانجز
Glaive Ricochet,جلايف ريكوشيت
Bionc Boomerang,بيونيك بوميرانج
Kylie Boomerang,كايلي بوميرانج
M.O.A.R Glaives,موور جلايفيز
Turbo Charge,تيربو تشارج
MOAB Press,ضغط موب
Glaive Lord,سيد الجلايف
Perma Charge,بيرما تشارج
MOAB Domination,سيطرة موب
,
Bigger Bombs,بيجر بومز
Faster Reload,إعادة تحميل أسرع
Extra Range,مدى إضافي
Heavy Bombs,قنابل ثقيلة
Missile Launcher,قاذفة الصواريخ
Frag Bombs,قنابل متشظية
Really Big Bombs,قنابل كبيرة حقًا
MOAB Mauler,"صاروخ المطرقة لمنطاد ""موآب"""
Cluster Bombs,قنابل عنقودية
Bloon Impact,تأثير البالونات
MOAB Assassin,قاتل موآب المأجور
Recursive Cluster,الكتلة المتكررة
Bloon Crush,تحطيم البالونات
MOAB Eliminator,"مزيل منطاد ""موآب"""
Bomb Blitz,قنبلة مداهمات
,
Faster Shooting,إطلاق بسرعة أكبر
Long Range Tacks,تصويبات طويلة المدى
More Tacks,مزيد من المسامير
Even Faster Shooting,إطلاق بسرعة أكبر
Super Range Tacks,مسامير فائقة المدى
Even More Tacks,مزيد من المسامير
Hot Shots,طلقات قاتلة
Blade Shooter,قاذف الشفرات
Tack Sprayer,قاذف المسامير
Ring of Fire,الحزام الناري
Blade Maelstrom,دوامة الشفرات
Overdrive,أوفردرايف
Inferno Ring,حلقة الجحيم
Super Maelstrom,الدوامة الفائقة
The Tack Zone,منطقة المسامير
,
Permafrost,تجميد دائم
Enhanced Freeze,تجميد مُحسَن
Larger Radius,نصف قطر أكبر
Metal Freeze,فرقعة باردة
Deep Freeze,تجميد عميق
Re-Freeze,إعادة تجميد
Ice Shards,شظايا الثلج
Arctic Wind,ريح قطبية شمالية
Cryo Cannon,مدفع كرايو
Embrittlement,قصافة
Snowstorm,عاصفة جليدية
Icicles,تجميد جليدي
Super Brittle,سوبر بريتل
Absolute Zero,أبسلوت زيرو
Icicle Impale,طوق جليدي
,
Glue Soak,جلو سوك
Bigger Globs,بيجر جلوبس
Stickier Glue,غراء أكثر إلصاقًا
Corrosive Glue,غراء آكالة
Glue Splatter,رشاش الغراء
Stronger Glue,غراء أقوى
Bloon Dissolver,مذوِّب البالونات
Glue Hose,خرطوم الغراء
MOAB Glue,الغراء موآب
Bloon Liquefier,مسيِّل البالونات
Glue Strike,ضربة غراء
Relentless Glue,صمغ عنيد
The Bloon Solver,حلَّال مشاكل البالونات
Glue Storm,عاصفة الغراء
Super Glue,الغراء الفائق
,
Full Metal Jacket,سترة معدنية بالكامل
Night Vision Goggles,نظارات الرؤية الليلية
Fast Firing,إطلاق سريع
Large Calibre,عيار كبير
Shrapnel Shot,طلقة متشظية
Even Faster Firing,إطلاق نار أسرع
Deadly Precision,الدقة القاتلة
Bouncing Bullet,رصاصة مرتدة
Semi-Automatic,نصف - آلي
Maim MOAB,"مشوه منطاد ""موآب"""
Supply Drop,تراجع الإمداد
Full Auto Rifle,بندقية آلية كاملة
Cripple MOAB,"إعاقة منطاد ""موآب"""
Elite Sniper,قناص النخبة
Elite Defender,مدافع النخبة
,
Longer Range,مدى أطول
Barbed Darts,السهام الشائكة
Twin Guns,البنادق التوأم
Advanced Intel,مخابرات متقدمة
Heat-tipped Darts,السهام ذات الرؤوس الحرارية
Airburst Darts,سهام أيربيرست
Submerge and Support,الغمر والدعم
Ballistic Missile,صاروخ باليستي
Triple Guns,البنادق الثلاثية
Bloontonium Reactor,مفاعل بلونتونيوم
First Strike Capability,القدرة على الضربة الأولى
Armor Piercing Darts,سهام خارقة للدروع
Energizer,مُنشط
Pre-emptive Strike,غارة استباقية
Sub Commander,قائد الغواصة
,
Buccaneer-Faster Shooting,إطلاق بسرعة أكبر
Buccaneer-Grape Shot,طلقة عنقودية
Buccaneer-Long Range,رماية بعيدة المدى
Buccaneer-Double Shot,طلقة مزدوجة
Buccaneer-Hot Shot,طلقة ساخنة
Buccaneer-Crow's Nest,عش الغراب
Buccaneer-Destroyer,المدمرة
Buccaneer-Cannon Ship,سفينة مدفع
Buccaneer-Merchantman,تاجر
Buccaneer-Aircraft Carrier,حاملة طائرات
Buccaneer-Monkey Pirates,القراصنة القرود
Buccaneer-Favored Trades,التداولات المفضلة
Buccaneer-Carrier Flagship,سفينة القيادة الرئيسية
Buccaneer-Pirate Lord,سيد القراصنة
Buccaneer-Trade Empire,إمبراطورية التجارة
,
Rapid Fire,نيران سريعة
Exploding Pineapple,تفجير الأناناس
Sharper Darts,أسهم أكثر حدة
Lots More Darts,مزيد من السهام
Spy Plane,طائرة تجسس
Centered Path,مسار مركزي
Fighter Plane,طائرة مقاتلة
Bomber Ace,طائرة قاذفة قنابل
Neva-Miss Targeting,لا تخطئ التصويب مطلقًا
Operation: Dart Storm,العملية: عاصفة الأسهم
Ground Zero,النقطة صفر
Spectre,شبح/ طيف
Sky Shredder,مفرمة السماء
Tsar Bomba,قنبلة القيصر
Flying Fortress,الحصن الطائر
,
Quad Darts,سهام رباعية
Bigger Jets,طائرات نفاثة أكبر
Faster Firing,إطلاق نار أسرع
Pursuit,ملاحقة
IFR,أي إف آر
Faster Darts,أسهم أسرع
Razor Rotors,دوارات حلاقة
Downdraft,داوندرافت
MOAB Shove,موآب شوف
Apache Dartship,سفينة أسهم آباتشي
Support Chinook,دعم شينوك
Comanche Defense,دفاع كومانتش
Apache Prime,اباتشي برايم
Special Poperations,عمليات فرقعة خاصة
Comanche Commander,قائد الكومانشي
,
Bigger Blast,انفجار أكبر
Mortar Faster Reload,إعادة تحميل أسرع
Increased Accuracy,زيادة الدقة
Bloon Buster,محطم البالونات
Mortar Rapid Reload,إعادة تحميل سريع
Burny Stuff,أشياء حارقة
Shockwave,قذائف صادمة
Heavy Shells,قذائف ثقيلة
Signal Flare,إشارة مضيئة
The Big One,الكبرى
Artillery Battery,بطارية مدفعية
Shattering Shells,قذائف متشظية
The Biggest One,أضخم واحدة
Pop and Awe,الفرقعة والروعة
Blooncineration,محرقة البالونات
,
Focused Firing,اطلاق نيران مركزة
Advanced Targeting,رماية متقدمة
Powerful Darts,سهام قوية
Faster Swivel,دوران أسرع
Faster Barrel Spin,دوران مواسير أسرع
Depleted Bloontonium,بلونتونيوم ناضب
Laser Shock,صدمة ليزرية
Laser Cannon,مدفع ليزر
Hydra Rocket Pods,حاضنات صواريخ هيدرولكية
Buckshot,رصاص
Plasma Accelerator,جهاز تسريع البلازما
Rocket Storm,عاصفة الصواريخ
Bloon Area Denial System,نظام منع دخول منطقة البالونات
Ray of Doom,شعاع الموت
M.A.D,"مدمرة ""موآب"" المضمونة"
Bloon Exclusion Zone,منطقة إبعاد البالونات
,
Guided Magic,السحر الموجه
Fireball,كرة نارية
Intense Magic,سحر قوي
Arcane Blast,انفجار غامض
Wall of Fire,جدار ناري
Monkey Sense,حس القرود
Arcane Mastery,الإتقان الغامض
Dragon's Breath,نفس التنين
Shimmer,وميض
Arcane Spike,أركان سبايك
Summon Phoenix,استدعاء طائر الفينيق
Necromancer: Unpopped Army,مستحضر الأرواح: جيش بالونات غير مفرقعة
Archmage,الساحر القوي
Wizard Lord Phoenix,طائر فينيق سيد العرافين
Soulbind,أمير الظلام
,
Laser Blasts,انفجارات ليزر
Super Range,رماية فائقة
Knockback,رجوع البالونات للمدخل
Plasma Blasts,انفجارات البلازما
Epic Range,رماية ملحمية
Ultravision,ألترا فيجن
Sun Avatar,أفاتار الشمس
Robo Monkey,القرد الآلي
Dark Knight,فارس الظلام
Sun Temple,معبد الشمس
Tech Terror,تيك تيرور
Dark Champion,بطل الظلام
True Sun God,إله الشمس الحقيقي
The Anti-Bloon,عدو البالونات
Legend of the Night,أسطورة الليل
,
Ninja Discipline,انضباط النينجا
Distraction,إلهاء
Seeking Shuriken,طلب الحصول على شوريكن
Sharp Shurikens,شوريكنز حادة
Counter-Espionage,مكافحة الجاسوسية
Caltrops,كالتروبس
Double Shot,طلقة مزدوجة
Shinobi Tactics,تكتيكات شينوبي
Flash Bomb,القنبلة الوامضة
Bloonjitsu,بلونجيتسو
Bloon Sabotage,تخريب البالون
Sticky Bomb,قنبلة لاصقة
Grandmaster Ninja,معلم النينجا الكبير
