//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Tıkla
Corrosive Glue,Aşındırıcı Yapışkan
Glue Splatter,Yapışkan Sıçratıcı
Stronger Glue,Daha Güçlü Yapışkan
Bloon Dissolver,Bloon Çözücü
Glue Hose,Yapışkan Hortumu
MOAB Glue,MOAB Yapışkanı
Bloon Liquefier,Bloon Sıvılaştırıcı
Glue Strike,Yapışkanlı Saldırı
Relentless Glue,Durmayan Yapışkan
The Bloon Solver,Bloon Çözücü
Glue Storm,Yapışkan Fırtınası
Super Glue,Süper Yapışkan
,
Full Metal Jacket,Metal Zarflı Mermi
Night Vision Goggles,Gece Görüş Gözlüğü
Fast Firing,Hızlı Ateşleme
Large Calibre,Büyük Kalibre
Shrapnel Shot,Şarapnel Atışı
Even Faster Firing,Çok Daha Hızlı Ateşleme
Deadly Precision,Ölümcül Keskinlik
Bouncing Bullet,Seken Mermi
Semi-Automatic,Yarı Otomatik
Maim MOAB,MOAB Hasar Verme
Supply Drop,İkmal Malzemesi Atma
Full Auto Rifle,Tam Otomatik Tüfek
Cripple MOAB,MOAB Felç Etme
Elite Sniper,Elit Nişancı
Elite Defender,Elit Koruyucu
,
Longer Range,Daha Uzun Menzil
Barbed Darts,Dikenli Oklar
Twin Guns,İkiz Tabancalar
Advanced Intel,Geliştirilmiş istihbarat
Heat-tipped Darts,Kızgın Uçlu Oklar
Airburst Darts,havada Patlayan Oklar
Submerge and Support,Suya batma ve Destek
Ballistic Missile,Balistik Füze
Triple Guns,Üçlü Silahlar
Bloontonium Reactor,Bloontoniyum Reaktörü
First Strike Capability,İlk Vuruş Becerisi
Armor Piercing Darts,Zırh Delici Oklar
Energizer,Enerji Verici
Pre-emptive Strike,Önleyici Saldırı
Sub Commander,Denizaltı Komutanı
,
Buccaneer-Faster Shooting,Daha Hızlı Atış
Buccaneer-Grape Shot,Üzüm Atışı
Buccaneer-Long Range,Uzun Menzil
Buccaneer-Double Shot,Çifte Atış
Buccaneer-Hot Shot,Sıcak Atış
Buccaneer-Crow's Nest,Gözcü Yeri
Buccaneer-Destroyer,Yok Edici
Buccaneer-Cannon Ship,Top Gemisi
Buccaneer-Merchantman,Tüccar
Buccaneer-Aircraft Carrier,Uçak Gemisi
Buccaneer-Monkey Pirates,Korsan Maymunlar
Buccaneer-Favored Trades,Ayrıcalıklı Ticaretler
Buccaneer-Carrier Flagship,Taşıyıcı Sancak Gemisi
Buccaneer-Pirate Lord,Korsan Lordu
Buccaneer-Trade Empire,Ticaret İmparatorluğu
,
Rapid Fire,Atış Yağmuru
Exploding Pineapple,Patlayan Ananas
Sharper Darts,Daha Keskin Oklar
Lots More Darts,Çok Daha Fazla Ok
Spy Plane,Casus Uçak
Centered Path,Ortalanmış Yol
Fighter Plane,Avcı Uçağı
Bomber Ace,Bombardıman Birliği
Neva-Miss Targeting,Iskalamayan Hedefleme
Operation: Dart Storm,Operasyon: Ok Fırtınası
Ground Zero,Sıfır Noktası
Spectre,Hayalet
Sky Shredder,Gök Parçalayıcı
Tsar Bomba,Çar Bombası
Flying Fortress,Uçan Kale
,
Quad Darts,Dörtlü Oklar
Bigger Jets,Daha Büyük Jetler
Faster Firing,Hızlıca Ateşleme
Pursuit,Takip
IFR,IFR
Faster Darts,Daha Hızlı Oklar
Razor Rotors,Jilet Pervaneler
Downdraft,Aşağı İtme
MOAB Shove,MOAB İtme
Apache Dartship,Apaçi Ok Uçağı
Support Chinook,Çinok Desteği
Comanche Defense,Komançi Savunması
Apache Prime,Apaçi Öncü Birliği
Special Poperations,Özel Kuvvetler
Comanche Commander,Komançi Komutanı
,
Bigger Blast,Daha Büyük Patlama
Mortar Faster Reload,Daha Hızlı Yükleme
Increased Accuracy,Yüksek İsabet
Bloon Buster,Bloon Avcısı
Mortar Rapid Reload,Hızlı Yükleme
Burny Stuff,Yanıcı Madde
Shockwave,Mermi Şoku
Heavy Shells,Ağır Mermiler
Signal Flare,İşaret Fişeği
The Big One,Büyük Olan
Artillery Battery,Topçu Bataryası
Shattering Shells,Ezici Mermiler
The Biggest One,En Büyüğü
Pop and Awe,Korkut Patlat
Blooncineration,Bloon Yakma
,
Focused Firing,Odaklı Ateşleme
Advanced Targeting,Gelişmiş Hedefleme
Powerful Darts,Güçlü Oklar
Faster Swivel,Daha Hızlı Fırdöndü
Faster Barrel Spin,Daha Hızlı Namlu Dönüşü
Depleted Bloontonium,Seyreltilmiş Bloontonyum
Laser Shock,Lazer Şoku
Laser Cannon,Lazer Top
Hydra Rocket Pods,Hidra Roket Kapsülleri
Buckshot,Saçma
Plasma Accelerator,Plazma Hızlandırıcı
Rocket Storm,Roket Fırtınası
Bloon Area Denial System,Bloon Bölgesini Tutma Sistemi
Ray of Doom,Kıyamet Işını
M.A.D,M.A.D
Bloon Exclusion Zone,Bloon İhraç Bölgesi
,
Guided Magic,Güdümlü Büyü
Fireball,Ateş Topu
Intense Magic,Yoğun Büyü
Arcane Blast,Gizli Patlama
Wall of Fire,Ateş Duvarı
Monkey Sense,Maymun Hissi
Arcane Mastery,Gizli Ustalık
Dragon's Breath,Ejderha Nefesi
Shimmer,Pırıltı
Arcane Spike,Gizli Çivi
Summon Phoenix,Anka Kuşunu Çağırma
Necromancer: Unpopped Army,Büyücü: Patlatılmamış Ordu
Archmage,Usta Büyücü
Wizard Lord Phoenix,Sihir Lordu Anka Kuşu
Soulbind,Karanlıklar Prensi
,
Laser Blasts,Lazer Patlamaları
Super Range,Süper Menzil
Knockback,Şaşırtma
Plasma Blasts,Plazma Patlamaları
Epic Range,Efsanevi Mıntıka
Ultravision,Ultravizyon
Sun Avatar,Güneş Avatarı
Robo Monkey,Robo Maymun
Dark Knight,Karanlık Şövalye
Sun Temple,Güneş Tapınağı
Tech Terror,Teknoloji Dehşeti
Dark Champion,Karanlık Şampiyon
True Sun God,Gerçek Güneş Tanrısı
The Anti-Bloon,Bloonsavar
Legend of the Night,Gecenin Efsanesi
,
Ninja Discipline,Ninja Öğretisi
Distraction,Dikkat Dağıtma
Seeking Shuriken,Avcı Ninja Yıldızı
Sharp Shurikens,Keskin Yıldızlar
Counter-Espionage,Karşı Casusluk
Caltrops,Demir Dikenleri
Double Shot,Çifte Atış
Shinobi Tactics,Ninja Taktikleri
Flash Bomb,Aydınlatıcı Bomba
Bloonjitsu,Bloonjitsu
Bloon Sabotage,Bloon Sabotajı
Sticky Bomb,Yapışkan Bomba
Grandmaster Ninja,Muhteşem Ninja Ustası
Grand Saboteur,Muhteşem Sabotajcı
Master Bomber,Usta Bombacı
,
Larger Potions,Daha Büyük İksirler
Stronger Acid,Daha Kuvvetli Asit
Acid Pool,Asit Havuzu
Acidic Mixture Dip,Asidik Karışım Sosu
Perishing Potions,Dondurucu İksirler
Alchemist Faster Throwing,Daha Hızlı Fırlatma
Berserker Brew,Öfke İçeceği
Unstable Concoction,Değişken Karışım
Lead to Gold,Kurşundan Altına
Stronger Stimulant,Daha Güçlü Etki
Transforming Tonic,Dönüştürücü Tonik
Rubber to Gold,Kauçuktan Altına
Permanent Brew,Kalıcı İçecek
Total Transformation,Komple Dönüşüm
Bloon Master Alchemist,Bloon Usta Simyacısı
,
Hard Thorns,Sert Dikenler
Thorn Swarm,Diken Sürüsü
Druidic Reach,Kutsal Erişim
Heart of Thunder,Yıldırım Merkezi
Heart of Oak,Meşe Merkezi
Heart of Vengeance,İntikam Merkezi
Druid of the Storm,Fırtına Medyumu
Druid of the Jungle,Orman Medyumu
Druid of Wrath,Gazap Medyumu
Ball Lightning,Top Şimşek
Jungle's Bounty,Ormanın Hediyesi
Poplust,Patlatma Arzusu
Superstorm,Süper Fırtına
Spirit of the Forest,Ormanın Ruhu
Avatar of Wrath,Gazap Avatarı
,
Increased Production,Artan Üretim
Long Life Bananas,Uzun Ömürlü Muzlar
EZ Collect,EZ Toplama
Greater Production,Daha Büyük Üretim
Valuable Bananas,Değerli Muzlar
Banana Salvage,Muz Kurtarma
Banana Plantation,Muz Tarlası
Monkey Bank,Maymun Bankası
Marketplace,Pazar
Banana Research Facility,Muz Araştırma Tesisi
IMF loan,IMF kredisi
Central Market,Pazar Merkezi
Banana Central,Muz Merkezi
Monkey-Nomics,Maymun Alışkanlıkları
Monkey Wall Street,Maymun Borsası
,
Sentry Gun,Gözcü Silah
Larger Service Area,Daha Geniş Hizmet Alanı
Oversize Nails,Büyük Çiviler
Faster Engineering,Daha Hızlı Mühendislik
Deconstruction,Yapı Çözüm
Pin,Raptiye
Sprockets,Dişli Çarklar
Cleansing Foam,Temizleyici Köpük
Double Gun,Çift Silah
Sentry Expert,Gözcü Uzmanı
Overclock,Hız Aşırtma
Bloon Trap,Bloon Tuzağı
Sentry Paragon,Gözcü Şampiyon
Ultraboost,Ultra Güçlendirme
XXXL Trap,XXXL Tuzak
,
Bigger Stacks,Daha Büyük Yığınlar
Faster Production,Daha Hızlı Üretim
Long Reach,Uzun Erişim
White Hot Spikes,Akkor Dikenler
Even Faster Production,Daha Da Hızlı Üretim
Smart Spikes,Akıllı Çiviler
Spiked Balls,Çivili Top
MOAB SHREDR,MOAB DİLİMLEME
Long Life Spikes,Uzun Ömürlü Çiviler
Spiked Mines,Dikenli Madenler
Spike Storm,Diken Fırtınası
Deadly Spikes,Ölümcül Çiviler
Super Mines,Süper Mayınlar
Carpet of Spikes,Çivi Halısı
Perma-Spike,Kalıcı Çivi
,
Military Efficiency,Askeri Yeterlilik
Magic Sciences,Büyü Bilimi
Private Tuition,Özel Ders
Wider Influence,Daha Geniş Etki
Academic Network,Akademik Ağ
Heroic Presence,Kahraman Varlığı
M.A.S.H,M.A.S.H.
Wizards Library,Sihirbazlar Kütüphanesi
Heroic Academy,Kahraman Akademisi
Military Barracks,Askeri Kışla
Magic Arcanum,Büyülü İksir
Power Hero Development (PhD),Güçlü Kahraman Geliştirme (PhD)
Military HQ,Askeri Üs
Nexus Crucible,Bağlantı Potası
Dynamic Duo,Dinamik İkili
,
Bigger Radius,Daha Büyük Yarıçap
Grow Blocker,Şişme Önleyici
Monkey Business,Maymun İşi
Jungle Drums,Orman Davulları
Radar Scanner,Radar Tarayıcı
Monkey Commerce,Maymun Alışverişi
Primary Training,Temel Eğitim
Monkey Intelligence Bureau,Maymun İstihbarat Bürosu
Monkey Town,Maymun Kasabası
Primary Mentoring,Temel Danışmanlık
Call to Arms,Orduya Çağrı
Monkey City,Maymun Şehri
Primary Expertise,Temel Uzmanlık
Homeland Defense,Yurt Savunması
Monkeyopolis,Maymunopolis
,
//Power names,
SuperMonkeyStorm,Süper Maymun Fırtınası
MonkeyBoost,Maymun Desteği
Thrive,Başarı
DartTime,Zaman Durdurma
CashDrop,Nakit Düşürme
BananaFarmer,Muz Yetiştiricisi
PortableLake,Taşınabilir Göl
Pontoon,Duba
RoadSpikes,Yol Çivileri
MoabMine,MOAB Mayını
CamoTrap,Kamuflajlı Tuzağı
GlueTrap,Yapışkan Tuzağı
,
//Power descriptions,
SuperMonkeyStorm Description,Bu bir kuş. Bu bir uçak. Ekrandaki her bir bloon’u yok eden ve MOAB sınıfı bloon’lara ağır hasar veren süper güçlü lazer ışınlı uçan maymun birliğidir.
MonkeyBoost Description,Haydi ateşleyelim! Tüm atıcıların saldırıları {0} saniye boyunca iki kat hızlıdır.
Thrive Description,Turun geri kalanında ve bir sonraki tur boyunca atıcılarının ve Bloon patlatmalarının nakit üretimi %{0} artar!
DartTime Description,Her şey çok hızlı hareket ederse hareketi kısa süre için tamamen durdurmak üzere Zaman Durdurmayı kullan böylece maymunlarının yönetimine odaklanabilirsin.
CashDrop Description,Hızlıca nakit yüklemeye mi ihtiyacın var? Nakitle dolu şu kötü çocuklardan birini hemen yakmak için Maymun Komutunu al!
BananaFarmer Description,"Tüm bu muzları kendi başına toplamaktan yoruldun mu? Bu maymun da öyle ama en azından bu işten para kazanıyor. Muz yetiştiricisi kapsadığı yarıçap içindeki tüm muzları otomatik olarak toplar, böylece senin toplamana gerek kalmaz."
PortableLake Description,"Tekneni yüzdürecek hiçbir yer yok mu? Akıllı maymunlar, kara üzerine herhangi bir deniz birliğinin görevlendirilmesine olanak tanıyan Taşınabilir Göl yerleştirebileceğini bilir."
Pontoon Description,"Duba sayesinde neredeyse tüm kara atıcılarını suya yerleştirebilirsin! Tombazı su üzerinde konuşlandır, ardından kara atıcını üzerine yerleştir."
RoadSpikes Description,En çok ihtiyacın olan yere döşenmeye hazır bir yığın Yol Çivisi!
MoabMine Description,MOAB Sınıfı Bloon’ların varlığını tespit eden ve patlayarak bir sürü hasara yol açan güçlü bir mayındır.
CamoTrap Description,En iyisi Maymun Mühendisliğidir bu tuzak dokunduğu ilk {0} Bloon’u Kamuflajlı durumundan çıkarır.
GlueTrap Description,Bu yapışkan tuzak kaybolmadan önce üzerinden geçen ilk {0} Bloon’u yavaşlatır.
,
//Upgrade Descriptions,
Sharp Shots Description,Her atışta ekstra 1 bloon patlatabilir.
Quick Shots Description,%15 daha hızlı fırlatır.
Long Range Darts Description,Okçu Maymun’un normalden daha uzağa atış yapmasını sağlar.
Razor Sharp Shots Description,Her atışta 2 Bloon daha patlatabilir.
Very Quick Shots Description,%33 daha hızlı fırlatır!
Enhanced Eyesight Description,Çok daha uzağa atış yapabilir ve Kamuflajlıları fark edebilir.
Spike-o-pult Description,"Okçu Maymunu, büyük çivili toplar fırlatan, daha yavaş saldıran bir Çivili Top Mancınığına dönüştürür. Her bir top birçok Bloon patlatır ve engellerden seker."
Triple Shot Description,"Tek seferde 1 değil, 3 ok fırlatır."
Crossbow Description,Her vuruşta Bloon’ların 3 katmanını patlatabilen uzun menzilli bir Arbalet kullanır.
Juggernaut Description,"Kurşun olanları patlatan, Seramik ve Güçlendirilmiş Bloon’ları parçalamada usta olan dev bir çivili top fırlatır."
Super Monkey Fan Club Description,"Süper Maymun Hayran Kulübü Yeteneği: Kendisiyle birlikte, yakındaki en fazla 10 Okçu Maymunu 15 saniye boyunca Süper Maymunlara dönüştürür. Normal saldırı hızı da artırıldı."
Sharp Shooter Description,"Keskin Nişancı daha hızlı saldırır ve her birkaç atışta bir, çok daha fazla hasar veren güçlü Kritik Atışlar gerçekleştirir."
Ultra-Juggernaut Description,"Dev çivili top, Seramik ve Güçlendirilmiş Bloon’lara karşı çok daha yıkıcı bir güce sahip 6 Ezici Güç topuna ayrılır."
Plasma Monkey Fan Club Description,Bu kulübün elit üyesi olmak Okçu Maymunlara çok daha fazla güç kazandırır!
Crossbow Master Description,Arbalet Ustası gerçekten hızlı atış yapar ve birçok Bloon türünü kolayca yok eder.
,
Improved Rangs Description,Atış başına 8 Bloon’a kadar patlatabilir.
Faster Throwing Description,Bumerangları daha hızlı fırlatır.
Long Range Rangs Description,Bumerangları normalden daha uzağa fırlatabilir.
Glaives Description,"Bumeranglar yerine, daha keskin, daha hızlı ve daha büyük yıldız bıçaklar fırlatır."
Faster Rangs Description,Bumeranglar atılır ve daha hızlı giderler.
Red Hot Rangs Description,Bumeranglar artık Donmuş ve Kurşun Bloon'ları patlatır ve hepsine daha fazla hasar verir.
Glaive Ricochet Description,Yıldız Bıçaklar otomatik ve saldırgan bir şekilde Bloon’dan Bloon’a seker.
Bionc Boomerang Description,"Kolu, bumerangları son derece hızlı bir şekilde fırlatabilen güçlü bir biyonik kol ile değiştirir ve MOAB sınıfı Bloon’lara daha fazla hasar verir."
Kylie Boomerang Description,Kavisli bir yol yerine düz bir yol izleyen ağır Kylie bumeranglar fırlatır.
M.O.A.R Glaives Description,"Birden Fazla Nesneli Gelişmiş Sekme, Yıldız Bıçak Sekmeli Maymunun zaten olağanüstü olan güçlerini bir hayli geliştirir."
Turbo Charge Description,Turbo Yük yeteneği: Bu Maymunun saldırısını 10 saniye boyunca inanılmaz hızlı hale getirir.
MOAB Press Description,"Ağır Kylie bumerang, MOAB Sınıfı Bloon’ları atış başına birden fazla kez vurur ve bazen onları daha yolun başında patlatır."
Glaive Lord Description,Yıldız Bıçak Lordunun çevresinde yakına gelen her şeyi parçalayan 3 özel yıldız bıçak bulunur. Yıldız Bıçak Lordunun yıldız bıçakları artık MOAB Sınıfı Bloon’ları içeriden yavaşça parçalayarak yarıp geçiyor.
Perma Charge Description,"Kalıcı Yükün kalıcı, süper hızlı saldırı hızı vardır. Bu yetenek öldürücülüğü çok daha fazla artırır."
MOAB Domination Description,Özel Şaşırtma kylie bumerangları çok daha sık tetiklenir ve ekstra bir sürü hasar verir.
,
Bigger Bombs Description,"Daha büyük bombalar fırlatır, daha geniş bir patlama alanına ve daha fazla patlatma gücüne sahiptir."
Faster Reload Description,Daha hızlı yükler.
Extra Range Description,Saldırı menzili artar.
Heavy Bombs Description,Dayanıklı bombalar Bloon’ların tek seferde 2 katmanını parçalayabilir ve daha fazla Bloon patlatabilir.
Missile Launcher Description,"Bombaları füzelerle değiştirir; bombalar daha hızlı ateşlenir, daha hızlı uçar ve menzili artırır."
Frag Bombs Description,"Patlamalar, Siyah Bloon’lar dahil daha fazla Bloon’u patlatabilen keskin parçalar fırlatır."
Really Big Bombs Description,Büyük bombalar geniş bir alana daha fazla hasar verir ve Bomba Parçalarının daha fazla Bloon patlatmasına olanak tanır.
MOAB Mauler Description,"MOAB Hırpalayıcılar, MOAB Sınıfı Bloon’lara çok daha fazla hasar verir."
Cluster Bombs Description,Her atışta keskin parçalar yerine ikincil bombalar fırlatır.
Bloon Impact Description,"Patlamalar öyle şiddetlenir ki, vurulan Bloon’lar kısa süreliğine sersemler. Menzil artar ve bomba parçaları daha da etkili hale gelir."
MOAB Assassin Description,Suikast MOAB Yeteneği: Özel füze uçar ve MOAB sınıfı Bloon’lara toplu hasar verir. Normal saldırı menzili ve MOAB sınıfı hasar da artırıldı.
Recursive Cluster Description,Misket bombaları her saniye atıldığında çok daha fazla yıkım için daha fazla misket bombası gönderir.
Bloon Crush Description,Ezici Bloon patlamaları ağır hasar verir ve MOAB Sınıfı Bloon’ları sersemletebilir.
MOAB Eliminator Description,MOAB’lara toplu hasar ve Suikast yeteneği kısa bir gecikme süresiyle 6 kat hasar verir.
Bomb Blitz Description,"Çok daha fazla hasar verir ve pasif Bomba Fırtınası Yeteneği kazanır; canlar kaybedildiğinde, Bomba Fırtınası otomatik olarak tetiklenerek Bloon’ların neredeyse en büyük olanını yok eder."
,
Faster Shooting Description,Çivileri daha hızlı fırlatır.
Long Range Tacks Description,Çiviler normalden daha uzağa gider.
More Tacks Description,8 yerine 10 çivi fırlatır ve Ateş Halkası hasarını artırır.
