//Input. Needs to be first e.g [I] replaced by click or tap,
Click,點擊
Monkey Wall Street,猴子華爾街
,
Sentry Gun,哨兵槍
Larger Service Area,更大服務區域
Oversize Nails,超大釘子
Faster Engineering,更快施工
Deconstruction,解構
Pin,大頭針
Sprockets,鏈輪
Cleansing Foam,清潔泡沫
Double Gun,雙槍
Sentry Expert,岗哨專家
Overclock,超頻
Bloon Trap,氣球陷阱
Sentry Paragon,哨兵冠軍
Ultraboost,超級增強
XXXL Trap,XXXL陷阱
,
Bigger Stacks,更大堆疊
Faster Production,更快生產
Long Reach,伸向遠方
White Hot Spikes,白熱針刺
Even Faster Production,還要更快的生產
Smart Spikes,聰明針刺
Spiked Balls,刺球
MOAB SHREDR,MOAB粉碎者
Long Life Spikes,長壽針刺
Spiked Mines,帶刺地雷
Spike Storm,針刺風暴
Deadly Spikes,死亡針刺
Super Mines,超級地雷
Carpet of Spikes,針刺地毯
Perma-Spike,永久針刺
,
Military Efficiency,軍事效率
Magic Sciences,魔法科學
Private Tuition,私人學費
Wider Influence,更廣泛影響
Academic Network,學術網路
Heroic Presence,英雄風采
M.A.S.H,M.A.S.H.
Wizards Library,法師圖書館
Heroic Academy,英雄風采
Military Barracks,軍營
Magic Arcanum,魔法奧秘
Power Hero Development (PhD),強力英雄開發 (PhD)
Military HQ,軍事總部
Nexus Crucible,聯結熔炉
Dynamic Duo,活力二人組
,
Bigger Radius,更大半徑
Grow Blocker,生長阻滯劑
Monkey Business,猴子胡鬧
Jungle Drums,叢林鼓
Radar Scanner,雷達掃描器
Monkey Commerce,猴子商務
Primary Training,初級訓練
Monkey Intelligence Bureau,猴子情報局
Monkey Town,猴鎮
Primary Mentoring,初級指導
Call to Arms,集結號
Monkey City,猴城
Primary Expertise,初級專長
Homeland Defense,國土防禦
Monkeyopolis,猴大都會
,
//Power names,
SuperMonkeyStorm,超猴風暴
MonkeyBoost,猴子加強
Thrive,茁壯成長
DartTime,時間停止
CashDrop,搖錢樹
BananaFarmer,蕉農
PortableLake,可擕式湖泊
Pontoon,浮橋
RoadSpikes,路刺
MoabMine,MOAB地雷
CamoTrap,偽裝陷阱
GlueTrap,粘膠陷阱
,
//Power descriptions,
SuperMonkeyStorm Description,是隻鳥。是架飛機。是鐳射猴飛行中隊，他們會摧毀螢幕上每一個氣球，並對MOAB級氣球造成很大傷害。
MonkeyBoost Description,我們把它調高到11！所有塔攻擊速度翻倍，持續{0}秒。
Thrive Description,在本回合剩餘時間及整個下一回合，擊破氣球和所有塔生成的錢增加{0}%！
DartTime Description,如果感到手忙腳亂，使用「時間暫停」，來短暫停止所有操作，以便你可以專注於管理你的猴子。
CashDrop Description,想不想讓現金來得快些？指揮猴子把裝滿現金的壞傢伙們打掉，越快越好！
BananaFarmer Description,厭倦了自己撿那些香蕉嗎？這傢伙也不喜歡，但至少他有工資可領。農民能幫你自動收集半徑內所有香蕉。
PortableLake Description,你的船無處可漂？聰明的猴子知道可以在陸地上放置一個可擕式湖泊，這樣任何水上單位便可以在湖內部署了。
Pontoon Description,可以用浮橋把幾乎任意陸地塔都放在水上！將浮橋部署在水面上，然後將你的陸地塔放在上面。
RoadSpikes Description,已準備好一大堆路刺，隨時可放在你最需要它們的地方！
MoabMine Description,一個強大的地雷，可以檢測MOAB級氣球的存在並爆炸，造成很大傷害。
CamoTrap Description,最佳猴子工程學的結晶，這個陷阱會將接觸到的前{0}個氣球的偽裝去除。
GlueTrap Description,這種粘性陷阱在消失之前，會減慢路過的前{0}個氣球的速度。
,
//Upgrade Descriptions,
Sharp Shots Description,每次射擊可額外擊破1個氣球。
Quick Shots Description,射擊速度增加15%。
Long Range Darts Description,讓飛鏢猴子的射擊距離更遠。
Razor Sharp Shots Description,每次射擊可額外擊破2個氣球。
Very Quick Shots Description,射擊速度增加33%！
Enhanced Eyesight Description,射得還要更遠，還可檢測到偽裝氣球。
Spike-o-pult Description,將飛鏢猴子轉換為針刺投石機，不再投擲飛鏢，而是大刺球。射程不錯，但射速較低。每球都能擊破大量的氣球。
Triple Shot Description,一次扔3支飛鏢，而不是1支。
Crossbow Description,使用長射程弩車，每次攻擊擊破三層氣球。
Juggernaut Description,投擲巨大刺球，能擊破鉛氣球，對陶瓷氣球極具破壞力。
Super Monkey Fan Club Description,超猴粉絲團技能：最多可將包括自己在內附近的 10 個飛鏢猴轉換成超級猴，持續 15 秒，並使普通攻擊速度加快。
Sharp Shooter Description,尖銳射手每幾秒射出強大的暴擊，可造成大得多的傷害。
Ultra-Juggernaut Description,巨大刺球兩次分裂，變成6個投石車球，造成還要更大的破壞力。
Plasma Monkey Fan Club Description,粉絲團的精英會員身份，可以給飛鏢猴子還要更大的力量！
Crossbow Master Description,弩車大師射擊速度超快，可輕鬆毀掉大多數類型的氣球。
,
Improved Rangs Description,一次投擲可擊破最多8個氣球。
Faster Throwing Description,加快迴旋鏢的投擲速度。
Long Range Rangs Description,可將迴旋鏢扔的比正常情況下更遠。
Glaives Description,扔出更鋒利，更快的大刀來代替迴旋鏢。
Faster Rangs Description,加快迴旋鏢的發射和飛行速度。
Red Hot Rangs Description,迴旋鏢現在可以擊破凍結氣球與鉛氣球，並且對所有氣球造成更多損壞。
Glaive Ricochet Description,大刀可在氣球間自動兇猛彈跳。
Bionc Boomerang Description,用強大的仿生手臂替代手臂，極快地拋出迴旋鏢，對MOAB級氣球造成額外傷害。
Kylie Boomerang Description,投擲重型凱莉迴旋鏢，平直飛行，而不是彎曲路線。
M.O.A.R Glaives Description,多對象高級反彈，可讓已經很強大的大刀反彈猴子更上一層樓。
Turbo Charge Description,快速充電技能：讓這隻猴子的攻擊速度極快，持續10秒。
MOAB Press Description,重型凱莉迴旋鏢每次投擲可打擊MOAB級別的氣球多次，有時還會將它們沿路線彈回一小段。
Glaive Lord Description,大刀王四周環繞著3個特別大刀，會將接近的任何東西切成絲。大刀王的大刀突進MOAB級氣球，慢慢地從內部撕裂它們。
Perma Charge Description,永久充電具有永久性的超級攻擊速度。此技能可進一步增加殺傷力。
MOAB Domination Description,凱莉迴旋鏢擊退特效會更頻繁地觸發，並造成大量額外傷害。
,
Bigger Bombs Description,它們的炸彈個頭個大，爆炸區域也更大，同時擁有更大的擊破力量。
Faster Reload Description,裝填速度加快。
Extra Range Description,增加攻擊範圍。
Heavy Bombs Description,重型炸彈可一次擊碎2層氣球，並擊破更多氣球。
Missile Launcher Description,用炸彈交換射速更快、飛行速度更快，並且射程更遠的導彈。
Frag Bombs Description,爆炸扔出鋒利碎片，可擊破更多氣球，其中包括黑氣球。
Really Big Bombs Description,巨型炸彈在大片區域造成大量傷害，並使碎片擊破更多氣球。
MOAB Mauler Description,MOAB重鎚可以對MOAB級氣球造成更多傷害。
Cluster Bombs Description,每次射擊扔出二級炸彈，而不是碎片。
Bloon Impact Description,造成劇烈爆炸，使被擊中的氣球短暫眩暈。攻擊範圍增加，碎片的威力的進一步提升。
MOAB Assassin Description,暗殺MOAB技能：射出特種飛彈，對MOAB級氣球造成巨大傷害，並增加普通攻擊範圍和對MOAB級氣球造成的傷害。
Recursive Cluster Description,每兩次射擊，群集炸彈會射出更多的群集炸彈，造成更多的破壞。
Bloon Crush Description,粉碎氣球的爆炸能造成巨大傷害，並可擊暈MOAB級氣球。
MOAB Eliminator Description,暗殺技能有短暫冷卻時間，可對MOAB級氣球造成6倍的巨大傷害。
Bomb Blitz Description,造成更多傷害，並獲得炸彈風暴被動技能 – 炸彈風暴在失去生命時自動觸發，摧毀除最大氣球外的所有氣球。
,
Faster Shooting Description,射擊釘子的速度更快。
Long Range Tacks Description,釘子比正常情況飛得更遠。
More Tacks Description,射出的釘子從8顆增加到10顆，並使火環造成的傷害增加。
Even Faster Shooting Description,射出釘子的速度更快。
Super Range Tacks Description,進一步增加刺釘射程，可擊破更多氣球。
Even More Tacks Description,每次射出12顆釘子，並使火環造成的傷害進一步增加。
Hot Shots Description,射出超熱刺釘，可對鉛氣球造成額外傷害。
Blade Shooter Description,射出利刃，而非釘刺，可額外擊破最多5個氣球。
Tack Sprayer Description,每梭子可噴出16支釘子。
Ring of Fire Description,射出致死火環，而不是釘子，對更多氣球造成傷害。
Blade Maelstrom Description,刀刃漩渦技能：刀刃風暴覆蓋整個區域。
Overdrive Description,射擊速度超快。
Inferno Ring Description,地獄烈焰把氣球燒成灰燼。
Super Maelstrom Description,更強大的漩渦技能，持續時間更長。
The Tack Zone Description,很多很多的釘子。
,
Permafrost Description,氣球解凍後仍然移動緩慢。
Enhanced Freeze Description,攻擊速度更快，凍結時間更長。
Larger Radius Description,更大凍結區域。
Metal Freeze Description,可以凍結和擊破鉛氣球和僞裝氣球。
Deep Freeze Description,可凍結2層氣球。
Re-Freeze Description,可對已經凍結的氣球再次凍結。
Ice Shards Description,凍結氣球爆掉時飛出剃刀尖銳碎片。
Arctic Wind Description,大幅增加穿透力，並獲得超冷光環，可使靠近的氣球減速和凍結附近的水面。
Cryo Cannon Description,向氣球遠程射出凍結炸彈。
Embrittlement Description,可擊中MOAB級氣球，所有被擊中的氣球會變得脆弱，被凍結時受到額外傷害，並永久失去偽裝特性。
Snowstorm Description,暴風雪技能：凍結螢幕上包括白色氣球、斑馬條紋氣球、偽裝氣球在內的所有普通氣球，並使MOAB級氣球減速。
Icicles Description,被凍結的氣球長出尖銳冰柱，可擊破接觸到的氣球。
Super Brittle Description,氣球被凍結後會受到巨大傷害，對MOAB級氣球有效。
Absolute Zero Description,此技能寒冷異常，可更長時間地凍結包括白色氣球、斑馬條紋氣球、偽裝氣球在內的所有普通氣球，使MOAB級氣球受到的減速持續更久，並在作用時間內大幅加快所有冰猴的攻擊速度。
Icicle Impale Description,射出巨大的冰柱針刺，對MOAB級的氣球造成巨大傷害，並可凍結它們。
,
Glue Soak Description,粘膠滲過氣球的所有層面。
Bigger Globs Description,每次射擊可塗2個氣球。
Stickier Glue Description,使粘膠效果持續時間更長。
Corrosive Glue Description,被粘膠粘住的氣球每秒破掉一層。
Glue Splatter Description,一次射擊可將粘膠潑到6個氣球上。
Stronger Glue Description,讓氣球的速度還要更慢。
Bloon Dissolver Description,極端溶劑，每秒可溶化兩層。
Glue Hose Description,射擊粘膠的速度3x！
MOAB Glue Description,改進粘膠配方，可粘住MOAB級氣球。
Bloon Liquefier Description,每次射擊可粘住一個額外的氣球，並塗上每秒可擊破10個氣球的液化混合物。
Glue Strike Description,粘膠打擊技能：短時間內凍結螢幕上所有氣球，並使它們在效果持續時間內受到的所有傷害增加。
Relentless Glue Description,擊破被粘住的氣球，並在路輕上留下一灘粘膠。
The Bloon Solver Description,氣球問題？解決方法在這裏。
Glue Storm Description,粘膠風暴技能可將整個螢幕都塗上粘膠，持續時間15秒。被粘膠粘住的氣球受到額外傷害。
Super Glue Description,粘膠十分強大，可暫時困住所有受影響的氣球！
,
Full Metal Jacket Description,可擊破4層氣球，並且子彈和彈片都可擊破鉛氣球和冰凍氣球。
Night Vision Goggles Description,狙擊手猴能夠偵測偽裝氣球，並且造成2點額外傷害。
Fast Firing Description,比正常情況的射速更快。
Large Calibre Description,射擊可擊破7層氣球。
Shrapnel Shot Description,被摧毀的氣球向所有方向濺出尖銳彈片。
Even Faster Firing Description,射擊的速度還要更快！
Deadly Precision Description,每次射擊輸出20點傷害，外加針對陶瓷氣球的傷害加成。
Bouncing Bullet Description,射擊反彈到新目標，最多可反彈3次。
Semi-Automatic Description,攻擊速度3x！
Maim MOAB Description,造成更多傷害，並在短時間內困住所有MOAB級氣球。
Supply Drop Description,搖錢樹技能：掉下一個裝滿現金的寶箱。普通攻擊也可對鉛氣球造成傷害，並增加彈片的擊破力。
Full Auto Rifle Description,全自動武器，具備難以置信的擊破力。
Cripple MOAB Description,被致殘的MOAB氣球被困住的時間更長，且其他類打擊對它有額外的傷害。
Elite Sniper Description,空投補給帶來了更多的現金。為所有狙擊手賦予精英目標神諭及快速裝填屬性。
Elite Defender Description,失去生命可以使狙擊手短時間内獲得4倍的攻擊速度進行報復，并且可以對MOAB級氣球造成更多傷害。
,
Longer Range Description,增加攻擊範圍。
Barbed Darts Description,潛艇的飛鏢可額外擊破3個氣球。
Twin Guns Description,添加雙槍時攻擊速度翻倍。增強彈道導彈和氣球反應堆。
Advanced Intel Description,允許遠程瞄準在其他塔的半徑範圍之內的氣球。
Heat-tipped Darts Description,熱尖飛鏢可擊破凍結及鉛氣球。
Airburst Darts Description,空爆飛鏢在接觸時分成3個，可獲得巨大的擊破力。進一步增強氣球反應堆。
Submerge and Support Description,增加潛入鎖定目標選項，可在其半徑內永久顯示偽裝氣球，但無法在潛入時進行攻擊。
Ballistic Missile Description,飛彈可在範圍內追蹤目標，並對MOAB氣球和陶瓷氣球有額外傷害。
Triple Guns Description,添加第三把槍，射擊還要更快。
Bloontonium Reactor Description,下潛探測僞裝氣球、擊破氣球，並將水面猴子的技能冷卻時間降低 15％。
First Strike Capability Description,第一擊技能：對螢幕上最大的氣球發出致命的飛彈打擊，並造成濺射傷害。
Armor Piercing Darts Description,特製穿甲飛鏢，傷害和擊破力得到提升，可對MOAB級氣球造成更多傷害。
Energizer Description,所有區域技能冷卻時間減少20％。在其半徑範圍內，英雄獲得經驗的速度提高50％，水面猴子的技能冷卻時間減半。
Pre-emptive Strike Description,MOAB級氣球從氣球入口進入時，自動觸發功能強大的飛彈。
Sub Commander Description,使作用範圍的指揮官和所有潛艇穿透力和造成的傷害額外增加。
,
Buccaneer-Faster Shooting Description,船上的所有武器射速加快。
Buccaneer-Grape Shot Description,給船添加一噴5個鋒利葡萄。
Buccaneer-Long Range Description,射程大幅增加，射彈飛行速度加快。
Buccaneer-Double Shot Description,發射的船艦武器翻倍。
Buccaneer-Hot Shot Description,燃燒熱葡萄射擊可擊破鉛氣球，並點燃氣球。
Buccaneer-Crow's Nest Description,允許船打擊偽裝氣球。
