//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Napsauta
Larger Radius,Laajempi kantama
Metal Freeze,Kylmä napsahdus
Deep Freeze,Syväjäädytys
Re-Freeze,Uudelleenjäädytys
Ice Shards,Jääsirpaleet
Arctic Wind,Arktinen tuuli
Cryo Cannon,Kylmäkanuuna
Embrittlement,Haurastus
Snowstorm,Lumimyrsky
Icicles,Jääpuikot
Super Brittle,Superhaurastus
Absolute Zero,Absoluuttinen nollapiste
Icicle Impale,Jääpuikkoseivästys
,
Glue Soak,Liimaliotus
Bigger Globs,Suuremmat kokkareet
Stickier Glue,Tarttuvampi liima
Corrosive Glue,Syövyttävä liima
Glue Splatter,Liimaroiske
Stronger Glue,Voimakkaampi liima
Bloon Dissolver,Bloonien liuottaja
Glue Hose,Liimaletku
MOAB Glue,MOAB-liima
Bloon Liquefier,Bloonien nesteyttäjä
Glue Strike,Liimaisku
Relentless Glue,Heltymätön liima
The Bloon Solver,Blooniliuotin
Glue Storm,Liimamyrsky
Super Glue,Superliima
,
Full Metal Jacket,Täysmetallivaippa
Night Vision Goggles,Yönäkölasit
Fast Firing,Nopea tulitus
Large Calibre,Suuri kaliiberi
Shrapnel Shot,Sirpaleammus
Even Faster Firing,Vieläkin nopeampi tulitus
Deadly Precision,Tappava tarkkuus
Bouncing Bullet,Kimmahtava luoti
Semi-Automatic,Puoliautomaattinen
Maim MOAB,MOAB-runtelu
Supply Drop,Tarvikepudotus
Full Auto Rifle,Täysautomaattinen kivääri
Cripple MOAB,MOAB-pysäytys
Elite Sniper,Eliittisala-ampuja
Elite Defender,Eliittipuolustaja
,
Longer Range,Pidempi kantama
Barbed Darts,Väkätikat
Twin Guns,Tupla-aseet
Advanced Intel,Lisätiedustelutiedot
Heat-tipped Darts,Kuumakärkiset tikat
Airburst Darts,Ilmaräjähdetikat
Submerge and Support,Sukella ja tue
Ballistic Missile,Ballistinen ohjus
Triple Guns,Kolmoistykit
Bloontonium Reactor,Bloontonium-reaktori
First Strike Capability,Ensi-iskukyky
Armor Piercing Darts,Panssaroinnin lävistävät tikat
Energizer,Energisoija
Pre-emptive Strike,Ennalta ehkäisevä isku
Sub Commander,Sukellusveneen komentaja
,
Buccaneer-Faster Shooting,Nopeampi ampuminen
Buccaneer-Grape Shot,Kartessi
Buccaneer-Long Range,Pitkäkantoinen
Buccaneer-Double Shot,Tuplalaukaus
Buccaneer-Hot Shot,Polttava paukku
Buccaneer-Crow's Nest,Märssykori
Buccaneer-Destroyer,Tuhoaja
Buccaneer-Cannon Ship,Tykkialus
Buccaneer-Merchantman,Kauppias
Buccaneer-Aircraft Carrier,Lentotukialus
Buccaneer-Monkey Pirates,Apinamerirosvot
Buccaneer-Favored Trades,Suosikkikauppatavarat
Buccaneer-Carrier Flagship,Tukialuslippulaiva
Buccaneer-Pirate Lord,Piraattiherra
Buccaneer-Trade Empire,Kauppaimperiumi
,
Rapid Fire,Nopea tulitus
Exploding Pineapple,Räjähtävä ananas
Sharper Darts,Terävämmät tikat
Lots More Darts,Paljon lisää tikkoja
Spy Plane,Vakoilukone
Centered Path,Keskitetty polku
Fighter Plane,Hävittäjälentokone
Bomber Ace,Pommiässä
Neva-Miss Targeting,Napakymppi
Operation: Dart Storm,Operaatio Tikkamyrsky
Ground Zero,Nollapiste
Spectre,Tulituki
Sky Shredder,Taivassilppuri
Tsar Bomba,Tsar-Bomba
Flying Fortress,Lentävä linnoitus
,
Quad Darts,Nelostikat
Bigger Jets,Isommat moottorit
Faster Firing,Nopeampi tulitus
Pursuit,Jahti
IFR,Infrapunatutka
Faster Darts,Nopeammat tikat
Razor Rotors,Teroitetut roottorit
Downdraft,Ilmavirtaus
MOAB Shove,MOAB-työntö
Apache Dartship,Apache-tikka-alus
Support Chinook,Tuki-Chinook
Comanche Defense,Comanche-puolustus
Apache Prime,Apache Prime
Special Poperations,Erityispoksautukset
Comanche Commander,Comanche-komentaja
,
Bigger Blast,Suurempi räjähdys
Mortar Faster Reload,Nopeampi lataus
Increased Accuracy,Parannettu tarkkuus
Bloon Buster,Blooninmurtaja
Mortar Rapid Reload,Nopea lataus
Burny Stuff,Palava aines
Shockwave,Sokkiaalto
Heavy Shells,Raskaat granaatit
Signal Flare,Signaalisoihtu
The Big One,Valtava
Artillery Battery,Tykistöpatteri
Shattering Shells,Murskaavat kranaatit
The Biggest One,Suurin ja mahtavin
Pop and Awe,Poksulamaannutus
Blooncineration,Blooninpoltto
,
Focused Firing,Kohdennettu tulitus
Advanced Targeting,Pitkälle viety kohdennus
Powerful Darts,Voimakkaat tikat
Faster Swivel,Nopeampi kääntö
Faster Barrel Spin,Nopeammin pyörivä putki
Depleted Bloontonium,Köyhdytetty bloontonium
Laser Shock,Laser-shokki
Laser Cannon,Lasertykki
Hydra Rocket Pods,Hydra-raketit
Buckshot,Haulikko
Plasma Accelerator,Plasmakiihdytin
Rocket Storm,Rakettimyrsky
Bloon Area Denial System,Bloonien alue-estojärjestelmä
Ray of Doom,Tuomionsäde
M.A.D,M.A.D
Bloon Exclusion Zone,Blooneilta poissuljettu vyöhyke
,
Guided Magic,Ohjattu magia
Fireball,Tulipallo
Intense Magic,Voimakas magia
Arcane Blast,Mystinen räjäytys
Wall of Fire,Tuliseinä
Monkey Sense,Apinan vaisto
Arcane Mastery,Salatiedon salat
Dragon's Breath,Lohikäärmeen henkäys
Shimmer,Hohto
Arcane Spike,Mystinen piikki
Summon Phoenix,Feeniksin kutsu
Necromancer: Unpopped Army,Manaaja: poksauttamaton armeija
Archmage,Arkkimaagi
Wizard Lord Phoenix,Velhoherra Feenix
Soulbind,Pimeyden prinssi
,
Laser Blasts,Lasersäteet
Super Range,Superkantama
Knockback,Työntö
Plasma Blasts,Plasma-ammus
Epic Range,Eeppinen kantama
Ultravision,Ultranäkö
Sun Avatar,Aurinkoavatar
Robo Monkey,Roboapina
Dark Knight,Synkkä ritari
Sun Temple,Aurinkotemppeli
Tech Terror,Tekniikkakauhu
Dark Champion,Synkkä mestari
True Sun God,Todellinen auringonjumala
The Anti-Bloon,Anti-Bloon
Legend of the Night,Yön legenda
,
Ninja Discipline,Ninjan kurinalaisuus
Distraction,Häirintä
Seeking Shuriken,Hakeutuva shuriken
Sharp Shurikens,Terävät shurikenit
Counter-Espionage,Vastavakoilu
Caltrops,Ansapiikit
Double Shot,Tuplalaukaus
Shinobi Tactics,Shinobi-taktiikat
Flash Bomb,Välähdyspommi
Bloonjitsu,Bloonjitsu
Bloon Sabotage,Bloonisabotaasi
Sticky Bomb,Tahmea pommi
Grandmaster Ninja,Suurmestarininja
Grand Saboteur,Suuri sabotoija
Master Bomber,Mestaripommittaja
,
Larger Potions,Suuremmat juomat
Stronger Acid,Voimakkaampi happo
Acid Pool,Happoallas
Acidic Mixture Dip,Happotahnadippi
Perishing Potions,Haihtuvat juomat
Alchemist Faster Throwing,Nopeampi heitto
Berserker Brew,Berserkkijuoma
Unstable Concoction,Epävakaa keitos
Lead to Gold,Lyijy kullaksi
Stronger Stimulant,Voimakkaampi stimulantti
Transforming Tonic,Muuntava tonikki
Rubber to Gold,Kumi kullaksi
Permanent Brew,Pysyvä juomahaude
Total Transformation,Täydellinen muunnos
Bloon Master Alchemist,Bloonimestarialkemisti
,
Hard Thorns,Kovat okaat
Thorn Swarm,Okaparvi
Druidic Reach,Druidin kantama
Heart of Thunder,Ukkossydän
Heart of Oak,Tammisydän
Heart of Vengeance,Kostava sydän
Druid of the Storm,Myrskyn druidi
Druid of the Jungle,Viidakon druidi
Druid of Wrath,Vihan druidi
Ball Lightning,Pallosalama
Jungle's Bounty,Viidakon anteliaisuus
Poplust,Poksutushimo
Superstorm,Supermyrsky
Spirit of the Forest,Metsän henki
Avatar of Wrath,Vihan avatar
,
Increased Production,Tuotannon nousu
Long Life Bananas,Pitkäikäiset banaanit
EZ Collect,EZ-keräys
Greater Production,Suurempi tuotanto
Valuable Bananas,Arvokkaat banaanit
Banana Salvage,Banaanipelastus
Banana Plantation,Banaaniplantaasi
Monkey Bank,Apinapankki
Marketplace,Markkinapaikka
Banana Research Facility,Banaanitutkimuskeskus
IMF loan,IMF-laina
Central Market,Keskustori
Banana Central,Banaanikeskus
Monkey-Nomics,Apinatalous
Monkey Wall Street,Apina- Wall Street
,
Sentry Gun,Vartiomiehen kivääri
Larger Service Area,Suurempi toiminta-alue
Oversize Nails,Ylisuuret naulat
Faster Engineering,Nopeampi rakentaminen
Deconstruction,Rakennuspurku
Pin,Neula
Sprockets,Rattaat
Cleansing Foam,Puhdistusvaahto
Double Gun,Tupla-ase
Sentry Expert,Vartioinnin asiantuntija
Overclock,Ylikellotus
Bloon Trap,Blooniansa
Sentry Paragon,Vartiomestari
Ultraboost,Ultratehostus
XXXL Trap,XXXL-ansa
,
Bigger Stacks,Suuremmat pinot
Faster Production,Nopeampi tuotanto
Long Reach,Pitkä kantama
White Hot Spikes,Valkohehkuiset piikit
Even Faster Production,Vielä nopeampi tuotanto
Smart Spikes,Älypiikit
Spiked Balls,Piikkipallot
MOAB SHREDR,MOAB-SILPR-piikit
Long Life Spikes,Pitkäikäiset piikit
Spiked Mines,Piikkimiinat
Spike Storm,Piikkimyrsky
Deadly Spikes,Kuolettavat piikit
Super Mines,Supermiinat
Carpet of Spikes,Piikkimatto
Perma-Spike,Pysyvä piikki
,
Military Efficiency,Sotilaallinen tehokkuus
Magic Sciences,Maagiset tieteet
Private Tuition,Yksityisopetus
Wider Influence,Laajempi vaikutus
Academic Network,Akateeminen verkko
Heroic Presence,Sankarillinen läsnäolo
M.A.S.H,SAKS
Wizards Library,Velhojen kirjasto
Heroic Academy,Sankarillinen akatemia
Military Barracks,Sotilasparakit
Magic Arcanum,Maaginen salaisuus
Power Hero Development (PhD),Tehosankarin kehitys (toht.)
Military HQ,Pääesikunta
Nexus Crucible,Taika-akatemia
Dynamic Duo,Dynaaminen kaksikko
,
Bigger Radius,Suurempi säde
Grow Blocker,Kasvunestin
Monkey Business,Apinabisnes
Jungle Drums,Viidakkorummut
Radar Scanner,Tutkaskanneri
Monkey Commerce,Apinakaupankäynti
Primary Training,Peruskoulutus
Monkey Intelligence Bureau,Suojeluapinoiden virasto
Monkey Town,Apinakylä
Primary Mentoring,Perusmentorointi
Call to Arms,Aseisiinkutsu
Monkey City,Apinakaupunki
Primary Expertise,Perusasiantuntemus
Homeland Defense,Kotimaan puolustus
Monkeyopolis,Apinasuurkaupunki
,
//Power names,
SuperMonkeyStorm,Superapinamyrsky
MonkeyBoost,Apinatehoste
Thrive,Menestys
DartTime,Ajanpysäytys
CashDrop,Käteisen toimitus
BananaFarmer,Banaaninviljelijä
PortableLake,Kannettava järvi
Pontoon,Kelluke
RoadSpikes,Tiepiikit
MoabMine,MOAB-miina
CamoTrap,Maastokuvioansa
GlueTrap,Liima-ansa
,
//Power descriptions,
SuperMonkeyStorm Description,"Se on lintu. Se on lentokone. Se on lentueellinen supervoimaisia lasersäteitä käyttäviä apinoita, jotka tuhoavat kaikki bloonit ruudulta ja tekevät suurta vahinkoa MOAB-luokan blooneille."
MonkeyBoost Description,Käännetään se 11:een! Kaikki tornit hyökkäävät kaksinkertaisella nopeudella {0} sekunnin ajan.
Thrive Description,Lisää käteistuotantoa kaikista torneistasi ja bloonipoksautuksia {0} % loppukierroksen ajaksi sekä koko seuraavaksi kierrokseksi!
DartTime Description,"Jos joskus asiat liikkuvat aivan liian nopeasti, käytä Ajanpysäytys, jotta voit pysäyttää kaiken toiminnan hetkeksi ja keskittyä apinoidesi hallintaan."
CashDrop Description,Tarvitsetko käteistä pikaisesti? Pyydä apinakomentajia lähettämään tällainen rahalla täytetty paketti mahdollisimman pian!
BananaFarmer Description,"Oletko väsynyt poimimaan kaikki banaanit itse? Niin on tämäkin tyyppi, mutta ainakin hänelle maksetaan siitä. Viljelijä kerää automaattisesti kaikki banaanit alueeltaan, jotta sinun ei tarvitse."
PortableLake Description,"Eikö laivalle löydy laineita? Älykkäät apinat tietävät, että he voivat asettaa Kannettavan järven maalle. Sen jälkeen he voivat asettaa mitä tahansa vesiyksiköitä siihen."
Pontoon Description,Aseta melkein mikä tahansa maatorni veteen Kellukkeen avulla! Aseta Kelluke veteen ja aseta maatorni sitten sen päälle.
RoadSpikes Description,Valtava pino tiepiikkejä on valmiina asetettavaksi mihin ikinä tarvitsetkin niitä eniten!
MoabMine Description,"Voimallinen miina, joka havaitsee MOAB-luokan bloonien läsnäolon ja räjähtää tehden suuren määrän vahinkoa."
CamoTrap Description,"Tämä ansa on apinasuunnittelun mestariteos, joka poistaa maastokuvion ensimmäisestä {0} bloonista, jotka koskevat siihen."
GlueTrap Description,"Liima-ansa hidastaa ensimmäistä {0} bloonia, jotka siirtyvät sen yli, minkä jälkeen se katoaa."
,
//Upgrade Descriptions,
Sharp Shots Description,Voi poksauttaa 1 ylimääräisen bloonin per laukaus.
Quick Shots Description,Ampuu 15 % nopeammin.
Long Range Darts Description,Saa Tikka-apinan ampumaan kauemmas kuin tavallisesti.
Razor Sharp Shots Description,Voi poksauttaa 2 ylimääräistä bloonia per laukaus.
Very Quick Shots Description,Ampuu 33 % nopeammin.
Enhanced Eyesight Description,Ampuu entistä kauemmas ja tunnistaa maastokuvioinnin.
Spike-o-pult Description,"Muuttaa tikka-apinan hitaasti ampuvaksi piikkikatapultiksi, joka ampuu jättimäisiä piikkipalloja. Jokainen pallo pystyy poksauttamaan paljon blooneja ja kimpoilee esteistä."
Triple Shot Description,Heittää 3 tikkaa kerrallaan yhden sijaan.
Crossbow Description,Käyttää pitkäkantoista varsijousta joka voi poksauttaa bloonista 3 kerrosta kullakin osumalla.
Juggernaut Description,"Heittää valtavia piikkipalloja, jotka poksauttavat lyijyä ja loistavat keraamisten ja vahvistettujen bloonien tuhoamisessa."
Super Monkey Fan Club Description,Superapinan faniklubi -kyky: Muuntaa jopa 10 läheistä Tikka-apinaa itsensä mukaan lukien Superapinaksi 15 sekunnin ajaksi. Myös tavallisten hyökkäysten nopeus on suurempi.
Sharp Shooter Description,Tarkka-ampuja tulittaa nopeammin ja ampuu muutaman laukauksen välein voimakkaita kriittisiä laukauksia jotka tekevät huomattavasti enemmän vahinkoa.
Ultra-Juggernaut Description,Giganttinen piikkipallo halkeaa kahdesti 6 juggernauttipalloksi entistä suurempaa tuhovoimaa varten keraamisia ja vahvistettuja blooneja vastaan.
Plasma Monkey Fan Club Description,Tämän klubin eliittijäsenyys takaa Tikka-apinoille vieläkin enemmän tehoa!
Crossbow Master Description,Varsijousimestari ampuu todella nopeasti ja tuhoaa useimpia bloonityyppejä helposti.
,
Improved Rangs Description,Voi poksauttaa jopa 8 bloonia per heitto.
Faster Throwing Description,Heittää bumerangeja nopeammin.
Long Range Rangs Description,Voi heittää bumerangeja normaalia kauemmas.
Glaives Description,Heittää terävämpiä ja nopeampia heittoteriä bumerangien sijaan.
Faster Rangs Description,"Bumerangit heitetään nopeammin, ja ne liikkuvat nopeammin."
Red Hot Rangs Description,Bumerangit poksauttavat jäätyneet ja lyijybloonit ja tekevät enemmän vahinkoa kaikille.
Glaive Ricochet Description,Heittoterät ponnahtavat bloonista blooniin automaattisesti ja aggressiivisesti.
Bionc Boomerang Description,"Korvaa käden voimakkaalla bionisella kädellä, joka voi heittää bumerangeja äärimmäisen nopeasti ja tehdä enemmän vahinkoa MOAB-luokan blooneille."
Kylie Boomerang Description,"Heittää raskaita Kylie-bumerangeja, jotka noudattavat suoraa rataa kaarevan sijaan."
M.O.A.R Glaives Description,Mahtavasti Osuvat Aina Raatelevat heittoterät parantavat heittoterän kimmokkeen ennestään mahtavia voimia.
Turbo Charge Description,Turbolataus-kyky: saa tämän apinan hyökkäämään hämmästyttävän nopeasti 10 sekunnin ajaksi.
MOAB Press Description,Raskas Kylie-bumerangi iskee MOAB-luokan blooneihin useita kertoja joka heitolla ja joskus lyö niitä takaisin vähän matkaa polkua pitkin.
Glaive Lord Description,"Heittoterän mestari ympäröi itsensä 3 erityisellä heittoterällä, jotka silppuavat kaikkea lähelle tulevaa. Heittoterän mestari repii nyt MOAB-luokan blooneja repien niitä palasiksi sisäpuolelta."
Perma Charge Description,Ikilatauksella on pysyvä supernopea hyökkäysnopeus. Kyky kasvattaa tappavuutta entisestään.
MOAB Domination Description,Erityiset työntävät Kylie-bumerangit aktivoituvat useammin ja tekevät paljon lisävahinkoa.
,
Bigger Bombs Description,"Ampuu suurempia pommeja, joilla on suurempi räjähdysalue ja enemmän poksautusvoimaa."
Faster Reload Description,Lataa uudelleen nopeammin.
Extra Range Description,Lisää hyökkäyskantamaa.
Heavy Bombs Description,Raskastekoiset pommit voivat räjäyttää 2 bloonikerroksen läpi kerralla ja poksauttaa enemmän blooneja.
Missile Launcher Description,"Vaihtaa pommit ohjuksiin, jotka ammutaan nopeammin, lentävät nopeammin ja yltävät pidemmälle."
Frag Bombs Description,"Räjähdykset sinkoavat ulos teräviä sirpaleita, jotka voivat poksauttaa enemmän blooneja, mukaan lukien mustat bloonit."
Really Big Bombs Description,Valtavat pommit tekevät suurempaa vahinkoa laajalla alueella ja sirpaleet voivat poksauttaa enemmän blooneja.
MOAB Mauler Description,MOAB-raatelijat tekevät paljon enemmän vahinkoa MOAB-luokan blooneille.
Cluster Bombs Description,Lennättää toissijaisia pommeja terävien sirpaleiden sijaan kullakin laukauksella.
Bloon Impact Description,"Räjähdykset tulevat niin rajuiksi, että bloonit pökertyvät hetkeksi, kun niihin osutaan. Kantama kasvaa ja sirpaleista tulee entistä tehokkaampia."
MOAB Assassin Description,MOAB-salamurhaaja-kyky: Erityinen ohjus lentää ja tekee valtavasti vahinkoa MOAB-luokan blooneille. Myös suurempi tavallinen hyökkäyskantama ja MOAB-luokan vahinko.
Recursive Cluster Description,Joka 3. laukauksella rypälepommit lähettävät enemmän rypälepommeja vieläkin suurempaa tuhoa varten.
Bloon Crush Description,Blooneja pirstaloivat räjähdykset tuottavat massiivista vahinkoa ja voivat pökerryttää MOAB-luokan bloonit.
MOAB Eliminator Description,Massiivista vahinkoa MOABeille ja salamurhaaja-kyky tekee 6x vahinkoa lyhyellä palautumisajalla.
Bomb Blitz Description,"Tekee paljon enemmän vahinkoa ja saa passiivisen Pommimyrsky-kyvyn – kun elämiä menetetään, pommimyrsky aktivoituu automaattisesti ja tuhoaa kaikki paitsi suurimmat bloonit."
,
Faster Shooting Description,Ampuu nastoja nopeammin.
Long Range Tacks Description,Nastat lentävät tavallista pidemmälle.
More Tacks Description,Ampuu 10 nastaa kahdeksan sijaan ja lisää tulikehän vahinkoa.
Even Faster Shooting Description,Ampuu nastoja vielä nopeammin!
Super Range Tacks Description,Vieläkin laajempi nastojen alue ja nastat poksauttavat enemmän blooneja.
Even More Tacks Description,Ampuu 12 nastaa laukauksella ja lisää tulikehän vahinkoa entisestään.
Hot Shots Description,"Ampuu superkuumia nastoja, jotka tekevät lisävahinkoa ja voivat poksauttaa lyijybloonit."
Blade Shooter Description,"Vaihtaa nastat teräviin teriin, jotka voivat poksauttaa 5 bloonia lisää."
Tack Sprayer Description,Ampuu 16 nastaa yhteislaukausta kohti.
