//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clicca
Bomber Ace,Asso bombardiere
Neva-Miss Targeting,Mira infallibile
Operation: Dart Storm,Operazione: Tempesta di freccette
Ground Zero,Punto di impatto
Spectre,Spettro
Sky Shredder,Trituratore volante
Tsar Bomba,Bomba Zar
Flying Fortress,Fortezza volante
,
Quad Darts,Freccette quadruple
Bigger Jets,Propulsori maxi
Faster Firing,Fuoco super rapido
Pursuit,Insegui
IFR,Infrarosso
Faster Darts,Freccette accelerate
Razor Rotors,Rotori affilati
Downdraft,Vuoto d'aria
MOAB Shove,Spingi MOAB
Apache Dartship,Elicottero Apache
Support Chinook,Supporto Chinook
Comanche Defense,Difesa Comanche
Apache Prime,Apache Prime
Special Poperations,Preparativi speciali
Comanche Commander,Comandante Comanche
,
Bigger Blast,Super esplosione
Mortar Faster Reload,Caricamento accelerato
Increased Accuracy,Maggiore precisione
Bloon Buster,Sterminatore di bloon
Mortar Rapid Reload,Caricamento rapido
Burny Stuff,Inceneritore
Shockwave,Shock da granata
Heavy Shells,Granate pesanti
Signal Flare,Bengala
The Big One,Bomba gigante
Artillery Battery,Batteria di artiglieria
Shattering Shells,Granate frantumatrici
The Biggest One,Granata colossale
Pop and Awe,Scoppia e terrorizza
Blooncineration,Incenerimento
,
Focused Firing,Fuoco concentrato
Advanced Targeting,Mira avanzata
Powerful Darts,Freccette possenti
Faster Swivel,Rotazione accelerata
Faster Barrel Spin,Accelerazione rotazione\ncanna
Depleted Bloontonium,Bloontonio impoverito
Laser Shock,Shock da laser
Laser Cannon,Cannone laser
Hydra Rocket Pods,Lancia missili Hydra
Buckshot,Fucile a pallettoni
Plasma Accelerator,Acceleratore al plasma
Rocket Storm,Tempesta di missili
Bloon Area Denial System,Sistema negazione area bloon
Ray of Doom,Raggio della morte
M.A.D,M.A.D
Bloon Exclusion Zone,Zona vietata ai bloon
,
Guided Magic,Magia teleguidata
Fireball,Sfera di fuoco
Intense Magic,Magia potente
Arcane Blast,Raffica arcana
Wall of Fire,Muro di fuoco
Monkey Sense,Senso di scimmia
Arcane Mastery,Maestria arcana
Dragon's Breath,Respiro del drago
Shimmer,Luccichio
Arcane Spike,Aculeo arcano
Summon Phoenix,Evoca la fenice
Necromancer: Unpopped Army,Negromante: esercito di bloon zombi
Archmage,Arcimago
Wizard Lord Phoenix,Mago supremo fenice
Soulbind,Principe delle tenebre
,
Laser Blasts,Colpo laser
Super Range,Portata super
Knockback,Spintone
Plasma Blasts,Colpo al plasma
Epic Range,Portata epica
Ultravision,Ultra visione
Sun Avatar,Avatar solare
Robo Monkey,Scimmia robot
Dark Knight,Cavaliere oscuro
Sun Temple,Tempio del sole
Tech Terror,Tecno-terrore
Dark Champion,Campione oscuro
True Sun God,Vero dio del sole
The Anti-Bloon,L'anti-bloon
Legend of the Night,Leggenda della notte
,
Ninja Discipline,Disciplina ninja
Distraction,Distrazione
Seeking Shuriken,Shuriken a ricerca
Sharp Shurikens,Shuriken taglienti
Counter-Espionage,Controspionaggio
Caltrops,Piedi di corvo
Double Shot,Colpo doppio
Shinobi Tactics,Tattiche ninja
Flash Bomb,Bomba abbagliante
Bloonjitsu,Bloonjitsu
Bloon Sabotage,Sabotaggio bloon
Sticky Bomb,Bomba appiccicosa
Grandmaster Ninja,Gran maestro ninja
Grand Saboteur,Gran sabotatore
Master Bomber,Bombardiere esperto
,
Larger Potions,Pozioni maxi
Stronger Acid,Acido super
Acid Pool,Pozza di acido
Acidic Mixture Dip,Intingolo acido
Perishing Potions,Pozioni andate a male
Alchemist Faster Throwing,Lancio accelerato
Berserker Brew,Infuso del Berserker
Unstable Concoction,Mistura instabile
Lead to Gold,Da piombo a oro
Stronger Stimulant,Stimolante super
Transforming Tonic,Tonico mutaforma
Rubber to Gold,Da gomma a oro
Permanent Brew,Infuso permanente
Total Transformation,Trasformazione totale
Bloon Master Alchemist,Maestro alchimista bloon
,
Hard Thorns,Spine coriacee
Thorn Swarm,Sciame di spine
Druidic Reach,Portata druidica
Heart of Thunder,Cuore di tuono
Heart of Oak,Cuore di quercia
Heart of Vengeance,Cuore di vendetta
Druid of the Storm,Druido della tempesta
Druid of the Jungle,Druido della giungla
Druid of Wrath,Druido dell'ira
Ball Lightning,Fulmine globulare
Jungle's Bounty,Taglia della giungla
Poplust,Smania di scoppi
Superstorm,Super tempesta
Spirit of the Forest,Spirito della foresta
Avatar of Wrath,Avatar dell'ira
,
Increased Production,Aumento della produzione
Long Life Bananas,Lunga vita alle banane
EZ Collect,Raccolta facile
Greater Production,Maggiore produzione
Valuable Bananas,Banane di valore
Banana Salvage,Banane di recupero
Banana Plantation,Piantagione di banane
Monkey Bank,Banca
Marketplace,Mercato
Banana Research Facility,Centro ricerca sulle banane
IMF loan,Prestito del FSI
Central Market,Mercato centrale
Banana Central,Centrale delle banane
Monkey-Nomics,Scimmia-nomici
Monkey Wall Street,Scimmie di Wall Street
,
Sentry Gun,Cannone sentinella
Larger Service Area,Ampia area di servizio
Oversize Nails,Chiodi extralarge
Faster Engineering,Ingegneria accelerata
Deconstruction,Decostruzione
Pin,Spillo
Sprockets,Ruote dentate
Cleansing Foam,Schiuma detergente
Double Gun,Pistola doppia
Sentry Expert,Sentinella esperta
Overclock,Sovraccarico
Bloon Trap,Trappola per bloon
Sentry Paragon,Sentinella vincitore
Ultraboost,Ultra potenziamento
XXXL Trap,Trappola XXXL
,
Bigger Stacks,Pile più grandi
Faster Production,Produzione accelerata
Long Reach,Lunga portata
White Hot Spikes,Aculei incandescenti
Even Faster Production,Produzione super rapido
Smart Spikes,Aculei intelligenti
Spiked Balls,Sfere acuminate
MOAB SHREDR,TRITURA MOAB
Long Life Spikes,Aculei lunga durata
Spiked Mines,Mine acuminate
Spike Storm,Tempesta di aculei
Deadly Spikes,Aculei letali
Super Mines,Super mine
Carpet of Spikes,Tappeto di aculei
Perma-Spike,Perma-aculeo
,
Military Efficiency,Efficienza militare
Magic Sciences,Scienze magiche
Private Tuition,Lezioni private
Wider Influence,Influenza più ampia
Academic Network,Rete accademica
Heroic Presence,Presenza eroica
M.A.S.H,O.S.C.E.
Wizards Library,Biblioteca di magia
Heroic Academy,Accademia degli eroi
Military Barracks,Caserme militari
Magic Arcanum,Arcanum magico
Power Hero Development (PhD),Sviluppo potenza eroe (PhD)
Military HQ,Quartier generale militare
Nexus Crucible,Nesso crogiolo
Dynamic Duo,Dinamico duo
,
Bigger Radius,Raggio più ampio
Grow Blocker,Blocca crescita
Monkey Business,Affari scimmieschi
Jungle Drums,Tamburi della giungla
Radar Scanner,Scanner radar
Monkey Commerce,Commercio scimmiesco
Primary Training,Addestramento primario
Monkey Intelligence Bureau,Agenzia di Intelligence
Monkey Town,Città delle scimmie
Primary Mentoring,Tutoraggio primario
Call to Arms,Chiamata alle armi
Monkey City,Metropoli dei primati
Primary Expertise,Competenza primaria
Homeland Defense,Difesa nazionale
Monkeyopolis,Scimmiopoli
,
//Power names,
SuperMonkeyStorm,Tempesta di super scimmie
MonkeyBoost,Potenziamento scimmia
Thrive,Rigogliosità
DartTime,Stop al tempo
CashDrop,Rilascio di contante
BananaFarmer,Coltivatore di banane
PortableLake,Lago portatile
Pontoon,Pontile
RoadSpikes,Aculei da strada
MoabMine,Mina anti MOAB
CamoTrap,Trappola mimetizzata
GlueTrap,Trappola alla colla
,
//Power descriptions,
SuperMonkeyStorm Description,"È un volatile. È un aereo. È uno squadrone di scimmie volanti dotate di super poteri, che emettono raggi laser dagli occhi. Tale squadrone distrugge tutti i bloon sullo schermo e infligge danni considerevoli a quelli di classe MOAB."
MonkeyBoost Description,È giunto il momento di scatenarsi! Velocità d'attacco di tutte le torri raddoppiata per {0} secondi.
Thrive Description,Produzione del contante di tutte le tue torri e dallo scoppio dei bloon aumentata del {0}% per il resto del round e per tutto quello successivo!
DartTime Description,"Se a volte ti sembra che cose si muovano troppo velocemente, usa Stop al tempo per fermare brevemente l'azione e concentrarti sulla gestione delle tue scimmie. "
CashDrop Description,Hai bisogno di liquidità? Ottieni Comando scimmia per far fuori al più presto possibile uno di quei dannati bloon pieni zeppi di soldi!
BananaFarmer Description,"Stanco di raccogliere banane da solo? Non sei il solo, ma almeno questo tizio viene pagato per farlo. Il coltivatore è in grado di raccogliere automaticamente tutte le banane nel suo raggio d'azione."
PortableLake Description,Non disponi di uno specchio d'acqua per la tua barca? Le scimmie più scaltre sanno che possono adoperare un Lago portatile che consente di usare qualsiasi unità acquatica.
Pontoon Description,Consente di posizionare in mare qualsiasi torre. Schiera il pontile in mare e su di esso posiziona la torre.
RoadSpikes Description,Un grosso mucchio di aculei da strada da spargere ovunque ce ne sia bisogno!
MoabMine Description,Una potente mina che rileva la presenza di bloon classe MOAB ed esplode causando un mucchio di danni.
CamoTrap Description,Questa trappola rappresenta il culmine della scienza scimmiesca ed è in grado di rimuovere lo stato mimetizzazione dai primi {0} bloon con cui entra in contatto.
GlueTrap Description,"Prima di dissolversi, questa trappola appiccicosa sarà in grado di rallentare i primi {0} bloon che gli passeranno sopra."
,
//Upgrade Descriptions,
Sharp Shots Description,È in grado di far scoppiare 1 bloon extra per colpo.
Quick Shots Description,Colpi più veloci del 15%.
Long Range Darts Description,Consente alla scimmia di lanciare freccette più lontano del normale.
Razor Sharp Shots Description,In grado di far scoppiare 2 bloon extra per colpo.
Very Quick Shots Description,Colpi più veloci del 33%!
Enhanced Eyesight Description,È in grado di colpire ancora più lontano e di individuare i bloon mimetizzati.
Spike-o-pult Description,"Converte la scimmia lancia freccette in una catapulta che, al posto delle freccette, lancia un'enorme sfera acuminata. Si tratta di un attacco con una buona portata ma non particolarmente veloce. Ogni sfera è capace di far scoppiare un bel po' di bloon e rimbalza sugli ostacoli."
Triple Shot Description,Consente di lanciare 3 dardi alla volta anziché 1.
Crossbow Description,"Usa la balestra a lungo raggio che,  con ogni colpo, può far scoppiare 3 strati di bloon."
Juggernaut Description,Lancia una sfera acuminata gigante capace di far scoppiare i bloon di piombo e particolarmente adatta contro quelli di ceramica.
Super Monkey Fan Club Description,Abilità Fan club della super scimmia: trasforma fino a 10 Scimmie lancia freccette vicine (se stessa inclusa) in Super scimmie per 15 secondi. Aumenta anche la velocità d'attacco normale.
Sharp Shooter Description,Tiratore scelto attacca più velocemente e dopo qualche colpo mette a segno potenti colpi critici che provocano molti più danni.
Ultra-Juggernaut Description,La sfera acuminata gigante si divide in 6 sfere inarrestabili per una maggiore devastazione.
Plasma Monkey Fan Club Description,L'appartenenza a questo club d'élite conferisce ancora più potere alle scimmie lancia freccette!
Crossbow Master Description,Il Maestro della balestra è in grado di far fuoco molto rapidamente e i suoi colpi hanno effetto sulla maggior parte dei bloon.
,
Improved Rangs Description,È in grado di far scoppiare fino a 8 bloon per lancio.
Faster Throwing Description,Lancia i boomerang più rapidamente.
Long Range Rangs Description,Può lanciare i boomerang più lontano del normale.
Glaives Description,"Lancia falcioni più affilati, veloci e grandi al posto dei boomerang."
Faster Rangs Description,I boomerang vengono lanciati e si muovono più rapidamente.
Red Hot Rangs Description,"I boomerang ora fanno scoppiare i Bloon congelati e quelli di piombo, e infliggono più danni a tutti."
Glaive Ricochet Description,I falcioni rimbalzeranno di bloon in bloon automaticamente e aggressivamente.
Bionc Boomerang Description,"Sostituisce il braccio con un forte braccio bionico in grado di lanciare boomerang molto velocemente, infliggendo più danni ai Bloon di classe MOAB."
Kylie Boomerang Description,Lancia pesanti boomerang Kylie che seguono una traiettoria dritta anziché curva.
M.O.A.R Glaives Description,Il Rimbalzo avanzato multiplo accresce enormemente i poteri già straordinari della Scimmia falcione con rimbalzo.
Turbo Charge Description,Abilità Carica turbo: per 10 secondi rende gli attacchi di questa scimmia incredibilmente rapidi.
MOAB Press Description,I pesanti boomerang Kylie colpiscono i bloon classe MOAB più volte per lancio e li respingono per un breve tratto.
Glaive Lord Description,"Il Signore del falcione si circonda di 3 falcioni speciali che riducono in mille pezzi qualsiasi cosa si avvicini. I falcioni del Signore del falcione ora squarciano i bloon di classe MOAB, distruggendoli lentamente dall'interno."
Perma Charge Description,Carica permanente aggiunge permanentemente velocità di attacco super rapida. L'abilità ne aumenta ancora di più l'effetto letale.
MOAB Domination Description,Gli speciali boomerang Kylie con spintone si attivano più spesso e provocano molti più danni extra.
,
Bigger Bombs Description,Spara bombe di grandi dimensioni caratterizzate da una maggiore portata dell'esplosione e maggiore capacità di provocare lo scoppio dei bloon.
Faster Reload Description,Ricarica più velocemente.
Extra Range Description,Portata di attacco aumentata.
Heavy Bombs Description,Mega bombe in grado di farsi strada attraverso 2 strati di bloon in un colpo solo per farne scoppiare di più.
Missile Launcher Description,"Sostituisce le bombe coi missili che colpiscono prima, sono più veloci e hanno una portata maggiore."
Frag Bombs Description,"L'esplosione proietta frammenti affilati capaci di far esplodere più bloon, inclusi quelli neri."
Really Big Bombs Description,"Enormi bombe infliggono danni maggiori in un'area ampia, e consentono ai frammenti di far scoppiare ulteriori bloon."
MOAB Mauler Description,I Demolitori MOAB provocano molto più danno ai bloon classe MOAB e ceramica.
Cluster Bombs Description,Con ogni colpo lancia un bomba secondaria anziché frammenti affilati.
Bloon Impact Description,Le esplosioni sono così violente che i Bloon sono storditi per un breve tempo quando colpiti. La portata è aumentata e i frammenti sono ancora più efficaci.
MOAB Assassin Description,Abilità Assassinio MOAB: un missile speciale si abbatte contro bloon di classe MOAB provocando enormi danni. Aumenta anche la portata di attacco normale e i danni ai bloon classe MOAB.
Recursive Cluster Description,Ogni due colpi le bombe a grappolo lanciano altre bombe a grappolo per causare ancora più distruzione.
Bloon Crush Description,Le esplosioni frantuma bloon provocano danni enormi e sono in grado di stordire i bloon classe MOAB.
